mesh,intervention_type,interventions_normalized,Completed,Suspended,Terminated,197,199,200,201,202,n_gl
diabetes mellitus,Drug,insuline glargine,1,,1,,,2,,,2
diabetes mellitus,Drug,isophane human insulin,2,,,,,2,,,2
diabetes mellitus,Drug,lispro insulin,2,,,,,,2,,2
diabetes mellitus,Drug,meglitinides,2,,,,,,2,,2
diabetes mellitus,Drug,metformin ir,2,,,,,,2,,2
diabetes mellitus,Drug,metformin xr,2,,,,,,2,,2
diabetes mellitus,Drug,mixtard 30:70 novonordiskâ® twice daily,,,2,,,,2,,2
diabetes mellitus,Drug,ml,2,,,,,,2,,2
diabetes mellitus,Drug,ml),1,,1,,,,2,,2
diabetes mellitus,Drug,monorovaâ® tab,2,,,,,,2,,2
diabetes mellitus,Drug,nph,2,,,,,,2,,2
diabetes mellitus,Drug,rosuvamibeâ® tab,2,,,,,,2,,2
diabetes mellitus,Drug,sertraline,2,,,,,1,1,,2
diabetes mellitus,Drug,simvastatin,2,,,,,,2,,2
diabetes mellitus,Drug,sitagliptin / metformin,2,,,,,,2,,2
diabetes mellitus,Drug,subetta,2,,,,,,2,,2
diabetes mellitus,Drug,telmisartan,2,,,,,1,1,,2
diabetes mellitus,Drug,thiazolidinediones,2,,,,,,2,,2
diabetes mellitus,Drug,victozaâ®,2,,,,,,2,,2
diabetes mellitus,Drug,vildagliptin (laf237),2,,,,,,2,,2
diabetes mellitus,placebo,liraglutide - placebo,2,,,,,,2,,2
diabetes mellitus,placebo,metformin placebo,2,,,,,,2,,2
diabetes mellitus,placebo,placebo for saxagliptin,2,,,,,,2,,2
diabetes mellitus,placebo,placebo of vildagliptin,2,,,,,,2,,2
diabetes mellitus,placebo,placebo pill,1,,1,,,1,1,,2
"diabetes mellitus, type 1",Drug,insulin aspart,16,,1,,,11,6,,17
"diabetes mellitus, type 1",Drug,insulin glulisine,8,,,,,2,6,,8
"diabetes mellitus, type 1",placebo,placebo,7,1,,,,1,6,1,8
"diabetes mellitus, type 1",Drug,insulin glargine,7,,,,,4,3,,7
"diabetes mellitus, type 1",Drug,insulin lispro,6,,,,,2,4,,6
"diabetes mellitus, type 1",Drug,insulin,5,,,,,2,3,,5
"diabetes mellitus, type 1",Drug,insulin detemir,4,,1,,,5,,,5
"diabetes mellitus, type 1",Drug,sitagliptin,5,,,,,,5,,5
"diabetes mellitus, type 1",Device,novofineâ® needle 6 mm,4,,,,,4,,,4
"diabetes mellitus, type 1",Drug,insulin nph,3,,1,,,4,,,4
"diabetes mellitus, type 1",Drug,metformin,4,,,,,1,3,,4
"diabetes mellitus, type 1",Drug,diazoxide,2,1,,,,1,1,1,3
"diabetes mellitus, type 1",Drug,pramlintide,3,,,,,2,1,,3
"diabetes mellitus, type 1",Drug,soluble human insulin,3,,,,,3,,,3
"diabetes mellitus, type 1",Device,novofineâ® needle 8 mm,2,,,,,2,,,2
"diabetes mellitus, type 1",Dietary Supplement,vitamin c,1,,1,,,,2,,2
"diabetes mellitus, type 1",Drug,amerigelâ®,,,2,,,,2,,2
"diabetes mellitus, type 1",Drug,commercial hylenexâ® recombinant (hyaluronidase human injection),2,,,,,,2,,2
"diabetes mellitus, type 1",Drug,exenatide,2,,,,,,2,,2
"diabetes mellitus, type 1",Drug,human insulin,2,,,,,2,,,2
"diabetes mellitus, type 1",Drug,inhaled human insulin (exuberaâ®),,,2,,,2,,,2
"diabetes mellitus, type 1",Drug,liraglutide,2,,,,,,2,,2
"diabetes mellitus, type 1",Drug,ml),1,,1,,,,2,,2
"diabetes mellitus, type 2",placebo,placebo,80,,10,,1,11,78,,90
"diabetes mellitus, type 2",Drug,metformin,80,,5,,,24,61,,85
"diabetes mellitus, type 2",Drug,insulin glargine,57,1,5,,,27,35,1,63
"diabetes mellitus, type 2",Drug,sitagliptin,34,,8,,,4,38,,42
"diabetes mellitus, type 2",Drug,glimepiride,28,,7,,,6,29,,35
"diabetes mellitus, type 2",Drug,liraglutide,23,2,5,,,,28,2,30
"diabetes mellitus, type 2",Drug,vildagliptin,24,,2,,,,26,,26
"diabetes mellitus, type 2",Drug,pioglitazone,19,,4,,,7,16,,23
"diabetes mellitus, type 2",Drug,exenatide,18,,3,,,5,16,,21
"diabetes mellitus, type 2",Drug,insulin detemir,17,,2,,,8,11,,19
"diabetes mellitus, type 2",Drug,dapagliflozin,16,,2,,,,17,1,18
"diabetes mellitus, type 2",Drug,insulin aspart,17,,1,,,11,7,,18
"diabetes mellitus, type 2",Drug,biphasic insulin aspart 30,17,,,,,6,11,,17
"diabetes mellitus, type 2",Drug,insulin,16,,1,,,2,15,,17
"diabetes mellitus, type 2",Drug,repaglinide,14,,1,,,11,4,,15
"diabetes mellitus, type 2",Drug,rosiglitazone,14,,1,,,13,2,,15
"diabetes mellitus, type 2",Drug,saxagliptin,14,,1,,,,15,,15
"diabetes mellitus, type 2",Drug,linagliptin,13,,1,,,,14,,14
"diabetes mellitus, type 2",Drug,biphasic insulin aspart,13,,,,,13,,,13
"diabetes mellitus, type 2",Drug,acarbose,9,,2,,,1,10,,11
"diabetes mellitus, type 2",Drug,insulin glulisine,8,,3,,,3,8,,11
"diabetes mellitus, type 2",Drug,glargine,7,2,1,,,,8,2,10
"diabetes mellitus, type 2",Drug,gliclazide,7,,1,,,1,7,,8
"diabetes mellitus, type 2",Drug,insulin nph,5,,3,,,5,3,,8
"diabetes mellitus, type 2",Drug,aspirin,6,,1,,,1,6,,7
"diabetes mellitus, type 2",Drug,nph insulin,7,,,,,2,5,,7
"diabetes mellitus, type 2",Drug,empagliflozin,4,,2,,,,6,,6
"diabetes mellitus, type 2",Drug,sulfonylurea,6,,,,,,6,,6
"diabetes mellitus, type 2",Drug,amlodipine,5,,,,,1,4,,5
"diabetes mellitus, type 2",Drug,glyburide,5,,,,,4,1,,5
"diabetes mellitus, type 2",Drug,insulin lispro,5,,,,,2,3,,5
"diabetes mellitus, type 2",Drug,ipragliflozin,4,,1,,,,5,,5
"diabetes mellitus, type 2",Drug,regular insulin,4,,1,,,3,2,,5
"diabetes mellitus, type 2",Drug,valsartan,5,,,,,4,1,,5
"diabetes mellitus, type 2",Device,novofineâ® needle 6 mm,4,,,,,4,,,4
"diabetes mellitus, type 2",Drug,alogliptin,3,,1,,,,4,,4
"diabetes mellitus, type 2",Drug,canagliflozin,3,,1,,,,4,,4
"diabetes mellitus, type 2",Drug,clopidogrel,4,,,,,,4,,4
"diabetes mellitus, type 2",Drug,gliclazide mr,4,,,,,1,3,,4
"diabetes mellitus, type 2",Drug,insulin degludec,4,,,,,,4,,4
"diabetes mellitus, type 2",Drug,insulin glargine (hoe901),3,,1,,,,4,,4
"diabetes mellitus, type 2",Drug,insulin glargine (u300),4,,,,,,4,,4
"diabetes mellitus, type 2",Drug,nateglinide,4,,,,,2,2,,4
"diabetes mellitus, type 2",Drug,70,3,,,,,3,,,3
"diabetes mellitus, type 2",Drug,aliskiren,3,,,,,1,2,,3
"diabetes mellitus, type 2",Drug,atorvastatin,3,,,,,2,1,,3
"diabetes mellitus, type 2",Drug,basal bolus,3,,,,,,3,,3
"diabetes mellitus, type 2",Drug,biphasic human insulin 30,2,,1,,,3,,,3
"diabetes mellitus, type 2",Drug,canagliflozin (ta-7284),3,,,,,,3,,3
"diabetes mellitus, type 2",Drug,carvedilol,3,,,,,3,,,3
"diabetes mellitus, type 2",Drug,cilostazol,3,,,,,2,1,,3
"diabetes mellitus, type 2",Drug,detemir,3,,,,,2,1,,3
"diabetes mellitus, type 2",Drug,dulaglutide,3,,,,,,2,1,3
"diabetes mellitus, type 2",Drug,ezetimibe,3,,,,,1,2,,3
"diabetes mellitus, type 2",Drug,glipizide,3,,,,,1,2,,3
"diabetes mellitus, type 2",Drug,hydrochlorothiazide,3,,,,,,3,,3
"diabetes mellitus, type 2",Drug,lispro,3,,,,,1,2,,3
"diabetes mellitus, type 2",Drug,lixisenatide,2,,1,,,,3,,3
"diabetes mellitus, type 2",Drug,metformin hydrochloride,3,,,,,1,2,,3
"diabetes mellitus, type 2",Drug,metformin xr,3,,,,,,3,,3
"diabetes mellitus, type 2",Drug,metoprolol,3,,,,,3,,,3
"diabetes mellitus, type 2",Drug,mitiglinide,3,,,,,1,2,,3
"diabetes mellitus, type 2",Drug,saline,2,,1,,,1,2,,3
"diabetes mellitus, type 2",Drug,simvastatin,3,,,,,1,2,,3
"diabetes mellitus, type 2",Drug,sulphonylurea,3,,,,,,3,,3
"diabetes mellitus, type 2",Drug,telmisartan,2,,1,,,2,1,,3
"diabetes mellitus, type 2",Drug,testosterone,2,,1,,,1,2,,3
"diabetes mellitus, type 2",Drug,trelagliptin,3,,,,,,3,,3
"diabetes mellitus, type 2",Drug,voglibose,3,,,,,1,2,,3
"diabetes mellitus, type 2",Behavioral,diet,2,,,,,,2,,2
"diabetes mellitus, type 2",Behavioral,exercise,2,,,,,1,1,,2
"diabetes mellitus, type 2",Behavioral,lifestyle intervention,2,,,,,,2,,2
"diabetes mellitus, type 2",Behavioral,lifestyle modification,2,,,,,,2,,2
"diabetes mellitus, type 2",Behavioral,lifestyle therapy,2,,,,,,2,,2
"diabetes mellitus, type 2",Biological,engerixâ„¢-b vaccine,2,,,,,,2,,2
"diabetes mellitus, type 2",Device,novofineâ® needle 8 mm,2,,,,,2,,,2
"diabetes mellitus, type 2",Device,sensewear pro3â® armband,2,,,,,,2,,2
"diabetes mellitus, type 2",Dietary Supplement,vitamin d,1,,1,,,,2,,2
"diabetes mellitus, type 2",Drug,30),2,,,,,1,1,,2
"diabetes mellitus, type 2",Drug,albiglutide,,,2,,,,2,,2
"diabetes mellitus, type 2",Drug,alpha-glucosidase inhibitors,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,amerigelâ®,,,2,,,,2,,2
"diabetes mellitus, type 2",Drug,amlodipine/benazepril,2,,,,,1,1,,2
"diabetes mellitus, type 2",Drug,atenolol,1,,1,,,,2,,2
"diabetes mellitus, type 2",Drug,"atorvastatin (atrostatâ®, delta pharmaceutical industries, cairo, egypt)  .",2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,benazepril,2,,,,,1,1,,2
"diabetes mellitus, type 2",Drug,bosentan,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,"canagliflozin, 100 mg",2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,"canagliflozin, 300 mg",2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,colesevelam,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,dapagliflozin 10 mg,1,,1,,,,1,1,2
"diabetes mellitus, type 2",Drug,dapagliflozin 10mg,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,evolocumab,1,,1,,,,2,,2
"diabetes mellitus, type 2",Drug,exenatide once weekly (bydureonâ„¢),2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,glargine insulin,2,,,,,1,1,,2
"diabetes mellitus, type 2",Drug,glibenclamide,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,glimepiride / metformin,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,glp-1 analogue,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,glucobayâ®,2,,,,,2,,,2
"diabetes mellitus, type 2",Drug,glucose,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,glurenormâ®,2,,,,,2,,,2
"diabetes mellitus, type 2",Drug,human insulin 30,2,,,,,2,,,2
"diabetes mellitus, type 2",Drug,human insulin 30/70,2,,,,,2,,,2
"diabetes mellitus, type 2",Drug,inhaled human insulin (exuberaâ®),2,,,,,2,,,2
"diabetes mellitus, type 2",Drug,insulin glargine (lantusâ®),2,,,,,2,,,2
"diabetes mellitus, type 2",Drug,insulin glargine (u100),2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,insulin glargine injection,1,,1,,,1,1,,2
"diabetes mellitus, type 2",Drug,insuline glargine,1,,1,,,2,,,2
"diabetes mellitus, type 2",Drug,irbesartan,2,,,,,1,1,,2
"diabetes mellitus, type 2",Drug,lantusâ®,2,,,,,2,,,2
"diabetes mellitus, type 2",Drug,lispro insulin,2,,,,,1,1,,2
"diabetes mellitus, type 2",Drug,meglitinides,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,metformin fixed combination,2,,,,,1,1,,2
"diabetes mellitus, type 2",Drug,metformin ir,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,mixtard 30:70 novonordiskâ® twice daily,,,2,,,,2,,2
"diabetes mellitus, type 2",Drug,ml,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,monorovaâ® tab,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,nph,1,,1,,,,2,,2
"diabetes mellitus, type 2",Drug,premixed insulin,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,rosuvamibeâ® tab,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,"rosuvastatin (rosuvastatin calciumâ®, chemipharm co.",2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,thiazolidinediones,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,victozaâ®,2,,,,,,2,,2
"diabetes mellitus, type 2",Drug,vildagliptin (laf237),2,,,,,,2,,2
"diabetes mellitus, type 2",placebo,liraglutide - placebo,2,,,,,,2,,2
"diabetes mellitus, type 2",placebo,metformin placebo,2,,,,,,2,,2
"diabetes mellitus, type 2",placebo,placebo for saxagliptin,2,,,,,,2,,2
"diabetes mellitus, type 2",placebo,placebo of vildagliptin,2,,,,,,2,,2
"diabetes mellitus, type 2",placebo,placebo pill,1,,1,,,1,1,,2
"diabetes, gestational",Drug,metformin,4,,,,,,4,,4
"diabetes, gestational",placebo,placebo,3,,,,,,3,,3
"diabetes, gestational",Dietary Supplement,vivomixxâ®,2,,,,,,2,,2
diabetic angiopathies,Drug,macugenâ® pegaptanib sodium,2,,,,,,2,,2
diabetic foot,Drug,santyl,3,,,,,,3,,3
diabetic foot,Biological,collagenase santylâ® ointment,2,,,,,,2,,2
diabetic foot,Biological,santyl,2,,,,,,2,,2
diabetic foot,Device,regenercellâ„¢ autologous cell harvesting device,2,,,,,,2,,2
diabetic foot,Drug,amerigelâ®,,,2,,,,2,,2
diabetic foot,Drug,integraâ„¢ flowable matrix (collagen),,,2,,,,2,,2
diabetic foot,Other,grafixâ®,2,,,,,,2,,2
diabetic foot,Other,grafixprimeâ®,2,,,,,,2,,2
diabetic foot,Other,truskinâ®,,,2,,,,2,,2
diabetic foot,Procedure,control,2,,,,,,2,,2
diabetic nephropathies,placebo,placebo,5,,,,,3,2,,5
diabetic nephropathies,Drug,valsartan,2,,2,,,3,1,,4
diabetic nephropathies,Drug,losartan,3,,,,,2,1,,3
diabetic nephropathies,Drug,ramipril,3,,,,,2,1,,3
diabetic nephropathies,Drug,aliskiren,,,2,,,,2,,2
diabetic nephropathies,Drug,cilostazol,2,,,,,1,1,,2
diabetic nephropathies,Drug,irbesartan,2,,,,,,2,,2
diabetic nephropathies,Drug,ketosterilâ®,2,,,,,2,,,2
diabetic nephropathies,Drug,telmisartan,2,,,,,2,,,2
diabetic neuropathies,placebo,placebo,5,,2,,,2,5,,7
diabetic neuropathies,Drug,gabapentin,4,,1,,,3,2,,5
diabetic neuropathies,Drug,pregabalin,4,,,,,2,2,,4
diabetic neuropathies,Drug,duloxetine,2,,1,,,1,2,,3
diabetic neuropathies,Drug,cesametâ„¢ (nabilone),2,,,,,2,,,2
diabetic retinopathy,Drug,ranibizumab,3,,,,,,3,,3
diabetic retinopathy,Drug,bevacizumab,2,,,,,,2,,2
diabetic retinopathy,placebo,placebo,2,,,,,,2,,2
diabetic retinopathy,Procedure,laser treatment with pascalâ®,2,,,,,,2,,2
diarrhea,placebo,placebo,16,1,5,,,5,17,,22
diarrhea,Drug,loperamide,2,1,,,,2,1,,3
diarrhea,Drug,ondansetron,3,,,,,,3,,3
diarrhea,Biological,meningitis conjugate vaccine (psa-tt-5î¼g),2,,,,,,2,,2
diarrhea,Drug,metronidazole,1,,1,,,,2,,2
diarrhea,Drug,ramosetron,2,,,,,1,1,,2
digestive system diseases,Drug,idiazole 20mg dr tabs,2,,,,,,2,,2
digestive system diseases,Drug,pariet 20 mg dr tabs,2,,,,,,2,,2
"dilatation, pathologic",Drug,lidocaine,2,,,,,,2,,2
"dilatation, pathologic",placebo,placebo,2,,,,,,2,,2
diphtheria,Biological,boostrixâ„¢,6,,,,,2,4,,6
diphtheria,Biological,acellular pertussis adsorbed,4,,,,,2,2,,4
diphtheria,Biological,infanrixâ„¢ hexa,4,,,,,2,2,,4
diphtheria,Biological,"",2,,,,,1,1,,2
diphtheria,Biological,boostrixâ„¢-us formulation,2,,,,,,2,,2
diphtheria,Biological,boostrixâ„¢ (dtpa),2,,,,,2,,,2
diphtheria,Biological,boostrixâ®,2,,,,,2,,,2
diphtheria,Biological,diphtheria,2,,,,,1,1,,2
diphtheria,Biological,"ditanrixâ„¢ adult, tedivaxtm (td)",2,,,,,2,,,2
diphtheria,Biological,dtpa-hbv-ipv-hib vaccine (hexavacâ„¢),2,,,,,2,,,2
diphtheria,Biological,infanrix hexa,2,,,,,,2,,2
diphtheria,Biological,infanrixâ„¢ penta,2,,,,,2,,,2
diphtheria,Biological,menactraâ„¢,2,,,,,2,,,2
diphtheria,Biological,rotateqâ„¢ (v260),2,,,,,,2,,2
diphtheria,Biological,tetanus,2,,,,,1,1,,2
diphtheria,Biological,"tetanus toxoid, reduced diphtheria toxoid",2,,,,,,2,,2
diphtheria,Biological,tetanus toxoids,2,,,,,1,1,,2
disease,placebo,placebo,65,1,6,,1,26,44,1,72
disease,Drug,quetiapine,11,1,1,,,6,6,1,13
disease,Drug,escitalopram,12,,,,,5,7,,12
disease,Drug,risperidone,9,,2,,,4,7,,11
disease,Drug,aripiprazole,6,,3,,,4,5,,9
disease,Drug,olanzapine,9,,,,,5,4,,9
disease,Drug,duloxetine,7,,,,,3,4,,7
disease,Drug,fluoxetine,6,,1,,,3,4,,7
disease,Drug,lamotrigine,7,,,,,4,3,,7
disease,Drug,atomoxetine,4,,2,,,4,2,,6
disease,Drug,lithium,6,,,,,2,4,,6
disease,Drug,sertraline,5,,1,,,1,5,,6
disease,Drug,methylphenidate,4,,1,,,4,1,,5
disease,Drug,naltrexone,4,,1,,,2,3,,5
disease,Drug,ziprasidone,4,,1,,,2,3,,5
disease,Drug,paroxetine,4,,,,,1,3,,4
disease,Drug,rocuronium,4,,,,,,4,,4
disease,Drug,topiramate,4,,,,,2,2,,4
disease,Drug,vilazodone,4,,,,,,4,,4
disease,Drug,lithium carbonate,3,,,,,1,2,,3
disease,Drug,oxcarbazepine,3,,,,,2,1,,3
disease,Drug,sugammadex,3,,,,,,3,,3
disease,Drug,varenicline,3,,,,,,3,,3
disease,Behavioral,cognitive-behavioral therapy,2,,,,,1,1,,2
disease,Behavioral,cognitive behavioral therapy,2,,,,,1,1,,2
disease,Behavioral,parent management training,2,,,,,,2,,2
disease,Device,norditropin nordiflexâ®,2,,,,,,2,,2
disease,Drug,atomoxetine hydrochloride,2,,,,,2,,,2
disease,Drug,bupropion sr,1,,1,,,2,,,2
disease,Drug,citalopram,2,,,,,,2,,2
disease,Drug,clozapine,2,,,,,2,,,2
disease,Drug,egb 761â® (tanakanâ®),2,,,,,2,,,2
disease,Drug,memantine,2,,,,,1,1,,2
disease,Drug,modafinil,1,,1,,,,2,,2
disease,Drug,nortriptyline,2,,,,,1,1,,2
disease,Drug,paliperidone,1,,1,,,1,1,,2
disease,Drug,pravastatin,2,,,,,1,1,,2
disease,Drug,pregabalin,2,,,,,,2,,2
disease,Drug,propranolol,2,,,,,1,1,,2
disease,Drug,quetiapine fumarate,2,,,,,2,,,2
disease,Drug,quetiapine xr,1,,1,,,1,1,,2
disease,Drug,ramelteon,2,,,,,1,1,,2
disease,Drug,sugar pill,2,,,,,,2,,2
disease,Drug,treatment as usual,2,,,,,2,,,2
disease,Drug,venlafaxine xr,2,,,,,1,1,,2
disorders of excessive somnolence,Drug,armodafinil,2,,,,,1,1,,2
"disruptive, impulse control, and conduct disorders",placebo,placebo,2,,1,,,,3,,3
dissociative disorders,Drug,sertraline,2,,,,,1,1,,2
dissociative disorders,placebo,placebo,1,,1,,,1,1,,2
diverticulitis,Drug,tigecycline,2,,,,,2,,,2
drug-related side effects and adverse reactions,placebo,placebo,2,,,,,,2,,2
dry eye syndromes,Drug,systane complete,3,,,,,,2,1,3
dry eye syndromes,Other,systane,3,,,,,2,1,,3
dry eye syndromes,Device,blink contactsâ® eye drops,2,,,,,,2,,2
dry eye syndromes,Device,hyabakâ®,2,,,,,,2,,2
dry eye syndromes,Device,hydrabakâ®,2,,,,,,2,,2
dry eye syndromes,Device,thealoz duoâ®,2,,,,,,2,,2
dry eye syndromes,Dietary Supplement,theratearsâ® nutrition,2,,,,,,2,,2
dry eye syndromes,Drug,"azithromycin ophthalmic solution, 1%",2,,,,,,2,,2
dry eye syndromes,Drug,blinkâ® tears lubricant eye drops,2,,,,,,2,,2
dry eye syndromes,Drug,carboxymethylcellulose 0.5%,2,,,,,1,1,,2
dry eye syndromes,Drug,"carboxymethylcellulose 0.5% , glycerin 0.9% (optiveâ® md)",2,,,,,,2,,2
dry eye syndromes,Drug,cyclosporine 0.05% ophthalmic emulsion,2,,,,,,2,,2
dry eye syndromes,Drug,glycerin 0.9%,2,,,,,1,1,,2
dry eye syndromes,Drug,lotemax,2,,,,,1,1,,2
dry eye syndromes,Drug,lubricant eye drops (optiveâ„¢),2,,,,,2,,,2
dry eye syndromes,Drug,lubricating eye drops (blinkâ® tears),2,,,,,2,,,2
dry eye syndromes,Drug,restasis,2,,,,,1,1,,2
dry eye syndromes,Drug,retaineâ„¢,2,,,,,,2,,2
dry eye syndromes,Drug,rohto dry-aidâ®,2,,,,,,2,,2
dry eye syndromes,Drug,sodium hyaluronate 0.18%,2,,,,,1,1,,2
dry eye syndromes,Drug,sodium hyaluronate 0.18% (vismedâ® multi),2,,,,,,2,,2
dry eye syndromes,Drug,systane,2,,,,,2,,,2
dry eye syndromes,Drug,systaneâ® ultra,2,,,,,,2,,2
dry eye syndromes,Drug,theratearsâ® lubricant eye drop,2,,,,,,2,,2
dry eye syndromes,Drug,theratearsâ® preservative-free single-use containers,2,,,,,,2,,2
dry eye syndromes,Drug,visineâ® for contactsâ®,2,,,,,,2,,2
dry eye syndromes,Other,fid 112903 (systaneâ® ultra lubricant eye drops),2,,,,,,2,,2
dry eye syndromes,Other,systane ultra,2,,,,,1,1,,2
dry eye syndromes,Other,systane ultra lubricant eye drops,2,,,,,,2,,2
dry eye syndromes,Other,theratearsâ® theralidâ® eyelid cleanser,2,,,,,,2,,2
dry eye syndromes,placebo,placebo,2,,,,,,2,,2
"ductus arteriosus, patent",Drug,oral ibuprofen,2,,,,,1,1,,2
dwarfism,Drug,r-hgh,2,,,,1,1,,,2
"dwarfism, pituitary",Drug,somatropin,2,,1,,,2,1,,3
"dwarfism, pituitary",Device,t-jetâ® containing tevtropinâ®,2,,,,,,2,,2
"dwarfism, pituitary",Drug,recombinant human growth hormone (genotropinâ® ),2,,,,,2,,,2
"dwarfism, pituitary",Drug,saizenâ® solution for injection (referred as saizenâ®),2,,,,,,2,,2
"dwarfism, pituitary",Procedure,tevtropinâ® needle-syringe injection method,2,,,,,,2,,2
dyskinesias,Drug,olanzapine,2,,,,,2,,,2
dyskinesias,placebo,placebo,1,,1,,,1,1,,2
dyslexia,Drug,atomoxetine,3,,,,,,3,,3
dyslexia,placebo,placebo,3,,,,,1,2,,3
dyslipidemias,placebo,placebo,12,,5,,,5,12,,17
dyslipidemias,Drug,atorvastatin,4,,1,,,3,2,,5
dyslipidemias,Drug,ezetimibe,4,,,,,2,2,,4
dyslipidemias,Drug,fenofibrate,4,,,,,,4,,4
dyslipidemias,Drug,pitavastatin,4,,,,,,4,,4
dyslipidemias,Drug,rosuvastatin,3,,1,,,2,2,,4
dyslipidemias,Drug,atorvastatin (lipitor),3,,,,,3,,,3
dyslipidemias,Drug,fluvastatin,2,,,,,2,,,2
dyslipidemias,Drug,laropiprant,,,2,,,,2,,2
dyslipidemias,Drug,metformin,2,,,,,,2,,2
dyslipidemias,Drug,nicotinic acid,1,,1,,,,2,,2
dyslipidemias,Drug,pravastatin,2,,,,,,2,,2
dyslipidemias,Drug,simvastatin,2,,,,,1,1,,2
dyslipidemias,Drug,tenavitâ®,2,,,,,,2,,2
dyspepsia,Drug,amoxicillin,6,,,,,,6,,6
dyspepsia,Drug,esomeprazole,5,,,,,1,4,,5
dyspepsia,Drug,lansoprazole,4,,1,,,1,4,,5
dyspepsia,placebo,placebo,3,,2,,,,4,1,5
dyspepsia,Drug,bismuth,4,,,,,,4,,4
dyspepsia,Drug,clarithromycin,4,,,,,,4,,4
dyspepsia,Drug,pantoprazole,2,,1,,,,3,,3
dyspepsia,Drug,berberine,2,,,,,,2,,2
dyspepsia,Drug,bismuth potassium citrate,2,,,,,,2,,2
dyspepsia,Drug,levoï¬‚oxacin,2,,,,,,2,,2
dyspepsia,Drug,metronidazole,2,,,,,,2,,2
dyspepsia,Drug,motilitone â®,2,,,,,,2,,2
dyspepsia,Drug,pantolineâ®,2,,,,,,2,,2
dyspepsia,Drug,ranitidine,2,,,,,,2,,2
dyspnea,placebo,placebo,5,,1,,,,6,,6
dyspnea,Drug,spirivaâ®,2,,,,,,2,,2
dyspnea,Drug,ultibroâ®,2,,,,,,2,,2
dyssomnias,placebo,placebo,5,,,,,3,2,,5
dyssomnias,Drug,eszopiclone,2,,,,,2,,,2
dysthymic disorder,placebo,placebo,4,,,,,2,2,,4
dysthymic disorder,Drug,escitalopram,3,,,,,3,,,3
dysthymic disorder,Drug,bupropion,2,,,,,2,,,2
dystonia,Biological,xeominâ®,2,,,,,,2,,2
dystonia,Drug,botoxâ® (onabotulinumtoxina),2,,,,,,2,,2
dystonia,Drug,dysportâ® (abobotulinumtoxina),2,,,,,,2,,2
dystonic disorders,Biological,xeominâ®,2,,,,,,2,,2
dystonic disorders,Drug,botoxâ® (onabotulinumtoxina),2,,,,,,2,,2
dystonic disorders,Drug,dysportâ® (abobotulinumtoxina),2,,,,,,2,,2
eclampsia,placebo,placebo,2,,,,,,2,,2
eczema,Drug,pimecrolimus,5,,1,,,5,1,,6
eczema,placebo,placebo,5,,,,,2,3,,5
eczema,Drug,tacrolimus ointment,4,,,,,4,,,4
eczema,Drug,pimecrolimus cream,3,,,,,3,,,3
eczema,Device,zarzenda,2,,,,,2,,,2
eczema,Drug,corticosteroid,1,,1,,,2,,,2
eczema,Drug,locobaseâ® repair,2,,,,,2,,,2
eczema,Other,cetaphilâ® restoradermâ® body wash,2,,,,,,2,,2
edema,Drug,ranibizumab,7,,2,,,,9,,9
edema,Drug,aflibercept,4,,,,,,4,,4
edema,Drug,bevacizumab,3,,,,,,3,,3
edema,Drug,ozurdex,2,,1,,,,3,,3
edema,Drug,acetazolamide,1,,1,,,,2,,2
edema,Drug,dexamethasone implant,2,,,,,,2,,2
edema,Drug,iluvien,2,,,,,,2,,2
edema,Drug,ketorolac,2,,,,,1,1,,2
edema,Drug,macugenâ® pegaptanib sodium,2,,,,,,2,,2
edema,Drug,nepafenac,2,,,,,1,1,,2
edema,Drug,triamcinolone,2,,,,,,2,,2
eisenmenger complex,Drug,tracleerâ®,2,,,,,2,,,2
embolism,Drug,rivaroxaban,3,,1,,,,4,,4
embolism,Drug,warfarin,3,,1,,,,4,,4
embolism,Drug,aspirin,2,,,,,,2,,2
embolism,Drug,urokinase,2,,,,,2,,,2
emergence delirium,Drug,dexmedetomidine,7,,,,,,7,,7
emergence delirium,Drug,sevoflurane,3,,1,,,,4,,4
emergence delirium,Drug,propofol,2,,1,,,,3,,3
emergence delirium,Drug,midazolam,2,,,,,,2,,2
