mesh,intervention_type,interventions_normalized,Completed,Suspended,Terminated,198,199,200,201,202,203,n_gl
coronary artery disease,Device,drug-eluting stent,3,,,,,3,,,,3
coronary artery disease,Dietary Supplement,coenzyme q10,3,,,,,1,2,,,3
coronary artery disease,Drug,ranolazine,3,,,,,,3,,,3
coronary artery disease,Drug,rosuvastatin calcium,3,,,,,3,,,,3
coronary artery disease,Drug,thienopyridine,3,,,,,,3,,,3
coronary artery disease,Biological,influenza vaccine,2,,,,,2,,,,2
coronary artery disease,Device,bare-metal stent,2,,,,,2,,,,2
coronary artery disease,Device,bare metal stent,2,,,,,,2,,,2
coronary artery disease,Device,conor medsystems costarâ„¢ stent (10 âµg paclitaxel),2,,,,,2,,,,2
coronary artery disease,Device,conor medsystems costarâ„¢ stent (30 âµg paclitaxel),2,,,,,2,,,,2
coronary artery disease,Device,cypher select,2,,,,,2,,,,2
coronary artery disease,Device,cypher sirolimus-eluting coronary stent,2,,,,,2,,,,2
coronary artery disease,Device,drug eluting balloon,2,,,,,1,1,,,2
coronary artery disease,Device,drug eluting stent,2,,,,,,2,,,2
coronary artery disease,Device,emergeâ„¢ 1.20 mm ptca dilatation catheter,2,,,,,,2,,,2
coronary artery disease,Device,libertã©,2,,,,,2,,,,2
coronary artery disease,Device,nevoâ„¢ sirolimus-eluting coronary stent system,,,2,,,,2,,,2
coronary artery disease,Device,percutaneous coronary intervention,2,,,,,2,,,,2
coronary artery disease,Device,percutaneous coronary intervention (pci) with paclitaxel-eluting stent (taxus element) implantation,2,,,,,2,,,,2
coronary artery disease,Device,promus element,2,,,,,,2,,,2
coronary artery disease,Device,promus element coronary stent system,2,,,,,,2,,,2
coronary artery disease,Device,promus elementâ„¢,2,,,,,2,,,,2
coronary artery disease,Device,resolute integrityâ„¢ zotarolimus-eluting coronary stent system,2,,,,,,2,,,2
coronary artery disease,Device,taxus libertã©â„¢-sr,2,,,,,2,,,,2
coronary artery disease,Device,taxusâ„¢ express2,2,,,,,2,,,,2
coronary artery disease,Device,taxusâ„¢ express2â„¢ paclitaxel eluting coronary stent system,2,,,,,2,,,,2
coronary artery disease,Device,taxusâ® express2â„¢ paclitaxel eluting coronary stent,2,,,,,2,,,,2
coronary artery disease,Device,zomaxxâ„¢ drug-eluting coronary stent system,2,,,,,2,,,,2
coronary artery disease,Drug,adenosine spect-mpi,,,2,,,,2,,,2
coronary artery disease,Drug,apadenoson,,,2,,,2,,,,2
coronary artery disease,Drug,apadenoson spect-mpi,,,2,,,,2,,,2
coronary artery disease,Drug,ateronon,2,,,,,,2,,,2
coronary artery disease,Drug,binodenoson,2,,,,,2,,,,2
coronary artery disease,Drug,dalcetrapib,2,,,,,,2,,,2
coronary artery disease,Drug,ezetimibe 10 mg,2,,,,,2,,,,2
coronary artery disease,Drug,iodixanol,,,2,,,2,,,,2
coronary artery disease,Drug,ivabradine,2,,,,,1,1,,,2
coronary artery disease,Drug,lovastatin,2,,,1,1,,,,,2
coronary artery disease,Drug,lumason,2,,,,,,2,,,2
coronary artery disease,Drug,mipomersen sodium,2,,,,,1,1,,,2
coronary artery disease,Drug,rosuvastatin,1,,1,,,,2,,,2
coronary artery disease,Drug,sevoflurane,2,,,,,,2,,,2
coronary artery disease,Drug,simvastatin 20 mg,2,,,,,2,,,,2
coronary artery disease,Drug,xenon,2,,,,,,2,,,2
coronary artery disease,placebo,placebo for influenza vaccine,2,,,,,2,,,,2
coronary disease,placebo,placebo,35,,1,,1,13,22,,,36
coronary disease,Drug,atorvastatin,8,,2,,,8,2,,,10
coronary disease,Drug,ezetimibe,7,,,,,6,1,,,7
coronary disease,Drug,abt-335,6,,,,,5,1,,,6
coronary disease,Drug,clopidogrel,6,,,,,2,4,,,6
coronary disease,Drug,simvastatin,5,,1,,,4,2,,,6
coronary disease,Drug,"mk0653, ezetimibe",5,,,,,5,,,,5
coronary disease,Drug,adenosine,3,,1,,,3,1,,,4
coronary disease,Drug,pb127 for injectable suspension,3,,1,,,4,,,,4
coronary disease,placebo,"comparator: ezetimibe, placebo",4,,,,,4,,,,4
coronary disease,Behavioral,"diet, fat-restricted",3,,,,1,2,,,,3
coronary disease,Drug,ticagrelor,3,,,,,,3,,,3
coronary disease,Biological,influenza vaccine,2,,,,,2,,,,2
coronary disease,Device,corioâ„¢ pimecrolimus-eluting coronary stent system,2,,,,,2,,,,2
coronary disease,Device,corioâ„¢ pimecrolimus-eluting stent,,,2,,,2,,,,2
coronary disease,Device,costar â„¢ paclitaxel-eluting coronary stent system,2,,,,,2,,,,2
coronary disease,Device,costarâ„¢ paclitaxel-eluting coronary stent with srx catheter,2,,,,,2,,,,2
coronary disease,Device,nevoâ„¢ sirolimus-eluting coronary stent system,,,2,,,,2,,,2
coronary disease,Device,percutaneous coronary intervention,2,,,,,2,,,,2
coronary disease,Device,promus elementâ„¢,2,,,,,2,,,,2
coronary disease,Device,taxusâ„¢ express2â„¢ paclitaxel-eluting coronary stent,2,,,,,2,,,,2
coronary disease,Device,taxusâ„¢ express2â„¢ paclitaxel eluting coronary stent,2,,,,,2,,,,2
coronary disease,Device,taxusâ„¢ express2â„¢ paclitaxel eluting coronary stent system,2,,,,,2,,,,2
coronary disease,Device,xience vâ® everolimus eluting coronary stent,2,,,,,2,,,,2
coronary disease,Device,zomaxxâ„¢ drug-eluting coronary stent system,2,,,,,2,,,,2
coronary disease,Dietary Supplement,coenzyme q10,2,,,,,1,1,,,2
coronary disease,Drug,adenosine spect-mpi,,,2,,,,2,,,2
coronary disease,Drug,apadenoson spect-mpi,,,2,,,,2,,,2
coronary disease,Drug,aspirin,2,,,,1,1,,,,2
coronary disease,Drug,ateronon,2,,,,,,2,,,2
coronary disease,Drug,binodenoson,2,,,,,2,,,,2
coronary disease,Drug,dalcetrapib,2,,,,,,2,,,2
coronary disease,Drug,ezetimibe 10 mg,2,,,,,2,,,,2
coronary disease,Drug,ivabradine,2,,,,,1,1,,,2
coronary disease,Drug,lumason,2,,,,,,2,,,2
coronary disease,Drug,mipomersen sodium,2,,,,,1,1,,,2
coronary disease,Drug,regadenoson,2,,,,,,2,,,2
coronary disease,Drug,rosuvastatin calcium,2,,,,,2,,,,2
coronary disease,Drug,sevoflurane,2,,,,,,2,,,2
coronary disease,Drug,simvastatin 20 mg,2,,,,,2,,,,2
coronary disease,Drug,vitamin d,1,,1,,,1,1,,,2
coronary disease,Drug,xenon,2,,,,,,2,,,2
coronary disease,placebo,placebo for influenza vaccine,2,,,,,2,,,,2
coronary disease,Procedure,coronary artery bypass,2,,,,,2,,,,2
coronary occlusion,Device,taxusâ® express2â„¢ paclitaxel eluting coronary stent,2,,,,,2,,,,2
coronary occlusion,Device,xience vâ® everolimus eluting coronary stent,2,,,,,2,,,,2
coronary restenosis,Device,xience vâ® everolimus eluting coronary stent,4,,,,,4,,,,4
coronary restenosis,Device,taxusâ„¢ express2â„¢ paclitaxel eluting coronary stent,2,,,,,2,,,,2
coronary restenosis,Device,taxusâ„¢ express2â„¢ paclitaxel eluting coronary stent system,2,,,,,2,,,,2
coronary restenosis,Device,taxusâ® express2â„¢ paclitaxel eluting coronary stent,2,,,,,2,,,,2
coronary restenosis,Device,xience vâ®,2,,,,,,2,,,2
coronary restenosis,Device,zomaxxâ„¢ drug-eluting coronary stent system,2,,,,,2,,,,2
coronary stenosis,Device,taxusâ® express2â„¢ paclitaxel eluting coronary stent,2,,,,,2,,,,2
coronary stenosis,Device,xience vâ® everolimus eluting coronary stent,2,,,,,2,,,,2
cough,placebo,placebo,3,,,,,,3,,,3
cough,Drug,libexinâ®,2,,,,,,2,,,2
craniocerebral trauma,placebo,placebo,1,,1,,,,2,,,2
critical illness,placebo,placebo,6,,1,,,2,5,,,7
critical illness,Drug,cholecalciferol,2,,,,,,2,,,2
critical illness,Drug,glutamin,2,,,,,,2,,,2
critical illness,Other,maltodextrin,2,,,,,,2,,,2
crohn disease,placebo,placebo,21,,14,,2,13,20,,,35
crohn disease,Biological,adalimumab,11,,,,,6,5,,,11
crohn disease,Drug,adalimumab,4,,2,,,,5,1,,6
crohn disease,Drug,azathioprine,4,,1,,,2,3,,,5
crohn disease,Drug,vedolizumab,5,,,,,,5,,,5
crohn disease,Biological,certolizumab pegol,3,,1,,,3,1,,,4
crohn disease,Drug,gsk1605786a,1,,3,,,,4,,,4
crohn disease,Drug,kg,4,,,,2,,2,,,4
crohn disease,Drug,mesalazine,4,,,,,2,2,,,4
crohn disease,Biological,certolizumab pegol (cdp870),3,,,,,,3,,,3
crohn disease,Drug,natalizumab,3,,,,,3,,,,3
crohn disease,Drug,sargramostim (leukine),1,,2,,,3,,,,3
crohn disease,Biological,infliximab,,,2,,,1,1,,,2
crohn disease,Device,givenâ® diagnostic system including pillcamtm sb capsules,2,,,,,,2,,,2
crohn disease,Drug,adult human mesenchymal stem cells,2,,,,,,2,,,2
crohn disease,Drug,budesonide,2,,,,,1,1,,,2
crohn disease,Drug,certolizumab pegol (cdp870),2,,,,,2,,,,2
crohn disease,Drug,entocort,2,,,,,,2,,,2
crohn disease,Drug,ged-0301,,,2,,,,2,,,2
crohn disease,Drug,group 2 ustekinumab 130 mg,2,,,,,,2,,,2
crohn disease,Drug,group 3: ustekinumab approximately 6 mg,2,,,,,,2,,,2
crohn disease,Drug,group 3: ustekinumab approximately 6 mg/kg,2,,,,,,2,,,2
crohn disease,Drug,infliximab,2,,,,,,2,,,2
crohn disease,Drug,infliximab 10 mg,2,,,,2,,,,,2
crohn disease,Drug,infliximab 10 mg/kg,2,,,,2,,,,,2
crohn disease,Drug,infliximab 5 mg,2,,,,2,,,,,2
crohn disease,Drug,infliximab 5 mg/kg,2,,,,2,,,,,2
crohn disease,Drug,rifaximin eir,,,2,,,,2,,,2
crohn disease,Drug,ta-650,2,,,,,1,1,,,2
crohn disease,placebo,group 1: placebo,2,,,,,,2,,,2
cross infection,Drug,tigecycline,3,,,,,3,,,,3
cross infection,placebo,placebo,2,,1,,,1,2,,,3
cryopyrin-associated periodic syndromes,placebo,placebo,3,,,,,2,1,,,3
cryopyrin-associated periodic syndromes,Drug,acz885,2,,,,,1,1,,,2
cryopyrin-associated periodic syndromes,Drug,canakinumab,1,,1,,,,2,,,2
cushing syndrome,Drug,mifepristone,3,,,,,,3,,,3
cystadenocarcinoma,Drug,fluorouracil,2,,,,,1,1,,,2
cystadenocarcinoma,Drug,leucovorin calcium,2,,,,,1,1,,,2
cystadenocarcinoma,Drug,oxaliplatin,2,,,,,1,1,,,2
cystadenocarcinoma,Other,laboratory biomarker analysis,2,,,,,1,1,,,2
"cystadenocarcinoma, serous",Drug,paclitaxel,2,1,,,,,2,1,,3
"cystadenocarcinoma, serous",Other,quality-of-life assessment,1,2,,,,,1,2,,3
"cystadenocarcinoma, serous",Biological,bevacizumab,1,1,,,,,1,1,,2
"cystadenocarcinoma, serous",Drug,carboplatin,1,1,,,,,1,1,,2
cystic fibrosis,placebo,placebo,32,,1,,,6,27,,,33
cystic fibrosis,Drug,ivacaftor,21,,1,,,,22,,,22
cystic fibrosis,Drug,iva,7,,1,,,,8,,,8
cystic fibrosis,Drug,tez,6,,1,,,,7,,,7
cystic fibrosis,Drug,tobramycin inhalation powder,4,,1,,,2,3,,,5
cystic fibrosis,Drug,tez/iva,4,,,,,,4,,,4
cystic fibrosis,Drug,ultraseâ® mt20,4,,,,,4,,,,4
cystic fibrosis,Drug,azli,3,,,,,,3,,,3
cystic fibrosis,Drug,liprotamase,3,,,,,2,1,,,3
cystic fibrosis,Drug,lumacaftor,3,,,,,,3,,,3
cystic fibrosis,Drug,lumacaftor plus ivacaftor combination,3,,,,,,3,,,3
cystic fibrosis,Drug,pancrelipase delayed release,3,,,,,3,,,,3
cystic fibrosis,Drug,vx-659,2,,1,,,,3,,,3
cystic fibrosis,Drug,vx-659/tez/iva,2,,1,,,,3,,,3
cystic fibrosis,placebo,placebo comparator,3,,,,,2,1,,,3
cystic fibrosis,Dietary Supplement,lactobacillus rhamnosus gg,2,,,,,1,1,,,2
cystic fibrosis,Drug,ataluren,,,2,,,,2,,,2
cystic fibrosis,Drug,ataluren (ptc124),2,,,,,,2,,,2
cystic fibrosis,Drug,azli 75 mg two times a day (bid),2,,,,,2,,,,2
cystic fibrosis,Drug,creonâ®,2,,,,,,2,,,2
cystic fibrosis,Drug,denufosol tetrasodium (ins37217) inhalation solution,2,,,,,1,1,,,2
cystic fibrosis,Drug,eur-1008 (apt-1008),2,,,,,2,,,,2
cystic fibrosis,Drug,inhaled mannitol,2,,,,,,2,,,2
cystic fibrosis,Drug,liposomal amikacin for inhalation (arikayceâ„¢) using the pari investigational eflowâ® nebulizer.,2,,,,,,2,,,2
cystic fibrosis,Drug,mp-376 (levofloxacin solution for inhalation),2,,,,,,2,,,2
cystic fibrosis,Drug,pancrecarbâ® (pancrelipase),2,,,,,2,,,,2
cystic fibrosis,Drug,repaglinide,2,,,,,1,1,,,2
cystic fibrosis,Drug,tezacaftor,2,,,,,,2,,,2
cystic fibrosis,Drug,tezacaftor/ivacaftor,2,,,,,,2,,,2
cystic fibrosis,Drug,three times a day (tid),2,,,,,2,,,,2
cystic fibrosis,Drug,tiotropium respimatâ® inhaler,2,,,,,,2,,,2
cystic fibrosis,Drug,tobi,2,,,,,,2,,,2
cystic fibrosis,Drug,tobramycin,2,,,,,,2,,,2
cystic fibrosis,Drug,tobramycin inhalation solution using a pari lcâ® plus nebulizer.,2,,,,,,2,,,2
cystic fibrosis,Drug,tobramycin solution for inhalation,2,,,,,1,1,,,2
cystic fibrosis,Drug,ultraseâ® mt12,2,,,,,2,,,,2
cystic fibrosis,Drug,vx-445,2,,,,,,2,,,2
cystic fibrosis,Drug,vx-661 plus ivacaftor combination,2,,,,,,2,,,2
cystic fibrosis,placebo,placebo respimatâ® inhaler,2,,,,,,2,,,2
cysticercosis,Drug,albendazole,3,,,,,1,2,,,3
cysticercosis,Drug,dexamethasone,1,,1,,,,2,,,2
cystinosis,Drug,cystagonâ®,2,,,,,,2,,,2
cystinosis,Drug,cystagonâ® (cysteamine bitartrate),2,,,,,,2,,,2
cystinosis,Drug,rp103,2,,,,,,2,,,2
cystitis,placebo,placebo,3,,2,,1,2,2,,,5
"cystitis, interstitial",placebo,placebo,2,,2,,,2,2,,,4
cysts,placebo,placebo,2,,,,,1,1,,,2
cytomegalovirus infections,Drug,valganciclovir,3,,4,,,3,4,,,7
cytomegalovirus infections,placebo,placebo,5,,,,,2,3,,,5
cytomegalovirus infections,Drug,ganciclovir,2,,1,,,2,1,,,3
cytomegalovirus infections,Drug,hcmv-specific hyperimmune globulin (cytotectâ®),2,,,,,,2,,,2
cytomegalovirus infections,Drug,maribavir,2,,,,,2,,,,2
cytomegalovirus retinitis,Drug,ganciclovir,4,,,,3,1,,,,4
cytomegalovirus retinitis,Drug,foscarnet,2,,,,2,,,,,2
deafness,placebo,placebo,1,,2,,,,3,,,3
deafness,Drug,am-111 0.4 mg,1,,1,,,,2,,,2
deafness,Drug,am-111 0.4 mg/ml,1,,1,,,,2,,,2
deafness,Drug,am-111 0.8 mg,1,,1,,,,2,,,2
deafness,Drug,am-111 0.8 mg/ml,1,,1,,,,2,,,2
deafness,Drug,ml,1,,1,,,,2,,,2
deafness,Drug,valganciclovir,,,2,,,,2,,,2
death,placebo,placebo,1,,1,,,,2,,,2
"death, sudden, cardiac",placebo,placebo,2,,,,,,2,,,2
deficiency diseases,Drug,ferumoxytol,4,,3,,,,7,,,7
deficiency diseases,Drug,ferric carboxymaltose,4,1,,,,1,3,1,,5
deficiency diseases,Drug,ferric derisomaltose,5,,,,,,5,,,5
deficiency diseases,Drug,iron isomaltoside,5,,,,,,5,,,5
deficiency diseases,Drug,iron isomaltoside/ferric derisomaltose,5,,,,,,5,,,5
deficiency diseases,Drug,iron sucrose,5,,,,,1,4,,,5
deficiency diseases,Drug,ferrous sulfate,3,1,,,,,3,1,,4
deficiency diseases,Drug,oral iron,1,,2,,,1,2,,,3
deficiency diseases,placebo,placebo,3,,,,,1,2,,,3
deficiency diseases,Drug,ferric carboxymaltose (fcm),2,,,,,,2,,,2
deficiency diseases,Drug,iron isomaltoside 1000 (monoferâ®),2,,,,,,2,,,2
deficiency diseases,Drug,iron sucrose (venoferâ®),2,,,,,,2,,,2
deficiency diseases,placebo,placebo oral capsule,2,,,,,,2,,,2
delayed graft function,placebo,placebo,2,,,,,,2,,,2
delirium,Drug,haloperidol,4,,4,,,2,6,,,8
delirium,placebo,placebo,7,,1,,,4,4,,,8
delirium,Drug,dexmedetomidine,5,,2,,,1,6,,,7
delirium,Drug,quetiapine,1,,1,,,,2,,,2
delirium,Drug,saline,1,,1,,,,2,,,2
delirium,placebo,saline placebo,1,,1,,,,2,,,2
dementia,placebo,placebo,12,,5,,,5,12,,,17
dementia,Drug,donepezil,1,,2,,,1,2,,,3
dementia,Drug,rivastigmine,3,,,,,2,1,,,3
dementia,Drug,avp-786,2,,,,,,2,,,2
dementia,Drug,"brexpiprazole, opc-34712",2,,,,,,2,,,2
dementia,Drug,donepezil hydrochloride,2,,,,,2,,,,2
dementia,Drug,e2020,2,,,,,,2,,,2
dementia,Drug,lanabecestat,,,2,,,,2,,,2
dementia,Drug,trx0237,1,,1,,,,2,,,2
dementia,Drug,xaliproden (sr57746a),2,,,,,2,,,,2
"dementia, vascular",Drug,donepezil,1,,1,,,1,1,,,2
"dementia, vascular",Drug,rivastigmine,2,,,,,2,,,,2
"dementia, vascular",placebo,placebo,2,,,,,1,1,,,2
dengue,placebo,placebo,5,,,,,,5,,,5
dengue,Biological,4 virus,3,,,,,,3,,,3
dengue,Biological,cyd dengue vaccine,2,,,,,,2,,,2
dengue,Biological,"live, attenuated, dengue serotype 1, 2, 3, 4 virus",2,,,,,,2,,,2
dengue,Biological,"measles, mumps,",2,,,,,,2,,,2
dengue,Biological,"measles, mumps,/rubella vaccine",2,,,,,,2,,,2
dengue,Biological,rubella vaccine,2,,,,,,2,,,2
dengue,Biological,tak-003 (denvax),2,,,,,,2,,,2
dengue,placebo,placebo: nacl 0.9%,2,,,,,,2,,,2
dental caries,placebo,placebo,5,1,,,,2,3,1,,6
dental caries,Device,fluoride varnish,2,,,,,2,,,,2
dental caries,Drug,silver diamine fluoride,,2,,,,,,2,,2
dental caries,Drug,silver diammine fluoride,2,,,,,,2,,,2
dental caries,placebo,water as placebo,2,,,,,,2,,,2
dental plaque,Drug,fluoride,10,,,,,10,,,,10
dental plaque,Drug,triclosan,8,,,,,7,1,,,8
dental plaque,Drug,"triclosan, fluoride",3,,,,,3,,,,3
dental plaque,Drug,triclosan/fluoride,3,,,,,3,,,,3
dental plaque,Drug,chlorhexidine gluconate,2,,,,,2,,,,2
dental plaque,Drug,fluoride/triclosan,2,,,,,2,,,,2
dental plaque,Drug,stannous fluoride toothpaste,2,,,,,,2,,,2
dentin sensitivity,Drug,sodium monofluorophosphate,5,,,,,,5,,,5
dentin sensitivity,Drug,stannous fluoride,5,,,,,,5,,,5
depression,placebo,placebo,161,2,19,,,51,129,2,,182
depression,Drug,escitalopram,17,,7,,,11,13,,,24
depression,Drug,sertraline,16,,,,,8,8,,,16
depression,Drug,fluoxetine,13,,1,,,2,12,,,14
depression,Drug,vortioxetine,14,,,,,3,10,1,,14
depression,Drug,aripiprazole,8,,5,,,6,7,,,13
depression,Drug,duloxetine,10,,1,,,4,7,,,11
depression,Drug,brexpiprazole,7,,2,,,,9,,,9
depression,Drug,rapastinel,5,,4,,,,9,,,9
depression,Drug,vortioxetine (lu aa21004),9,,,,,2,7,,,9
depression,Drug,ssri,8,,,,,1,7,,,8
depression,Drug,citalopram,7,,,,,3,4,,,7
depression,Drug,dvs-233 sr,7,,,,,7,,,,7
depression,Drug,lurasidone,7,,,,,,7,,,7
depression,Drug,mifepristone,5,,2,,,6,1,,,7
depression,Drug,paroxetine,6,,1,,,5,2,,,7
depression,Drug,venlafaxine,7,,,,,5,2,,,7
depression,Drug,vilazodone,7,,,,,3,4,,,7
depression,Drug,adt,6,,,,,1,5,,,6
depression,Drug,antidepressant,5,,1,,,3,3,,,6
depression,Drug,esketamine,6,,,,,,6,,,6
depression,Drug,levomilnacipran er,6,,,,,,6,,,6
depression,Drug,ly2216684,6,,,,,,6,,,6
depression,Drug,agomelatine,5,,,,,4,1,,,5
depression,Drug,alks 5461,5,,,,,,4,1,,5
depression,Drug,aprepitant,5,,,,,5,,,,5
depression,Drug,duloxetine (oral antidepressant),5,,,,,,5,,,5
depression,Drug,escitalopram (oral antidepressant),5,,,,,,5,,,5
depression,Drug,lamotrigine,5,,,,,4,1,,,5
depression,Drug,quetiapine,5,,,,,2,3,,,5
depression,Drug,quetiapine xr,3,,2,,,1,4,,,5
depression,Drug,saredutant succinate (sr48968c),5,,,,,5,,,,5
depression,Drug,sertraline (oral antidepressant),5,,,,,,5,,,5
depression,Drug,sr58611a,5,,,,,5,,,,5
depression,Drug,tc-5214,5,,,,,,5,,,5
depression,Device,transcranial direct current stimulation,4,,,,,,4,,,4
depression,Drug,armodafinil,3,,1,,,,4,,,4
depression,Drug,cariprazine,4,,,,,,4,,,4
depression,Drug,"mk0869, aprepitant",4,,,,,4,,,,4
depression,Drug,olanzapine,2,,2,,,2,2,,,4
depression,Drug,venlafaxine extended release (xr) (oral antidepressant),4,,,,,,4,,,4
depression,placebo,comparator: placebo (unspecified),4,,,,,4,,,,4
depression,Behavioral,exercise,2,,1,,,1,2,,,3
depression,Drug,antidepressant / aripiprazole,3,,,,,3,,,,3
depression,Drug,antidepressant / placebo,3,,,,,2,1,,,3
depression,Drug,aripiprazole/escitalopram combination,,,3,,,,3,,,3
depression,Drug,comparator: paroxetine hcl,3,,,,,3,,,,3
depression,Drug,desvenlafaxine succinate sustained-release (dvs sr),3,,,,,2,1,,,3
depression,Drug,desvenlafaxine succinate sustained release,3,,,,,1,2,,,3
depression,Drug,dvs sr,3,,,,,1,2,,,3
depression,Drug,escitalopram combination,,,3,,,,3,,,3
depression,Drug,ketamine,3,,,,,,3,,,3
depression,Drug,lithium carbonate,3,,,,,1,2,,,3
depression,Drug,minocycline,3,,,,,,3,,,3
depression,Drug,opc-34712,3,,,,,,3,,,3
depression,Drug,placebo / adt,3,,,,,,3,,,3
depression,Drug,sage-217,1,2,,,,,1,2,,3
depression,Drug,saredutant (sr48968),3,,,,,3,,,,3
depression,placebo,comparator: placebo,3,,,,,3,,,,3
depression,Behavioral,cognitive behavior therapy,2,,,,,2,,,,2
depression,Behavioral,cognitive behavioral therapy (cbt),2,,,,,2,,,,2
depression,Behavioral,tau,2,,,,,,2,,,2
depression,Device,repetitive transcranial magnetic stimulation,2,,,,,1,1,,,2
depression,Device,thymatron,2,,,,,,2,,,2
depression,Dietary Supplement,omega-3,2,,,,,1,1,,,2
depression,Drug,agomelatine (ago178c),2,,,,,,2,,,2
depression,Drug,amibegron (sr58611a),2,,,,,2,,,,2
depression,Drug,antidepressant therapy (adt),2,,,,,,2,,,2
depression,Drug,day,2,,,,,1,1,,,2
depression,Drug,desvenlafaxine,1,,1,,,,2,,,2
depression,Drug,escitalopram oxalate,1,,1,,,,2,,,2
depression,Drug,eszopiclone,2,,,,,2,,,,2
depression,Drug,geodon (ziprasidone),2,,,,,2,,,,2
depression,Drug,h,2,,,,,,2,,,2
depression,Drug,kg,2,,,,,,2,,,2
depression,Drug,"laifâ® 900, bay98-7108",2,,,,,,2,,,2
depression,Drug,lisdexamfetamine,,,2,,,,2,,,2
depression,Drug,lithium,1,,1,,,1,1,,,2
depression,Drug,melatonin (n-acetyl-5-methoxytryptamine),1,,1,,,,2,,,2
depression,Drug,opc-34712 / adt,2,,,,,,2,,,2
depression,Drug,paroxetine cr,2,,,,,1,1,,,2
depression,Drug,sage-547 90 î¼g,2,,,,,,2,,,2
depression,Drug,sage-547 90 î¼g/kg/h,2,,,,,,2,,,2
depression,Drug,spd489 (lisdexamfetamine dimesylate ),2,,,,,,2,,,2
depression,Drug,trazodone,2,,,,,,2,,,2
depression,Drug,venlafaxine er,2,,,,,1,1,,,2
depression,Drug,vortioxetine 10-20 mg,2,,,,,,2,,,2
depression,Drug,vortioxetine 10 mg,2,,,,,,2,,,2
depression,Drug,ziprasidone,2,,,,,2,,,,2
depression,placebo,placebo comparator,2,,,,,,2,,,2
"depression, postpartum",placebo,placebo,3,,,,,,3,,,3
"depression, postpartum",Drug,h,2,,,,,,2,,,2
"depression, postpartum",Drug,kg,2,,,,,,2,,,2
"depression, postpartum",Drug,sage-547 90 î¼g,2,,,,,,2,,,2
"depression, postpartum",Drug,sage-547 90 î¼g/kg/h,2,,,,,,2,,,2
"depression, postpartum",Drug,sertraline,2,,,,,2,,,,2
depressive disorder,placebo,placebo,150,2,19,,,44,125,2,,171
depressive disorder,Drug,escitalopram,15,,7,,,10,12,,,22
depressive disorder,Drug,sertraline,15,,,,,7,8,,,15
depressive disorder,Drug,fluoxetine,13,,1,,,2,12,,,14
depressive disorder,Drug,vortioxetine,14,,,,,3,10,1,,14
depressive disorder,Drug,aripiprazole,8,,5,,,6,7,,,13
depressive disorder,Drug,brexpiprazole,8,,2,,,,10,,,10
depressive disorder,Drug,duloxetine,10,,,,,4,6,,,10
depressive disorder,Drug,rapastinel,5,,4,,,,9,,,9
depressive disorder,Drug,vortioxetine (lu aa21004),9,,,,,2,7,,,9
depressive disorder,Drug,paroxetine,7,,1,,,6,2,,,8
depressive disorder,Drug,ssri,8,,,,,1,7,,,8
depressive disorder,Drug,adt,7,,,,,1,6,,,7
depressive disorder,Drug,citalopram,7,,,,,3,4,,,7
depressive disorder,Drug,dvs-233 sr,7,,,,,7,,,,7
depressive disorder,Drug,lurasidone,7,,,,,,7,,,7
depressive disorder,Drug,mifepristone,5,,2,,,6,1,,,7
depressive disorder,Drug,vilazodone,7,,,,,3,4,,,7
depressive disorder,Drug,antidepressant,5,,1,,,3,3,,,6
depressive disorder,Drug,esketamine,6,,,,,,6,,,6
depressive disorder,Drug,levomilnacipran er,6,,,,,,6,,,6
depressive disorder,Drug,ly2216684,6,,,,,,6,,,6
depressive disorder,Drug,venlafaxine,6,,,,,4,2,,,6
depressive disorder,Drug,agomelatine,5,,,,,4,1,,,5
depressive disorder,Drug,alks 5461,5,,,,,,4,1,,5
depressive disorder,Drug,aprepitant,5,,,,,5,,,,5
depressive disorder,Drug,duloxetine (oral antidepressant),5,,,,,,5,,,5
depressive disorder,Drug,escitalopram (oral antidepressant),5,,,,,,5,,,5
depressive disorder,Drug,quetiapine xr,3,,2,,,1,4,,,5
depressive disorder,Drug,saredutant succinate (sr48968c),5,,,,,5,,,,5
depressive disorder,Drug,sertraline (oral antidepressant),5,,,,,,5,,,5
depressive disorder,Drug,sr58611a,5,,,,,5,,,,5
depressive disorder,Drug,tc-5214,5,,,,,,5,,,5
depressive disorder,Device,transcranial direct current stimulation,4,,,,,,4,,,4
depressive disorder,Drug,amibegron (sr58611a),4,,,,,4,,,,4
depressive disorder,Drug,armodafinil,3,,1,,,,4,,,4
depressive disorder,Drug,"mk0869, aprepitant",4,,,,,4,,,,4
depressive disorder,Drug,olanzapine,2,,2,,,2,2,,,4
depressive disorder,Drug,venlafaxine extended release (xr) (oral antidepressant),4,,,,,,4,,,4
depressive disorder,placebo,comparator: placebo (unspecified),4,,,,,4,,,,4
depressive disorder,Behavioral,cognitive behavioral therapy (cbt),3,,,,,2,1,,,3
depressive disorder,Behavioral,exercise,1,,2,,,,3,,,3
depressive disorder,Drug,antidepressant / aripiprazole,3,,,,,3,,,,3
depressive disorder,Drug,antidepressant / placebo,3,,,,,2,1,,,3
depressive disorder,Drug,aripiprazole/escitalopram combination,,,3,,,,3,,,3
depressive disorder,Drug,cariprazine,3,,,,,,3,,,3
depressive disorder,Drug,comparator: paroxetine hcl,3,,,,,3,,,,3
