pmid,nct_id,Title,ArticleType,Substance,MeSH,PubDate,Journal,pub_source,ctg_links,Abstract
33031955,NCT04317092,TOCIVID-19 - A multicenter study on the efficacy and tolerability of tocilizumab in the treatment of patients with COVID-19 pneumonia. Study protocol.,Clinical Trial Protocol|Journal Article,"Antibodies, Monoclonal, Humanized|Immunologic Factors|Receptors, Interleukin-6|tocilizumab|NA","Administration, Intravenous|Adult|Antibodies, Monoclonal, Humanized|COVID-19|Clinical Trials, Phase II as Topic|Cytokine Release Syndrome|Drug Administration Schedule|Drug Monitoring|Female|Humans|Immunologic Factors|Male|Multicenter Studies as Topic|Pneumonia, Viral|Receptors, Interleukin-6|Treatment Outcome|NA",2020-12-11,Contemporary clinical trials,Abstract,https://clinicaltrials.gov/ct2/show/NCT04317092,3
33040020,NCT04307459,Severity of respiratory failure at admission and in-hospital mortality in patients with COVID-19: a prospective observational multicentre study.,Journal Article|Multicenter Study|Observational Study,Oxygen|NA,"Aged|Betacoronavirus|Blood Gas Analysis|COVID-19|Coronavirus Infections|Female|Hospital Mortality|Hospitalization|Hospitals|Humans|Hypoxia|Intensive Care Units|Italy|Lung|Male|Middle Aged|Oxygen|Pandemics|Partial Pressure|Pneumonia, Viral|Prospective Studies|Respiratory Distress Syndrome|Respiratory Insufficiency|Risk Factors|SARS-CoV-2|Severe Acute Respiratory Syndrome|Severity of Illness Index|NA",2020-10-29,BMJ open,Abstract,https://clinicaltrials.gov/ct2/show/NCT04307459,1
33043164,NCT04317092,"A phase 2, open label, multicenter, single arm study of tocilizumab on the efficacy and tolerability of tocilizumab in the treatment of patients with COVID-19 pneumonia (TOCIVID-19 trial): Statistical analysis plan.",Journal Article, , ,2021-04-28,Contemporary clinical trials communications,Abstract,https://clinicaltrials.gov/ct2/show/NCT04317092,3
33044747,NCT04342182,Convalescent plasma or hyperimmune immunoglobulin for people with COVID-19: a living systematic review.,"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Systematic Review", ,"Bias|COVID-19|Cause of Death|Coronavirus Infections|Humans|Immunization, Passive|Non-Randomized Controlled Trials as Topic|Pandemics|Pneumonia, Viral|Randomized Controlled Trials as Topic|Treatment Outcome|NA",2020-10-21,The Cochrane database of systematic reviews,Abstract,https://clinicaltrials.gov/ct2/show/NCT04342182,2
33044747,NCT04321421,Convalescent plasma or hyperimmune immunoglobulin for people with COVID-19: a living systematic review.,"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Systematic Review", ,"Bias|COVID-19|Cause of Death|Coronavirus Infections|Humans|Immunization, Passive|Non-Randomized Controlled Trials as Topic|Pandemics|Pneumonia, Viral|Randomized Controlled Trials as Topic|Treatment Outcome|NA",2020-10-21,The Cochrane database of systematic reviews,Abstract,https://clinicaltrials.gov/ct2/show/NCT04321421,4
33044747,NCT04357106,Convalescent plasma or hyperimmune immunoglobulin for people with COVID-19: a living systematic review.,"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Systematic Review", ,"Bias|COVID-19|Cause of Death|Coronavirus Infections|Humans|Immunization, Passive|Non-Randomized Controlled Trials as Topic|Pandemics|Pneumonia, Viral|Randomized Controlled Trials as Topic|Treatment Outcome|NA",2020-10-21,The Cochrane database of systematic reviews,Abstract,https://clinicaltrials.gov/ct2/show/NCT04357106,2
33044747,NCT04441424,Convalescent plasma or hyperimmune immunoglobulin for people with COVID-19: a living systematic review.,"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Systematic Review", ,"Bias|COVID-19|Cause of Death|Coronavirus Infections|Humans|Immunization, Passive|Non-Randomized Controlled Trials as Topic|Pandemics|Pneumonia, Viral|Randomized Controlled Trials as Topic|Treatment Outcome|NA",2020-10-21,The Cochrane database of systematic reviews,Abstract,https://clinicaltrials.gov/ct2/show/NCT04441424,2
33044747,NCT04343261,Convalescent plasma or hyperimmune immunoglobulin for people with COVID-19: a living systematic review.,"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Systematic Review", ,"Bias|COVID-19|Cause of Death|Coronavirus Infections|Humans|Immunization, Passive|Non-Randomized Controlled Trials as Topic|Pandemics|Pneumonia, Viral|Randomized Controlled Trials as Topic|Treatment Outcome|NA",2020-10-21,The Cochrane database of systematic reviews,Abstract,https://clinicaltrials.gov/ct2/show/NCT04343261,4
33044747,NCT04434131,Convalescent plasma or hyperimmune immunoglobulin for people with COVID-19: a living systematic review.,"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Systematic Review", ,"Bias|COVID-19|Cause of Death|Coronavirus Infections|Humans|Immunization, Passive|Non-Randomized Controlled Trials as Topic|Pandemics|Pneumonia, Viral|Randomized Controlled Trials as Topic|Treatment Outcome|NA",2020-10-21,The Cochrane database of systematic reviews,Abstract,https://clinicaltrials.gov/ct2/show/NCT04434131,3
33044747,NCT04340050,Convalescent plasma or hyperimmune immunoglobulin for people with COVID-19: a living systematic review.,"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Systematic Review", ,"Bias|COVID-19|Cause of Death|Coronavirus Infections|Humans|Immunization, Passive|Non-Randomized Controlled Trials as Topic|Pandemics|Pneumonia, Viral|Randomized Controlled Trials as Topic|Treatment Outcome|NA",2020-10-21,The Cochrane database of systematic reviews,Abstract,https://clinicaltrials.gov/ct2/show/NCT04340050,2
33046998,NCT04507282,Elevated eosinophil count is related with lower anti-factor Xa activity in COVID-19 patients.,Journal Article, , ,2020-10-16,Journal of hematopathology,Abstract,https://clinicaltrials.gov/ct2/show/NCT04507282,1
33050459,NCT04555096,May Mangafodipir or Other SOD Mimetics Contribute to Better Care in COVID-19 Patients?,Journal Article, , ,2020-11-03,"Antioxidants (Basel, Switzerland)",Abstract,https://clinicaltrials.gov/ct2/show/NCT04555096,1
33050924,NCT04356495,Home Treatment of Older People with Symptomatic SARS-CoV-2 Infection (COVID-19): A structured Summary of a Study Protocol for a Multi-Arm Multi-Stage (MAMS) Randomized Trial to Evaluate the Efficacy and Tolerability of Several Experimental Treatments to Reduce the Risk of Hospitalisation or Death in outpatients aged 65 years or older (COVERAGE trial).,"Clinical Trial, Phase III|Letter|Randomized Controlled Trial",Amides|Antihypertensive Agents|Antimalarials|Antiviral Agents|Protein Kinase Inhibitors|Pyrazines|Hydroxychloroquine|Imatinib Mesylate|favipiravir|Telmisartan|NA,"Aged|Aged, 80 and over|Amides|Antihypertensive Agents|Antimalarials|Antiviral Agents|Betacoronavirus|COVID-19|Coronavirus Infections|Drug Tolerance|Feasibility Studies|France|Hospitalization|Humans|Hydroxychloroquine|Imatinib Mesylate|Luxembourg|Outpatients|Pandemics|Pneumonia, Viral|Protein Kinase Inhibitors|Pyrazines|Risk Reduction Behavior|SARS-CoV-2|Telmisartan|Therapies, Investigational|Treatment Outcome|NA",2020-11-03,Trials,Abstract,https://clinicaltrials.gov/ct2/show/NCT04356495,1
33050947,NCT04445467,An adaptive randomised placebo controlled phase II trial of antivirals for COVID-19 infection (VIRCO): A structured summary of a study protocol for a randomised controlled trial.,"Clinical Trial, Phase II|Letter|Multicenter Study|Randomized Controlled Trial",Amides|Antiviral Agents|Biomarkers|Placebos|Pyrazines|favipiravir|NA,"Amides|Antiviral Agents|Australia|Betacoronavirus|Biomarkers|COVID-19|Clinical Protocols|Coronavirus Infections|Female|Hospitalization|Humans|Male|Pandemics|Placebos|Pneumonia, Viral|Pyrazines|SARS-CoV-2|Safety|Treatment Outcome|NA",2020-11-03,Trials,Abstract,https://clinicaltrials.gov/ct2/show/NCT04445467,1
33053279,NCT04368728,Safety and Immunogenicity of Two RNA-Based Covid-19 Vaccine Candidates.,"Clinical Trial, Phase I|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't","Antibodies, Viral|COVID-19 Vaccines|Spike Glycoprotein, Coronavirus|spike protein, SARS-CoV-2|BNT162 vaccine|NA","Adolescent|Adult|Aged|Aged, 80 and over|Antibodies, Viral|COVID-19|COVID-19 Vaccines|Female|Humans|Injections, Intramuscular|Male|Middle Aged|Neutralization Tests|SARS-CoV-2|Single-Blind Method|Spike Glycoprotein, Coronavirus|Young Adult|NA",2020-12-23,The New England journal of medicine,Abstract,https://clinicaltrials.gov/ct2/show/NCT04368728,5
33058695,NCT04314232,Growth Differentiation Factor 15 Provides Prognostic Information Superior to Established Cardiovascular and Inflammatory Biomarkers in Unselected Patients Hospitalized With COVID-19.,Journal Article,"Biomarkers|GDF15 protein, human|Growth Differentiation Factor 15|Peptide Fragments|Troponin T|pro-brain natriuretic peptide (1-76)|Natriuretic Peptide, Brain|C-Reactive Protein|NA","Adult|Aged|Area Under Curve|Biomarkers|C-Reactive Protein|COVID-19|Female|Growth Differentiation Factor 15|Hospitalization|Humans|Intensive Care Units|Male|Middle Aged|Natriuretic Peptide, Brain|Peptide Fragments|Prognosis|Prospective Studies|ROC Curve|SARS-CoV-2|Treatment Outcome|Troponin T|NA",2020-12-09,Circulation,Abstract,https://clinicaltrials.gov/ct2/show/NCT04314232,2
33063141,NCT04448717,"Seroprevalence and immunity of SARS-CoV-2 infection in children and adolescents in schools in Switzerland: design for a longitudinal, school-based prospective cohort study.",Journal Article, ,"Adolescent|Bayes Theorem|COVID-19|Child|Child, Preschool|Humans|Longitudinal Studies|Pandemics|Prospective Studies|Risk Factors|SARS-CoV-2|Saliva|Schools|Seroepidemiologic Studies|Switzerland|NA",2020-12-16,International journal of public health,Abstract,https://clinicaltrials.gov/ct2/show/NCT04448717,3
33066761,NCT04343963,"A parallel-group, multicenter randomized, double-blinded, placebo-controlled, phase 2/3, clinical trial to test the efficacy of pyridostigmine bromide at low doses to reduce mortality or invasive mechanical ventilation in adults with severe SARS-CoV-2 infection: the Pyridostigmine In Severe COvid-19 (PISCO) trial protocol.",Clinical Trial Protocol|Journal Article,Cholinesterase Inhibitors|Pyridostigmine Bromide|NA,"Adult|Betacoronavirus|COVID-19|Cholinesterase Inhibitors|Coronavirus Infections|Humans|Inflammation|Lung|Pandemics|Pneumonia, Viral|Pyridostigmine Bromide|Respiration, Artificial|SARS-CoV-2|NA",2020-10-26,BMC infectious diseases,Abstract,https://clinicaltrials.gov/ct2/show/NCT04343963,1
33066801,NCT04262921,SARS-CoV-2 detection in the lower respiratory tract of invasively ventilated ARDS patients.,"Journal Article|Research Support, Non-U.S. Gov't", ,"Aged|Betacoronavirus|COVID-19|Coronavirus Infections|Critical Illness|Female|France|Humans|Male|Middle Aged|Pandemics|Pneumonia, Viral|Prospective Studies|Respiration, Artificial|Respiratory Distress Syndrome|Respiratory System|SARS-CoV-2|Switzerland|Viral Load|Virus Shedding|NA",2020-10-21,"Critical care (London, England)",Abstract,https://clinicaltrials.gov/ct2/show/NCT04262921,3
33068425,NCT04328467,Hydroxychloroquine as Pre-exposure Prophylaxis for Coronavirus Disease 2019 (COVID-19) in Healthcare Workers: A Randomized Trial.,"Journal Article|Research Support, Non-U.S. Gov't|Research Support, N.I.H., Extramural", , ,2021-06-02,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,Abstract,https://clinicaltrials.gov/ct2/show/NCT04328467,2
33071007,NCT04423770,Estimating COVID-19 prevalence and infection control practices among US dentists.,Journal Article, ,"Betacoronavirus|COVID-19|Coronavirus Infections|Dentists|Humans|Infection Control|Pandemics|Pneumonia, Viral|Prevalence|SARS-CoV-2|NA",2020-11-09,Journal of the American Dental Association (1939),Abstract,https://clinicaltrials.gov/ct2/show/NCT04423770,1
33072814,NCT04323592,Prolonged Low-Dose Methylprednisolone in Patients With Severe COVID-19 Pneumonia.,Journal Article, , ,2021-04-28,Open forum infectious diseases,Abstract,https://clinicaltrials.gov/ct2/show/NCT04323592,1
33078076,NCT04411459,Factors influencing liberation from mechanical ventilation in coronavirus disease 2019: multicenter observational study in fifteen Italian ICUs.,Journal Article, , ,2021-04-28,Journal of intensive care,Abstract,https://clinicaltrials.gov/ct2/show/NCT04411459,2
33080005,NCT04346355,Effect of Tocilizumab vs Standard Care on Clinical Worsening in Patients Hospitalized With COVID-19 Pneumonia: A Randomized Clinical Trial.,"Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't","Antibodies, Monoclonal, Humanized|Receptors, Interleukin-6|C-Reactive Protein|tocilizumab|NA","Aged|Antibodies, Monoclonal, Humanized|Blood Gas Analysis|C-Reactive Protein|COVID-19|Disease Progression|Early Termination of Clinical Trials|Female|Fever|Hospital Mortality|Hospitalization|Humans|Intensive Care Units|Italy|Male|Medical Futility|Middle Aged|Receptors, Interleukin-6|Respiration, Artificial|Respiratory Insufficiency|SARS-CoV-2|NA",2021-01-15,JAMA internal medicine,Abstract,https://clinicaltrials.gov/ct2/show/NCT04346355,1
33080017,NCT04331808,Effect of Tocilizumab vs Usual Care in Adults Hospitalized With COVID-19 and Moderate or Severe Pneumonia: A Randomized Clinical Trial.,"Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't","Adrenal Cortex Hormones|Anti-Bacterial Agents|Antibodies, Monoclonal, Humanized|Anticoagulants|Antiviral Agents|Receptors, Interleukin-6|Vasoconstrictor Agents|tocilizumab|NA","Adrenal Cortex Hormones|Aged|Anti-Bacterial Agents|Antibodies, Monoclonal, Humanized|Anticoagulants|Antiviral Agents|COVID-19|Disease Progression|Female|Hospital Mortality|Hospitalization|Humans|Intubation, Intratracheal|Male|Middle Aged|Mortality|Noninvasive Ventilation|Oxygen Inhalation Therapy|Receptors, Interleukin-6|Respiration, Artificial|Respiratory Insufficiency|SARS-CoV-2|Severity of Illness Index|Vasoconstrictor Agents|NA",2021-01-15,JAMA internal medicine,Abstract,https://clinicaltrials.gov/ct2/show/NCT04331808,1
33081817,NCT04322396,Proactive prophylaxis with azithromycin and hydroxychloroquine in hospitalized patients with COVID-19 (ProPAC-COVID): a statistical analysis plan.,Journal Article|Multicenter Study|Randomized Controlled Trial,Anti-Bacterial Agents|Antimalarials|Placebos|Hydroxychloroquine|Azithromycin|NA,"Aged|Anti-Bacterial Agents|Antibiotic Prophylaxis|Antimalarials|Azithromycin|Betacoronavirus|COVID-19|Case-Control Studies|Coronavirus Infections|Denmark|Double-Blind Method|Drug Therapy, Combination|Female|Hospital Mortality|Hospitalization|Humans|Hydroxychloroquine|Intensive Care Units|Intention to Treat Analysis|Male|Noninvasive Ventilation|Pandemics|Placebos|Pneumonia, Viral|Risk Reduction Behavior|SARS-CoV-2|NA",2020-11-03,Trials,Abstract,https://clinicaltrials.gov/ct2/show/NCT04322396,2
33082342,NCT04316377,A pragmatic randomized controlled trial reports lack of efficacy of hydroxychloroquine on coronavirus disease 2019 viral kinetics.,"Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",Antiviral Agents|Hydroxychloroquine|NA,"Aged|Antiviral Agents|Betacoronavirus|COVID-19|Coronavirus Infections|Female|Humans|Hydroxychloroquine|Male|Middle Aged|Pandemics|Pneumonia, Viral|SARS-CoV-2|Treatment Outcome|Viral Load|NA",2020-11-02,Nature communications,Abstract,https://clinicaltrials.gov/ct2/show/NCT04316377,2
33083026,NCT04436276,Ad26 vector-based COVID-19 vaccine encoding a prefusion-stabilized SARS-CoV-2 Spike immunogen induces potent humoral and cellular immune responses.,Journal Article, , ,2020-10-22,NPJ vaccines,Abstract,https://clinicaltrials.gov/ct2/show/NCT04436276,3
33085857,NCT04356937,Efficacy of Tocilizumab in Patients Hospitalized with Covid-19.,"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't","Antibodies, Monoclonal, Humanized|IL6R protein, human|Receptors, Interleukin-6|tocilizumab|NA","Adult|Aged|Aged, 80 and over|Antibodies, Monoclonal, Humanized|Boston|COVID-19|Disease Progression|Double-Blind Method|Female|Humans|Intubation|Male|Middle Aged|Receptors, Interleukin-6|Respiratory Therapy|Treatment Failure|Young Adult|NA",2020-12-17,The New England journal of medicine,Abstract,https://clinicaltrials.gov/ct2/show/NCT04356937,1
33087116,NCT04416100,Persisting alterations of iron homeostasis in COVID-19 are associated with non-resolving lung pathologies and poor patients' performance: a prospective observational cohort study.,Journal Article|Multicenter Study|Observational Study,Interleukin-6|C-Reactive Protein|Ferritins|Iron|NA,"Adult|Aged|Anemia|C-Reactive Protein|COVID-19|Cohort Studies|Coronavirus Infections|Female|Ferritins|Follow-Up Studies|Homeostasis|Humans|Inflammation|Interleukin-6|Iron|Lung Diseases|Male|Middle Aged|Monocytes|Pandemics|Pneumonia, Viral|Prospective Studies|Tomography, X-Ray Computed|NA",2020-10-29,Respiratory research,Abstract,https://clinicaltrials.gov/ct2/show/NCT04416100,2
33087150,NCT04317092,Tocilizumab for patients with COVID-19 pneumonia. The single-arm TOCIVID-19 prospective trial.,"Clinical Trial, Phase II|Journal Article|Multicenter Study","Antibodies, Monoclonal, Humanized|tocilizumab|NA","Adult|Aged|Aged, 80 and over|Antibodies, Monoclonal, Humanized|Betacoronavirus|COVID-19|Cohort Studies|Coronavirus Infections|Female|Humans|Italy|Male|Middle Aged|Mortality|Off-Label Use|Pandemics|Pneumonia, Viral|SARS-CoV-2|Treatment Outcome|Validation Studies as Topic|NA",2020-10-30,Journal of translational medicine,Abstract,https://clinicaltrials.gov/ct2/show/NCT04317092,3
33089824,NCT04282135,Rapid non-invasive detection of Influenza-A-infection by multicapillary column coupled ion mobility spectrometry.,Evaluation Study|Journal Article, ,"Aged|Betacoronavirus|Breath Tests|COVID-19|Coronavirus Infections|Discriminant Analysis|Female|Humans|Influenza A virus|Influenza, Human|Ion Mobility Spectrometry|Male|Middle Aged|Pandemics|Pneumonia, Viral|Prospective Studies|SARS-CoV-2|Sensitivity and Specificity|NA",2020-10-29,Journal of breath research,Abstract,https://clinicaltrials.gov/ct2/show/NCT04282135,1
33092632,NCT04374526,&quot;Early transfusion of convalescent plasma in older patients with COVID-19 to prevent disease progression: A structured summary of a study protocol for a randomised controlled trial&quot;.,"Clinical Trial, Phase II|Clinical Trial, Phase III|Comparative Study|Letter|Randomized Controlled Trial", ,"Aged|Aged, 80 and over|Betacoronavirus|Blood Transfusion|COVID-19|Comorbidity|Coronavirus Infections|Disease Progression|Female|Humans|Immunization, Passive|Informed Consent|Italy|Male|Mortality|Pandemics|Pneumonia|Pneumonia, Viral|SARS-CoV-2|Tomography, X-Ray Computed|Viral Load|NA",2020-11-03,Trials,Abstract,https://clinicaltrials.gov/ct2/show/NCT04374526,1
33093033,NCT04290780,"Protocol for a prospective, observational, hospital-based multicentre study of nosocomial SARS-CoV-2 transmission: NOSO-COR Project.",Journal Article|Multicenter Study|Observational Study, ,"Adolescent|Adult|Betacoronavirus|COVID-19|Child|Coronavirus Infections|Cross Infection|Female|France|Hospitals|Humans|Male|Middle Aged|Pandemics|Pneumonia, Viral|Prospective Studies|Risk Factors|SARS-CoV-2|Young Adult|NA",2020-11-05,BMJ open,Abstract,https://clinicaltrials.gov/ct2/show/NCT04290780,1
33106167,NCT04403477,"Convalescent plasma transfusion therapy in severe COVID-19 patients- a safety, efficacy and dose response study: A structured summary of a study protocol of a phase II randomized controlled trial.","Clinical Trial, Phase II|Letter|Multicenter Study|Randomized Controlled Trial", ,"Bangladesh|Betacoronavirus|Blood Transfusion|COVID-19|Coronavirus Infections|Dose-Response Relationship, Immunologic|Female|Hospital Mortality|Humans|Immunization, Passive|Male|Pandemics|Patient Discharge|Pneumonia, Viral|SARS-CoV-2|Safety|Severity of Illness Index|Time Factors|Treatment Outcome|Ventilators, Mechanical|NA",2020-11-02,Trials,Abstract,https://clinicaltrials.gov/ct2/show/NCT04403477,1
33108622,NCT04389840,"Design and Rationale of a Randomized, Double-Blind, Placebo-Controlled, Phase 2/3 Study Evaluating Dociparstat in Acute Lung Injury Associated with Severe COVID-19.","Clinical Trial, Phase II|Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial",Anti-Inflammatory Agents|Heparin|NA,"Acute Lung Injury|Adult|Aged|Aged, 80 and over|Anti-Inflammatory Agents|COVID-19|Double-Blind Method|Female|Heparin|Humans|Male|Middle Aged|Respiratory Insufficiency|SARS-CoV-2|Treatment Outcome|NA",2021-02-22,Advances in therapy,Abstract,https://clinicaltrials.gov/ct2/show/NCT04389840,1
33110590,NCT04344197,"Screening policies, preventive measures and in-hospital infection of COVID-19 in global surgical practices.",Journal Article, ,"Betacoronavirus|COVID-19|Coronavirus Infections|Cross Infection|Cross-Sectional Studies|Hospitals|Humans|Infection Control|Mass Screening|Pandemics|Pneumonia, Viral|Policy|Practice Patterns, Physicians'|SARS-CoV-2|Surgical Procedures, Operative|Surveys and Questionnaires|NA",2020-11-04,Journal of global health,Abstract,https://clinicaltrials.gov/ct2/show/NCT04344197,1
33110944,NCT04328493,A multi centre randomized open label trial of chloroquine for the treatment of adults with SARS-CoV-2 infection in Vietnam.,Journal Article, , ,2020-10-29,Wellcome open research,Abstract,https://clinicaltrials.gov/ct2/show/NCT04328493,1
33111650,NCT04440098,"Loneliness, Mental Health, and Substance Use among US Young Adults during COVID-19.","Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't", ,Adolescent|Adult|Age Factors|Alcoholism|Anxiety|COVID-19|Cross-Sectional Studies|Depression|Female|Health Status|Humans|Loneliness|Male|Mental Health|Pandemics|Psychiatric Status Rating Scales|Sex Factors|Substance-Related Disorders|Surveys and Questionnaires|United States|Young Adult|NA,2021-03-11,Journal of psychoactive drugs,Abstract,https://clinicaltrials.gov/ct2/show/NCT04440098,1
33113295,NCT04427501,SARS-CoV-2 Neutralizing Antibody LY-CoV555 in Outpatients with Covid-19.,"Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't","Antibodies, Monoclonal, Humanized|Antibodies, Neutralizing|Immunologic Factors|RNA, Viral|bamlanivimab|NA","Adolescent|Adult|Aged|Aged, 80 and over|Antibodies, Monoclonal, Humanized|Antibodies, Neutralizing|COVID-19|Dose-Response Relationship, Drug|Double-Blind Method|Female|Hospitalization|Humans|Immunologic Factors|Male|Middle Aged|Outpatients|RNA, Viral|Reverse Transcriptase Polymerase Chain Reaction|SARS-CoV-2|Severity of Illness Index|Viral Load|Young Adult|NA",2021-02-03,The New England journal of medicine,Abstract,https://clinicaltrials.gov/ct2/show/NCT04427501,2
33115543,NCT04394416,Safety and Efficacy of Imatinib for Hospitalized Adults with COVID-19: A structured summary of a study protocol for a randomised controlled trial.,Clinical Trial Protocol|Letter,Protein Kinase Inhibitors|Imatinib Mesylate|NA,"Administration, Oral|Adult|Betacoronavirus|COVID-19|Coronavirus Infections|Critical Care|Dose-Response Relationship, Drug|Double-Blind Method|Drug Monitoring|Female|Humans|Imatinib Mesylate|Male|Pandemics|Pneumonia, Viral|Protein Kinase Inhibitors|Randomized Controlled Trials as Topic|SARS-CoV-2|Treatment Outcome|NA",2020-11-05,Trials,Abstract,https://clinicaltrials.gov/ct2/show/NCT04394416,2
33125416,NCT04407156,Acute kidney injury associated with COVID-19: A retrospective cohort study.,Journal Article, ,"Acute Kidney Injury|Adolescent|Adult|Aged|Aged, 80 and over|Betacoronavirus|COVID-19|Comorbidity|Coronavirus Infections|Ethnic Groups|Female|Hospital Mortality|Hospitalization|Humans|Incidence|Intensive Care Units|Male|Middle Aged|Pandemics|Pneumonia, Viral|Renal Insufficiency, Chronic|Respiration, Artificial|Retrospective Studies|Risk Factors|SARS-CoV-2|United Kingdom|Young Adult|NA",2020-11-11,PLoS medicine,Abstract,https://clinicaltrials.gov/ct2/show/NCT04407156,1
33129363,NCT04392973,A Trial of Favipiravir and Hydroxychloroquine combination in Adults Hospitalized with moderate and severe Covid-19: A structured summary of a study protocol for a randomised controlled trial.,Clinical Trial Protocol|Letter,Amides|Antiviral Agents|Pyrazines|Hydroxychloroquine|favipiravir|NA,"Amides|Antiviral Agents|Betacoronavirus|COVID-19|Coronavirus Infections|Drug Therapy, Combination|Female|Host-Pathogen Interactions|Humans|Hydroxychloroquine|Inpatients|Male|Multicenter Studies as Topic|Pandemics|Pneumonia, Viral|Pyrazines|Randomized Controlled Trials as Topic|SARS-CoV-2|Saudi Arabia|Time Factors|Treatment Outcome|NA",2020-11-04,Trials,Abstract,https://clinicaltrials.gov/ct2/show/NCT04392973,1
33138848,NCT04352959,Salivary and Nasal Detection of the SARS-CoV-2 Virus After Antiviral Mouthrinses (BBCovid): A structured summary of a study protocol for a randomised controlled trial.,Clinical Trial Protocol|Letter,Antiviral Agents|Mouthwashes|beta-Cyclodextrins|betadex|NA,"Adult|Antiviral Agents|Betacoronavirus|COVID-19|COVID-19 Testing|Clinical Laboratory Techniques|Coronavirus Infections|Drug Monitoring|Female|Humans|Male|Mouthwashes|Nasal Cavity|Pandemics|Pneumonia, Viral|Randomized Controlled Trials as Topic|SARS-CoV-2|Saliva|Treatment Outcome|Viral Load|beta-Cyclodextrins|NA",2020-11-09,Trials,Abstract,https://clinicaltrials.gov/ct2/show/NCT04352959,2
33138867,NCT04521309,Hyperimmune anti-COVID-19 IVIG (C-IVIG) Therapy for Passive Immunization of Severe and Critically Ill COVID-19 Patients: A structured summary of a study protocol for a randomised controlled trial.,Clinical Trial Protocol|Letter,"Immunoglobulins, Intravenous|Immunologic Factors|NA","Adult|Betacoronavirus|COVID-19|Coronavirus Infections|Critical Illness|Female|Humans|Immunization, Passive|Immunoglobulins, Intravenous|Immunologic Factors|Male|Pandemics|Pneumonia, Viral|Randomized Controlled Trials as Topic|SARS-CoV-2|Severity of Illness Index|Treatment Outcome|NA",2020-11-09,Trials,Abstract,https://clinicaltrials.gov/ct2/show/NCT04521309,2
33138974,NCT04336345,Outcomes of patients with COVID-19 in the intensive care unit in Mexico: A multicenter observational study.,Journal Article|Multicenter Study|Observational Study, ,COVID-19|Critical Illness|Humans|Intensive Care Units|Male|Mexico|Middle Aged|SARS-CoV-2|NA,2020-12-21,Heart &amp; lung : the journal of critical care,Abstract,https://clinicaltrials.gov/ct2/show/NCT04336345,1
33139139,NCT04368988,NVX-CoV2373 vaccine protects cynomolgus macaque upper and lower airways against SARS-CoV-2 challenge.,"Journal Article|Research Support, Non-U.S. Gov't","Adjuvants, Immunologic|Antibodies, Neutralizing|COVID-19 Vaccines|Immune Sera|Spike Glycoprotein, Coronavirus|Vaccines, Synthetic|recombinant SARS-CoV-2 vaccine NVX-cov2373|spike protein, SARS-CoV-2|ACE2 protein, human|Angiotensin-Converting Enzyme 2|NA","Adjuvants, Immunologic|Adolescent|Adult|Aged|Angiotensin-Converting Enzyme 2|Animals|Antibodies, Neutralizing|COVID-19|COVID-19 Vaccines|Chlorocebus aethiops|Female|Humans|Immune Sera|Macaca fascicularis|Male|Middle Aged|SARS-CoV-2|Spike Glycoprotein, Coronavirus|Vaccines, Synthetic|Vero Cells|Viral Load|Young Adult|NA",2020-12-11,Vaccine,Abstract,https://clinicaltrials.gov/ct2/show/NCT04368988,3
33147165,NCT04331171,Implementation of a Self-Triage Web Application for Suspected COVID-19 and Its Impact on Emergency Call Centers: Observational Study.,Journal Article|Observational Study, ,"COVID-19|Coronavirus Infections|Emergency Service, Hospital|France|Hospitalization|Humans|Pandemics|Pneumonia, Viral|Self Care|Software|Surveys and Questionnaires|Telephone|Triage|NA",2020-12-01,Journal of medical Internet research,Abstract,https://clinicaltrials.gov/ct2/show/NCT04331171,3
33148977,NCT04401579,COVID-19 and Solid Organ Transplantation: A Review Article.,Journal Article|Review, ,"COVID-19|Humans|Immune Tolerance|Kidney Failure, Chronic|Organ Transplantation|SARS-CoV-2|NA",2021-01-06,Transplantation,Abstract,https://clinicaltrials.gov/ct2/show/NCT04401579,2
33148977,NCT04492475,COVID-19 and Solid Organ Transplantation: A Review Article.,Journal Article|Review, ,"COVID-19|Humans|Immune Tolerance|Kidney Failure, Chronic|Organ Transplantation|SARS-CoV-2|NA",2021-01-06,Transplantation,Abstract,https://clinicaltrials.gov/ct2/show/NCT04492475,1
