pmid,nct_id,pub_source,ArticleType,Substance,MeSH,Title,PubDate,Journal,pubmed_links,ctg_links
32790733,NCT04347993,Abstract,Journal Article|Multicenter Study|Observational Study,"Antibodies, Monoclonal, Humanized|Antimalarials|IL6 protein, human|Interleukin-6|Hydroxychloroquine|Azithromycin|tocilizumab|NA","Adolescent|Adult|Aged|Aged, 80 and over|Antibodies, Monoclonal, Humanized|Antimalarials|Azithromycin|Betacoronavirus|COVID-19|Child|Child, Preschool|Coronavirus Infections|Drug Therapy, Combination|Female|Follow-Up Studies|Hospitalization|Humans|Hydroxychloroquine|Infant|Infant, Newborn|Intensive Care Units|Interleukin-6|Kaplan-Meier Estimate|Male|Middle Aged|Pandemics|Pneumonia, Viral|Retrospective Studies|SARS-CoV-2|Treatment Outcome|Young Adult|NA",Hydroxychloroquine and tocilizumab therapy in COVID-19 patients-An observational study.,2020-08-28,PloS one,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04347993
32795330,NCT04345614,Abstract,"Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",Calcium Release Activated Calcium Channels|NA,"Aged|COVID-19|Calcium Release Activated Calcium Channels|Coronavirus Infections|Critical Care|Female|Humans|Male|Middle Aged|Pandemics|Pneumonia, Viral|Severity of Illness Index|Standard of Care|Treatment Outcome|NA",Auxora versus standard of care for the treatment of severe or critical COVID-19 pneumonia: results from a randomized controlled trial.,2020-08-20,"Critical care (London, England)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04345614
32798473,NCT04352556,Abstract,Journal Article|Multicenter Study|Observational Study, ,"Adult|Aged|Aged, 80 and over|Betacoronavirus|COVID-19|Comorbidity|Coronavirus Infections|Female|Follow-Up Studies|Hematologic Neoplasms|Humans|Inpatients|Italy|Leukemia|Lymphoma, Non-Hodgkin|Male|Middle Aged|Myeloproliferative Disorders|Neoplasms, Plasma Cell|Pandemics|Pneumonia, Viral|Retrospective Studies|Risk Factors|SARS-CoV-2|Young Adult|NA","Clinical characteristics and risk factors associated with COVID-19 severity in patients with haematological malignancies in Italy: a retrospective, multicentre, cohort study.",2020-10-02,The Lancet. Haematology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04352556
32799933,NCT04325061,Abstract,Clinical Trial Protocol|Journal Article|Multicenter Study,Dexamethasone|NA,"Adult|Betacoronavirus|COVID-19|Coronavirus Infections|Dexamethasone|Humans|Outcome Assessment, Health Care|Pandemics|Pneumonia, Viral|Randomized Controlled Trials as Topic|Respiratory Distress Syndrome|SARS-CoV-2|Sample Size|NA",Efficacy of dexamethasone treatment for patients with the acute respiratory distress syndrome caused by COVID-19: study protocol for a randomized controlled superiority trial.,2020-08-25,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04325061
32800064,NCT04375410,Abstract,Journal Article|Multicenter Study|Observational Study,"Anti-Infective Agents, Local|NA","Anti-Infective Agents, Local|Betacoronavirus|COVID-19|Child|Child, Preschool|Coronavirus Infections|Denmark|Dermatitis, Irritant|Female|Humans|Incidence|Infant|Infant, Newborn|Male|Pandemics|Pneumonia, Viral|SARS-CoV-2|NA",COVID-19 reopening causes high risk of irritant contact dermatitis in children.,2020-08-27,Danish medical journal,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04375410
32807209,NCT04381962,Abstract,"Clinical Trial Protocol|Clinical Trial, Phase II|Clinical Trial, Phase III|Comparative Study|Journal Article|Multicenter Study",Anti-Bacterial Agents|Azithromycin|NA,"Anti-Bacterial Agents|Azithromycin|Betacoronavirus|COVID-19|Coronavirus Infections|Humans|Pandemics|Pneumonia, Viral|Prospective Studies|Randomized Controlled Trials as Topic|Research Design|SARS-CoV-2|Severity of Illness Index|NA",A multi-centre open-label two-arm randomised superiority clinical trial of azithromycin versus usual care in ambulatory COVID-19: study protocol for the ATOMIC2 trial.,2020-08-25,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04381962
32809969,NCT04438629,Abstract,Clinical Trial|Journal Article|Multicenter Study|Observational Study,Azetidines|Cytokines|Purines|Pyrazoles|Sulfonamides|baricitinib|NA,"Aged|Aged, 80 and over|Azetidines|B-Lymphocytes|COVID-19|Cytokines|Female|Humans|Longitudinal Studies|Male|Middle Aged|Off-Label Use|Purines|Pyrazoles|SARS-CoV-2|Severity of Illness Index|Sulfonamides|T-Lymphocytes|NA",Baricitinib restrains the immune dysregulation in patients with severe COVID-19.,2020-12-14,The Journal of clinical investigation,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04438629
32815416,NCT04372589,Abstract,"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",Anticoagulants|Antiviral Agents|Heparin|NA,"Adolescent|Adult|Anticoagulants|Antiviral Agents|Betacoronavirus|COVID-19|Coronavirus Infections|Dose-Response Relationship, Drug|Female|Heparin|Humans|Male|Pandemics|Pneumonia, Viral|SARS-CoV-2|Thrombosis|Treatment Outcome|Young Adult|NA","Anti-Thrombotic Therapy to Ameliorate Complications of COVID-19 (ATTACC): Study design and methodology for an international, adaptive Bayesian randomized controlled trial.",2020-10-15,"Clinical trials (London, England)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04372589
32817460,NCT04412057,Abstract,"Journal Article|Research Support, Non-U.S. Gov't","Antibodies, Monoclonal|IL6 protein, human|Interleukin-6|TNFSF14 protein, human|Tumor Necrosis Factor Ligand Superfamily Member 14|NA","Adult|Age Factors|Aged|Antibodies, Monoclonal|Betacoronavirus|COVID-19|Clinical Trials as Topic|Coronavirus Infections|Cytokine Release Syndrome|Hospitalization|Humans|Interleukin-6|Middle Aged|Pandemics|Pneumonia, Viral|Respiration, Artificial|Respiratory Distress Syndrome|SARS-CoV-2|Tumor Necrosis Factor Ligand Superfamily Member 14|NA",Levels of the TNF-Related Cytokine LIGHT Increase in Hospitalized COVID-19 Patients with Cytokine Release Syndrome and ARDS.,2020-09-04,mSphere,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04412057
32821939,NCT04292730,Abstract,"Clinical Trial, Phase III|Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",Antiviral Agents|remdesivir|Adenosine Monophosphate|Alanine|NA,"Adenosine Monophosphate|Administration, Intravenous|Aged|Alanine|Antiviral Agents|Betacoronavirus|COVID-19|Coronavirus Infections|Drug Administration Schedule|Female|Hospitalization|Humans|Male|Middle Aged|Odds Ratio|Pandemics|Patient Acuity|Pneumonia, Viral|SARS-CoV-2|Treatment Outcome|NA",Effect of Remdesivir vs Standard Care on Clinical Status at 11 Days in Patients With Moderate COVID-19: A Randomized Clinical Trial.,2020-09-29,JAMA,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04292730
32828741,NCT04370288,Abstract,Case Reports|Journal Article,Ascorbic Acid|Methylene Blue|Acetylcysteine|NA,"Acetylcysteine|Ascorbic Acid|COVID-19|Clinical Trials, Phase I as Topic|Compassionate Use Trials|Coronavirus Infections|Critical Illness|Female|Humans|Hypoxia|Male|Methylene Blue|Middle Aged|Pandemics|Pneumonia, Viral|NA","Application of methylene blue -vitamin C -N-acetyl cysteine for treatment of critically ill COVID-19 patients, report of a phase-I clinical trial.",2020-10-13,European journal of pharmacology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04370288
32829467,NCT04262921,Abstract,"Case Reports|Journal Article|Research Support, Non-U.S. Gov't", ,"Aged, 80 and over|Betacoronavirus|COVID-19|Coronavirus Infections|Cytokine Release Syndrome|Fatal Outcome|France|Humans|Longitudinal Studies|Lymphocyte Activation|Male|Multiple Organ Failure|Pandemics|Pneumonia, Viral|Prospective Studies|Respiratory Distress Syndrome|SARS-CoV-2|Severity of Illness Index|T-Lymphocytes, Cytotoxic|Th1 Cells|Th2 Cells|NA",Immune Alterations in a Patient with SARS-CoV-2-Related Acute Respiratory Distress Syndrome.,2020-10-27,Journal of clinical immunology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04262921
32829745,NCT04337541,Abstract,Journal Article|Randomized Controlled Trial, ,"Adult|Aged|COVID-19|Communicable Disease Control|Coronavirus Infections|Denmark|Female|Humans|Incidence|Infectious Disease Transmission, Vertical|Male|Masks|Middle Aged|Pandemics|Pneumonia, Viral|Primary Prevention|Public Health|Risk Assessment|World Health Organization|NA",Face masks for the prevention of COVID-19 - Rationale and design of the randomised controlled trial DANMASK-19.,2020-08-31,Danish medical journal,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04337541
32838109,NCT04357730,Abstract,Journal Article, , ,STudy of Alteplase for Respiratory failure in SARS-Cov2/COVID-19: Study Design of the Phase IIa STARS Trial.,2020-09-28,Research and practice in thrombosis and haemostasis,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04357730
32838323,NCT04347993,Abstract,Journal Article, , ,Tocilizumab among patients with COVID-19 in the intensive care unit: a multicentre observational study.,2020-09-28,The Lancet Rheumatology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04347993
32838353,NCT04252885,Abstract,Journal Article, , ,Efficacy and Safety of Lopinavir/Ritonavir or Arbidol in Adult Patients with Mild/Moderate COVID-19: An Exploratory Randomized Controlled Trial.,2021-01-10,"Med (New York, N.Y.)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04252885
32843098,NCT04395105,Abstract,Clinical Trial Protocol|Letter|Multicenter Study|Randomized Controlled Trial,Glucocorticoids|Dexamethasone|NA,"Argentina|Betacoronavirus|COVID-19|Coronavirus Infections|Cross Infection|Delirium|Dexamethasone|Glucocorticoids|Humans|Mortality|Organ Dysfunction Scores|Pandemics|Patient Positioning|Pneumonia, Viral|Prone Position|Respiration, Artificial|Respiratory Distress Syndrome|SARS-CoV-2|Virus Shedding|NA",High dose dexamethasone treatment for Acute Respiratory Distress Syndrome secondary to COVID-19: a structured summary of a study protocol for a randomised controlled trial.,2020-09-03,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04395105
32847626,NCT04420741,Abstract,Clinical Trial Protocol|Letter|Multicenter Study|Randomized Controlled Trial,"THBD protein, human|Thrombomodulin|Vasodilator Agents|Iloprost|NA","Betacoronavirus|COVID-19|Coronavirus Infections|Denmark|Endothelium, Vascular|Humans|Iloprost|Infusions, Intravenous|Intensive Care Units|Pandemics|Pneumonia, Viral|Respiration, Artificial|SARS-CoV-2|Thrombomodulin|Vasodilator Agents|NA",The effect of prostacyclin (Iloprost) infusion at a dose of 1 ng/kg/min for 72 hours compared to placebo in mechanically ventilated patients with COVID-19: A structured summary of a study protocol for a randomized controlled trial.,2020-09-03,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04420741
32847826,NCT04324736,Abstract,Letter|Comment, ,"Betacoronavirus|COVID-19|Coronavirus Infections|Diabetes Mellitus, Type 1|Humans|Inpatients|Pandemics|Pneumonia, Viral|Prognosis|SARS-CoV-2|NA",Type 1 Diabetes in People Hospitalized for COVID-19: New Insights From the CORONADO Study.,2020-10-23,Diabetes care,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04324736
32864604,NCT04378595,Abstract,Journal Article, , ,High Level of Food Insecurity among Families with Children Seeking Routine Care at Federally Qualified Health Centers during the Coronavirus Disease 2019 Pandemic.,2020-09-28,The journal of pediatrics: X,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04378595
32876113,NCT04378582,Abstract,Journal Article, ,"Betacoronavirus|Brazil|COVID-19|Cohort Studies|Coronavirus Infections|Hospital Mortality|Hospitals, University|Humans|Intensive Care Units|Observational Studies as Topic|Pandemics|Pneumonia, Viral|Research Design|SARS-CoV-2|NA","Characteristics and outcomes of patients with COVID-19 admitted to the ICU in a university hospital in SÃ£o Paulo, Brazil - study protocol.",2020-09-10,"Clinics (Sao Paulo, Brazil)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04378582
32876695,NCT04327401,Abstract,"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",Anti-Inflammatory Agents|Dexamethasone|NA,"Administration, Intravenous|Aged|Anti-Inflammatory Agents|Betacoronavirus|Brazil|COVID-19|Catheter-Related Infections|Coronavirus Infections|Dexamethasone|Early Termination of Clinical Trials|Female|Humans|Male|Middle Aged|Pandemics|Pneumonia, Viral|Respiration, Artificial|Respiratory Distress Syndrome|SARS-CoV-2|NA",Effect of Dexamethasone on Days Alive and Ventilator-Free in Patients With Moderate or Severe Acute Respiratory Distress Syndrome and COVID-19: The CoDEX Randomized Clinical Trial.,2020-11-04,JAMA,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04327401
32877349,NCT04305574,Abstract,"Journal Article|Research Support, Non-U.S. Gov't", ,"Adult|Anxiety|COVID-19|Coronavirus Infections|Cross-Sectional Studies|Depression|Disease Outbreaks|Female|Health Surveys|Humans|Male|Mental Health|Mobile Applications|Pandemics|Pneumonia, Viral|Public Health|NA",The Relation Between Official WhatsApp-Distributed COVID-19 News Exposure and Psychological Symptoms: Cross-Sectional Survey Study.,2020-10-05,Journal of medical Internet research,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04305574
32877576,NCT04368988,Abstract,"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't","Adjuvants, Immunologic|Antibodies, Neutralizing|Antibodies, Viral|COVID-19 Vaccines|Immunoglobulin G|Matrix-M|Saponins|Spike Glycoprotein, Coronavirus|Vaccines, Synthetic|spike glycoprotein, SARS-CoV|NA","Adjuvants, Immunologic|Adolescent|Adult|Antibodies, Neutralizing|Antibodies, Viral|COVID-19|COVID-19 Vaccines|Enzyme-Linked Immunosorbent Assay|Female|Humans|Immunization Schedule|Immunogenicity, Vaccine|Immunoglobulin G|Male|Middle Aged|Nanoparticles|Pandemics|Saponins|Spike Glycoprotein, Coronavirus|Th1 Cells|Vaccines, Synthetic|Young Adult|NA",Phase 1-2 Trial of a SARS-CoV-2 Recombinant Spike Protein Nanoparticle Vaccine.,2020-12-17,The New England journal of medicine,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04368988
32888112,NCT04338841,Abstract,Journal Article, ,"Aged|Ambulatory Care|COVID-19|Coronavirus Infections|Delphi Technique|Hospitalization|Humans|Male|Middle Aged|Outpatients|Pandemics|Pneumonia, Viral|Risk Factors|Surveys and Questionnaires|NA",Outpatient management or hospitalization of patients with proven or suspected SARS-CoV-2 infection: the HOME-CoV rule.,2020-11-24,Internal and emergency medicine,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04338841
32895056,NCT04445935,Abstract,Clinical Trial Protocol|Equivalence Trial|Letter,"Anticoagulants|Antithrombins|Fibrin Fibrinogen Degradation Products|Heparin, Low-Molecular-Weight|Hirudins|Peptide Fragments|Recombinant Proteins|fibrin fragment D|Heparin|bivalirudin|NA","Anticoagulants|Antithrombins|Betacoronavirus|COVID-19|Coronavirus Infections|Critical Illness|Fibrin Fibrinogen Degradation Products|Heparin|Heparin, Low-Molecular-Weight|Hirudins|Humans|Pandemics|Partial Thromboplastin Time|Peptide Fragments|Pneumonia, Viral|Qatar|Recombinant Proteins|Respiration, Artificial|Respiratory Distress Syndrome|SARS-CoV-2|NA","Anticoagulation in critically ill patients on mechanical ventilation suffering from COVID-19 disease, The ANTI-CO trial: A structured summary of a study protocol for a randomised controlled trial.",2020-09-10,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04445935
32896291,NCT04436471,Abstract,"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't","Ad5-nCoV vaccine|Antibodies, Neutralizing|Antibodies, Viral|COVID-19 Vaccines|Immunoglobulin G|Viral Vaccines|NA","Adenoviridae|Adult|Antibodies, Neutralizing|Antibodies, Viral|Betacoronavirus|COVID-19|COVID-19 Vaccines|Coronavirus Infections|Female|Humans|Immunity, Cellular|Immunity, Humoral|Immunization, Secondary|Immunoglobulin G|Injections, Intramuscular|Male|Pandemics|Pneumonia, Viral|Russia|SARS-CoV-2|Viral Vaccines|Young Adult|NA","Safety and immunogenicity of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine in two formulations: two open, non-randomised phase 1/2 studies from Russia.",2020-10-05,"Lancet (London, England)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04436471
32896291,NCT04437875,Abstract,"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't","Ad5-nCoV vaccine|Antibodies, Neutralizing|Antibodies, Viral|COVID-19 Vaccines|Immunoglobulin G|Viral Vaccines|NA","Adenoviridae|Adult|Antibodies, Neutralizing|Antibodies, Viral|Betacoronavirus|COVID-19|COVID-19 Vaccines|Coronavirus Infections|Female|Humans|Immunity, Cellular|Immunity, Humoral|Immunization, Secondary|Immunoglobulin G|Injections, Intramuscular|Male|Pandemics|Pneumonia, Viral|Russia|SARS-CoV-2|Viral Vaccines|Young Adult|NA","Safety and immunogenicity of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine in two formulations: two open, non-randomised phase 1/2 studies from Russia.",2020-10-05,"Lancet (London, England)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04437875
32896292,NCT04321278,Abstract,"Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",Antiviral Agents|Hydroxychloroquine|Azithromycin|NA,"Aged|Antiviral Agents|Azithromycin|Betacoronavirus|Brazil|COVID-19|Coronavirus Infections|Drug Therapy, Combination|Female|Humans|Hydroxychloroquine|Length of Stay|Male|Middle Aged|Pandemics|Pneumonia, Viral|Respiratory Therapy|SARS-CoV-2|Standard of Care|Treatment Outcome|NA",Azithromycin in addition to standard of care versus standard of care alone in the treatment of patients admitted to the hospital with severe COVID-19 in Brazil (COALITION II): a randomised clinical trial.,2020-10-14,"Lancet (London, England)",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04321278
32896832,NCT04333849,Abstract,Clinical Trial|Journal Article, ,"Aged|Aged, 80 and over|COVID-19|Consumer Behavior|Coronavirus Infections|Cross-Sectional Studies|Female|Frail Elderly|Hospitalization|Humans|Loneliness|Male|Nursing Homes|Pandemics|Pneumonia, Viral|Social Isolation|Telephone|Videoconferencing|NA",Communication Technology Preferences of Hospitalized and Institutionalized Frail Older Adults During COVID-19 Confinement: Cross-Sectional Survey Study.,2020-09-28,JMIR mHealth and uHealth,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04333849
32900326,NCT04318366,Abstract,Journal Article, ,"Age Factors|Aged|Betacoronavirus|COVID-19|Cause of Death|Coronavirus Infections|Female|Humans|Hypertension|Italy|Male|Middle Aged|Pandemics|Pneumonia, Viral|Respiration, Artificial|Respiratory Distress Syndrome|Risk Factors|SARS-CoV-2|NA","Characteristics, treatment, outcomes and cause of death of invasively ventilated patients with COVID-19 ARDS in Milan, Italy.",2020-09-10,Critical care and resuscitation : journal of the Australasian Academy of Critical Care Medicine,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04318366
32903199,NCT04347681,Abstract,Journal Article, , ,Safety and Efficacy of Convalescent Plasma to Treat Severe COVID-19: Protocol for the Saudi Collaborative Multicenter Phase II Study.,2020-10-23,JMIR research protocols,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04347681
32907635,NCT04400799,Abstract,Clinical Trial Protocol|Letter,Anticoagulants|Enoxaparin|NA,"Anticoagulants|Betacoronavirus|Blood Coagulation|COVID-19|Coronavirus Infections|Enoxaparin|Equivalence Trials as Topic|Host-Pathogen Interactions|Humans|Multicenter Studies as Topic|Pandemics|Pneumonia, Viral|SARS-CoV-2|Thrombosis|Time Factors|Treatment Outcome|NA",Enoxaparin for primary thromboprophylaxis in ambulatory patients with coronavirus disease-2019 (the OVID study): a structured summary of a study protocol for a randomized controlled trial.,2020-09-16,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04400799
32907638,NCT04357808,Abstract,Clinical Trial Protocol|Letter,"Anti-Inflammatory Agents|Antibodies, Monoclonal, Humanized|sarilumab|NA","Adult|Aged|Anti-Inflammatory Agents|Antibodies, Monoclonal, Humanized|Betacoronavirus|COVID-19|Coronavirus Infections|Drug Administration Schedule|Female|Host-Pathogen Interactions|Humans|Male|Middle Aged|Pandemics|Patient Admission|Pneumonia, Viral|Proof of Concept Study|Randomized Controlled Trials as Topic|SARS-CoV-2|Spain|Time Factors|Treatment Outcome|Young Adult|NA",Subcutaneous Sarilumab in hospitalised patients with moderate-severe COVID-19 infection compared to the standard of care (SARCOVID): a structured summary of a study protocol for a randomised controlled trial.,2020-09-16,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04357808
32915072,NCT04396197,Abstract,Journal Article|Observational Study, ,"COVID-19|Critical Care|Female|Follow-Up Studies|Humans|Length of Stay|Male|Middle Aged|Pandemics|Prospective Studies|Respiration, Artificial|SARS-CoV-2|Treatment Outcome|United Kingdom|NA",Rehabilitation Levels in Patients with COVID-19 Admitted to Intensive Care Requiring Invasive Ventilation. An Observational Study.,2021-01-13,Annals of the American Thoracic Society,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04396197
32917259,NCT04399317,Abstract,Clinical Trial Protocol|Letter, ,"Betacoronavirus|COVID-19|Coronavirus Infections|Feasibility Studies|Host-Pathogen Interactions|Humans|Lung|Pandemics|Pneumonia, Viral|Prospective Studies|Qatar|Randomized Controlled Trials as Topic|Respiration, Artificial|Respiratory Distress Syndrome|SARS-CoV-2|Time Factors|Treatment Outcome|NA",Flow controlled ventilation in Acute Respiratory Distress Syndrome associated with COVID-19: A structured summary of a study protocol for a randomised controlled trial.,2020-09-16,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04399317
32934758,NCT04327206,Abstract,"Journal Article|Research Support, Non-U.S. Gov't|Review",BCG Vaccine|Cytokines|NA,"BCG Vaccine|Betacoronavirus|COVID-19|COVID-19 Testing|Clinical Laboratory Techniques|Coinfection|Coronavirus Infections|Cytokines|Diagnostic Errors|Disease Outbreaks|Humans|Influenza, Human|Middle East Respiratory Syndrome Coronavirus|Pandemics|Pneumonia, Viral|SARS Virus|SARS-CoV-2|Severe Acute Respiratory Syndrome|Severity of Illness Index|Tuberculosis|NA",Tuberculosis and COVID-19: Lessons from the Past Viral Outbreaks and Possible Future Outcomes.,2020-09-24,Canadian respiratory journal,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04327206
32936948,NCT04352959,Abstract,"Journal Article|Research Support, Non-U.S. Gov't|Systematic Review",Anti-Infective Agents|Mouthwashes|Nasal Sprays|NA,"Anti-Infective Agents|Betacoronavirus|COVID-19|Coronavirus Infections|Health Personnel|Humans|Infectious Disease Transmission, Patient-to-Professional|Mouth|Mouthwashes|Nasal Sprays|Nose|Occupational Diseases|Pandemics|Pneumonia, Viral|SARS-CoV-2|Therapeutic Irrigation|NA",Antimicrobial mouthwashes (gargling) and nasal sprays administered to patients with suspected or confirmed COVID-19 infection to improve patient outcomes and to protect healthcare workers treating them.,2020-09-30,The Cochrane database of systematic reviews,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04352959
32936949,NCT04364802,Abstract,"Journal Article|Research Support, Non-U.S. Gov't|Systematic Review",Anti-Infective Agents|Mouthwashes|Nasal Sprays|NA,"Anti-Infective Agents|Betacoronavirus|COVID-19|Coronavirus Infections|Health Personnel|Humans|Infectious Disease Transmission, Patient-to-Professional|Mouth|Mouthwashes|Nasal Sprays|Nose|Occupational Diseases|Pandemics|Pneumonia, Viral|SARS-CoV-2|Therapeutic Irrigation|NA",Use of antimicrobial mouthwashes (gargling) and nasal sprays by healthcare workers to protect them when treating patients with suspected or confirmed COVID-19 infection.,2020-09-30,The Cochrane database of systematic reviews,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04364802
32943115,NCT04373291,Abstract,Clinical Trial Protocol|Letter,BCG Vaccine|NA,"Absenteeism|BCG Vaccine|Betacoronavirus|COVID-19|Coronavirus Infections|Denmark|Female|Health Personnel|Humans|Male|Multicenter Studies as Topic|Occupational Health|Pandemics|Patient Admission|Pneumonia, Viral|Randomized Controlled Trials as Topic|SARS-CoV-2|Sick Leave|Single-Blind Method|Time Factors|Treatment Outcome|Vaccination|NA",Using BCG vaccine to enhance non-specific protection of health care workers during the COVID-19 pandemic: A structured summary of a study protocol for a randomised controlled trial in Denmark.,2020-09-23,Trials,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04373291
32944767,NCT04367129,Abstract,Journal Article|Multicenter Study,Biomarkers|NA,"Aged|Aged, 80 and over|Arrhythmias, Cardiac|Biomarkers|COVID-19|Critical Illness|Cross-Sectional Studies|Electrocardiography|Female|Hospitalization|Humans|Italy|Male|Middle Aged|Pandemics|Respiration, Artificial|Retrospective Studies|SARS-CoV-2|NA","Electrocardiographic features of 431 consecutive, critically ill COVID-19 patients: an insight into the mechanisms of cardiac involvement.",2021-01-07,"Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology",https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04367129
32945968,NCT04318366,Abstract,Journal Article, , ,Initial chest radiographs and artificial intelligence (AI) predict clinical outcomes in COVID-19 patients: analysis of 697 Italian patients.,2020-10-01,European radiology,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04318366
32950749,NCT04439084,Abstract,Journal Article, , ,Predictors of Outcomes of COVID-19 in Patients with Chronic Liver Disease: US Multi-center Study.,2021-01-10,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04439084
32951151,NCT04343261,Abstract,Journal Article, , ,Factors Associated with Good Patient Outcomes Following Convalescent Plasma in COVID-19: A Prospective PhaseÂ II Clinical Trial.,2021-01-29,Infectious diseases and therapy,https://pubmed.ncbi.nlm.nih.gov/,https://clinicaltrials.gov/ct2/show/NCT04343261
