Intervention_type,intervention,Study_count,Date of First Study,N/A,Phase 1,Phase 2,Phase 3,Phase 4,sponsor_counts,Score,NUmber_of_sponsors,NUmber_of_Publications
Dietary Supplement,rosmalipâ®,2,2020-10-16,2,0,0,0,0,FundaciÃ³n InvestigaciÃ³n E InnovaciÃ³n BiomÃ©dica Hospital Universitario Infanta Sofia-Henares ( 2 ),1.002,1,1
Other,self supportive care (ssc),2,2020-07-23,2,0,0,0,0,Kaleido Biosciences ( 2 ),1.002,1,1
Biological,serum test,2,2020-04-24,2,0,0,0,0,Assistance Publique Hopitaux De Marseille ( 1 )|Centre Hospitalier de Cornouaille ( 1 ),1.002,2,1
Biological,stool collection,2,2020-04-28,2,0,0,0,0,Assistance Publique - HÃ´pitaux de Paris ( 1 )|Hospices Civils de Lyon ( 1 ),1.002,2,1
Diagnostic Test,take home saliva kits,2,2021-09-20,2,0,0,0,0,The Hospital for Sick Children ( 2 ),1.002,1,NA
Other,tele-yoga,2,2020-07-09,2,0,0,0,0,Aarogyam UK ( 2 ),1.002,1,NA
Behavioral,test,2,2021-04-14,2,0,0,0,0,University of Pennsylvania ( 2 ),1.002,1,NA
Biological,n-etsd vaccine,2,2021-01-13,0,2,0,0,0,"ImmunityBio, Inc. ( 2 )",1.002,1,NA
Biological,protransâ®,2,2021-05-18,0,2,0,0,0,NextCell Pharma Ab ( 2 ),1.002,1,NA
Device,aeonose,2,2020-07-15,2,0,0,0,0,Maastricht University Medical Center ( 2 ),1.002,1,NA
Behavioral,behavioral,2,2020-08-10,2,0,0,0,0,Universidad Nacional Autonoma de Honduras ( 1 )|Uppsala University ( 1 ),1.002,2,NA
Dietary Supplement,bioargininaâ®,2,2020-11-18,2,0,0,0,0,"University of Campania ""Luigi Vanvitelli"" ( 2 )",1.002,1,1
Diagnostic Test,chest ct,2,2020-04-30,2,0,0,0,0,Centre Chirurgical Marie Lannelongue ( 1 )|Research and Practical Clinical Center for Diagnostics and Telemedicine Technologies of the Moscow Health Care Department ( 1 ),1.002,2,1
Drug,clorhexidine dental phbâ©,2,2021-01-07,2,0,0,0,0,FundaciÃ³n para el Fomento de la InvestigaciÃ³n Sanitaria y BiomÃ©dica de la Comunitat Valenciana ( 2 ),1.002,1,NA
Other,colgate periogardâ® mouthwash,2,2020-07-14,2,0,0,0,0,Hospital Israelita Albert Einstein ( 2 ),1.002,1,NA
Drug,colgate peroxylâ® -1.5% hydrogen peroxide,2,2021-01-05,2,0,0,0,0,Queen Mary University of London ( 2 ),1.002,1,NA
Other,colgate totalâ® mouthwash,2,2020-07-14,2,0,0,0,0,Hospital Israelita Albert Einstein ( 2 ),1.002,1,NA
Diagnostic Test,conjunctival swab,2,2020-04-22,2,0,0,0,0,Fondazione Policlinico Universitario Agostino Gemelli IRCCS ( 1 )|Medical University Innsbruck ( 1 ),1.002,2,NA
Device,conventional oxygen therapy,2,2020-12-03,2,0,0,0,0,Azienda Ospedaliera Universitaria Policlinico Paolo Giaccone Palermo ( 1 )|Fundacion Clinica Valle del Lili ( 1 ),1.002,2,NA
Drug,corsodylâ® alcohol free -0.2 % chlorhexidine digluconate,2,2021-01-05,2,0,0,0,0,Queen Mary University of London ( 2 ),1.002,1,NA
Device,coviage,2,2020-06-08,2,0,0,0,0,Dascena ( 2 ),1.002,1,NA
Other,covid-19 patients,2,2020-08-03,2,0,0,0,0,Centre Hospitalier Universitaire de Nice ( 2 ),1.002,1,1
Diagnostic Test,covid-viroâ® test,2,2020-10-28,2,0,0,0,0,Centre Hospitalier RÃ©gional d'OrlÃ©ans ( 2 ),1.002,1,NA
Device,cytokine adsorption,2,2020-04-21,2,0,0,0,0,Hospital Clinic of Barcelona ( 1 )|University Hospital Freiburg ( 1 ),1.002,2,1
Device,extracorporeal blood purification using the oxirisâ® (an69st) hemofilter,2,2020-07-14,2,0,0,0,0,Zan Mitrev Clinic ( 2 ),1.002,1,NA
Drug,fultiumâ® -d3 800,2,2021-04-12,2,0,0,0,0,Tilman S.A. ( 2 ),1.002,1,NA
Device,gammacoreâ® (vagus nerve stimulation),2,2020-04-20,2,0,0,0,0,Hospital ClÃ­nico Universitario de Valencia ( 2 ),1.002,1,1
Device,gammacoreâ® sapphire (non-invasive vagus nerve stimulator),2,2020-04-14,2,0,0,0,0,Allegheny Singer Research Institute (also known as Allegheny Health Network Research Institute) ( 2 ),1.002,1,NA
Other,health supplements,2,2020-08-25,2,0,0,0,0,Chinese University of Hong Kong ( 2 ),1.002,1,NA
Dietary Supplement,î²-hydroxy î²-methyl butyrate (hmb) enriched amino acid,2,2021-04-21,2,0,0,0,0,The Cleveland Clinic ( 2 ),1.002,1,NA
Device,inspiratory muscle training,2,2021-06-30,2,0,0,0,0,Istinye University ( 1 )|Universidade Federal do Rio Grande do Norte ( 1 ),1.002,2,NA
Other,kb109,2,2020-07-23,2,0,0,0,0,Kaleido Biosciences ( 2 ),1.002,1,1
Other,kb109 / self supportive care (ssc),2,2020-07-23,2,0,0,0,0,Kaleido Biosciences ( 2 ),1.002,1,1
Device,life2000â® ventilator,2,2020-08-19,2,0,0,0,0,Hill-Rom ( 2 ),1.002,1,NA
Device,lucira covid-19 all-in-one test kit,2,2021-01-15,2,0,0,0,0,Lucira Health Inc ( 2 ),1.002,1,NA
Device,marker therapeutics d2000 cartridge (d2000) for use with the spectra optiaâ® apheresis system (optia spd protocol),2,2020-04-20,2,0,0,0,0,Marker Therapeutics AG ( 2 ),1.002,1,NA
Device,mask,2,2020-04-08,2,0,0,0,0,Cliniques universitaires Saint-Luc- UniversitÃ© Catholique de Louvain ( 2 ),1.002,1,NA
Dietary Supplement,microbiome immunity formula,2,2021-06-21,2,0,0,0,0,Chinese University of Hong Kong ( 2 ),1.002,1,NA
Other,musä±c therapy,2,2021-09-05,2,0,0,0,0,Kutahya Health Sciences University ( 2 ),1.002,1,NA
Drug,nasafytolâ®,2,2021-04-12,2,0,0,0,0,Tilman S.A. ( 2 ),1.002,1,NA
Biological,nasopharyngeal swabs,2,2020-04-27,2,0,0,0,0,Assistance Publique - HÃ´pitaux de Paris ( 1 )|Institut Curie ( 1 ),1.002,2,NA
Device,neuromuscular electrical stimulation,2,2020-05-08,2,0,0,0,0,"Escola Superior de Ciencias da Saude ( 1 )|University of Turin, Italy ( 1 )",1.002,2,NA
Dietary Supplement,nicotinamide,2,2021-05-24,2,0,0,0,0,Shenyang Northern Hospital ( 1 )|University Hospital Schleswig-Holstein ( 1 ),1.002,2,NA
Device,nioâ® (intraosseous access),2,2020-04-23,2,0,0,0,0,Lazarski University ( 2 ),1.002,1,NA
Device,nowdx covid-19 test,2,2021-03-14,2,0,0,0,0,"NOWDiagnostics, Inc. ( 2 )",1.002,1,NA
Dietary Supplement,omega3-fatty acid,2,2020-12-05,2,0,0,0,0,Applied Science Private University ( 2 ),1.002,1,NA
Behavioral,online support group,2,2020-05-05,2,0,0,0,0,Centre de Recherche de l'Institut Universitaire en santÃ© Mentale de MontrÃ©al ( 1 )|Columbia University ( 1 ),1.002,2,1
Procedure,ophthalmologic exam,2,2020-05-12,2,0,0,0,0,Fondation Ophtalmologique Adolphe de Rothschild ( 2 ),1.002,1,NA
Drug,oximenâ® 3%,2,2021-01-07,2,0,0,0,0,FundaciÃ³n para el Fomento de la InvestigaciÃ³n Sanitaria y BiomÃ©dica de la Comunitat Valenciana ( 2 ),1.002,1,NA
Behavioral,patient navigation (pn),2,2021-04-07,2,0,0,0,0,University of Utah ( 2 ),1.002,1,NA
Procedure,photobiomodulation,2,2021-10-23,2,0,0,0,0,Cairo University ( 2 ),1.002,1,NA
Behavioral,prayer,2,2020-04-16,2,0,0,0,0,Hospital do Coracao ( 1 )|Kansas City Heart Rhythm Institute ( 1 ),1.002,2,NA
Behavioral,preventive information,2,2020-07-14,2,0,0,0,0,Bandim Health Project ( 2 ),1.002,1,NA
Behavioral,psychoeducational intervention,2,2020-04-11,2,0,0,0,0,"Copenhagen University Hospital, Hvidovre ( 1 )|Emory University ( 1 )",1.002,2,NA
Behavioral,psychological,2,2020-04-20,2,0,0,0,0,Assistance Publique - HÃ´pitaux de Paris ( 1 )|University Hospital Southampton NHS Foundation Trust ( 1 ),1.002,2,1
Dietary Supplement,rhea health toneâ®,2,2020-11-10,2,0,0,0,0,Universitas Padjadjaran ( 2 ),1.002,1,3
Behavioral,self-benefit,2,2021-03-15,2,0,0,0,0,"University of California, Los Angeles ( 1 )|University of Pennsylvania ( 1 )",1.002,2,NA
Other,self supportive care (ssc) alone,2,2020-07-23,2,0,0,0,0,Kaleido Biosciences ( 2 ),1.002,1,1
Behavioral,self test,2,2021-04-14,2,0,0,0,0,University of Pennsylvania ( 2 ),1.002,1,NA
Behavioral,smell training,2,2021-09-02,2,0,0,0,0,UniversitÃ© de MontrÃ©al ( 1 )|Washington University School of Medicine ( 1 ),1.002,2,NA
Behavioral,soap,2,2021-02-11,2,0,0,0,0,BRAC University ( 1 )|University of Toronto ( 1 ),1.002,2,NA
Dietary Supplement,targeted wellness formula câ„¢ sublingual drops - 1200mg - 30 ml (formula c),2,2021-03-10,2,0,0,0,0,"Endourage, LLC ( 2 )",1.002,1,1
Other,"telerehabilitation ä°ntervention, motor learning",2,2021-05-14,2,0,0,0,0,Inonu University ( 2 ),1.002,1,NA
Behavioral,text-messaging (tm),2,2021-04-07,2,0,0,0,0,University of Utah ( 2 ),1.002,1,NA
Diagnostic Test,the binaxnowâ„¢ antibody tests measure igg antibodies against sars-cov-2.,2,2021-07-01,2,0,0,0,0,Abbott Rapid Diagnostics Jena GmbH ( 2 ),1.002,1,NA
Other,therapeutic exercise,2,2021-02-09,2,0,0,0,0,Universitat Internacional de Catalunya ( 1 )|University of Malaga ( 1 ),1.002,2,NA
Device,uvc irradiation,2,2021-02-04,2,0,0,0,0,Bangkok Metropolitan Administration Medical College and Vajira Hospital ( 2 ),1.002,1,NA
Drug,vitis xtra forteâ©,2,2021-01-07,2,0,0,0,0,FundaciÃ³n para el Fomento de la InvestigaciÃ³n Sanitaria y BiomÃ©dica de la Comunitat Valenciana ( 2 ),1.002,1,NA
Device,volatile organic compounds analysis,2,2020-04-28,2,0,0,0,0,Hopital Foch ( 2 ),1.002,1,NA
Behavioral,writing,2,2020-10-12,2,0,0,0,0,Duke University ( 2 ),1.002,1,1
Drug,[18f]f-arag (2'-deoxy-2'-fluoro-9-î²-d-arabinofuranosylguanine),2,2021-03-23,0,2,0,0,0,"CellSight Technologies, Inc. ( 2 )",1.002,1,NA
Biological,1 âµg cov2 sam (lnp),2,2021-02-08,0,2,0,0,0,GlaxoSmithKline ( 2 ),1.002,1,NA
Drug,18f-î±vî²6-bp,2,2020-05-03,0,2,0,0,0,"University of California, Davis ( 2 )",1.002,1,NA
Biological,covidity administered via needle-free injection (pharmajet stratisâ®; intramuscular injection).,2,2021-08-27,0,2,0,0,0,Scancell Ltd ( 2 ),1.002,1,NA
Biological,covidity administered via needle-free injection (pharmajet tropisâ®; intradermal injection).,2,2021-08-27,0,2,0,0,0,Scancell Ltd ( 2 ),1.002,1,NA
Drug,dwrx2003,2,2021-01-20,0,2,0,0,0,Daewoong Pharmaceutical Co. LTD. ( 2 ),1.002,1,NA
Biological,had5-s-fusion/n-etsd vaccine,2,2021-01-13,0,2,0,0,0,"ImmunityBio, Inc. ( 2 )",1.002,1,NA
Biological,scb-2019,2,2021-04-13,0,2,0,0,0,Clover Biopharmaceuticals AUS Pty Ltd ( 2 ),1.002,1,1
placebo,"three doses of placebo at the schedule of day 0, 14, 28ï¼ˆhigh-dose groupï¼‰",2,2020-08-27,0,2,0,0,0,Jiangsu Province Centers for Disease Control and Prevention ( 2 ),1.002,1,NA
placebo,"two doses of placebo at the schedule of day 0, 28ï¼ˆhigh-dose groupï¼‰",2,2020-08-27,0,2,0,0,0,Jiangsu Province Centers for Disease Control and Prevention ( 2 ),1.002,1,NA
placebo,"two doses of placebo at the schedule of day 0, 28ï¼ˆmiddle-dose groupï¼‰",2,2020-08-27,0,2,0,0,0,Jiangsu Province Centers for Disease Control and Prevention ( 2 ),1.002,1,NA
Behavioral,2-way sms delivery of information,1,2021-06-07,1,0,0,0,0,Mayo Clinic ( 1 ),1.001,1,NA
Dietary Supplement,5-ala-phosphate,1,2020-08-16,1,0,0,0,0,Royal College of Surgeons in Ireland - Medical University of Bahrain ( 1 ),1.001,1,NA
Dietary Supplement,5-ala-phosphate / sfc (5-ala / sfc),1,2020-08-16,1,0,0,0,0,Royal College of Surgeons in Ireland - Medical University of Bahrain ( 1 ),1.001,1,NA
Other,6-min-walk fpp2,1,2021-03-04,1,0,0,0,0,Universitat Internacional de Catalunya ( 1 ),1.001,1,NA
Device,a 940-nm diode laser,1,2021-03-29,1,0,0,0,0,Fayoum University ( 1 ),1.001,1,NA
Other,a short video intervention,1,2020-07-21,1,0,0,0,0,"Research Foundation for Mental Hygiene, Inc. ( 1 )",1.001,1,1
Other,a vignette intervention,1,2020-07-21,1,0,0,0,0,"Research Foundation for Mental Hygiene, Inc. ( 1 )",1.001,1,1
Diagnostic Test,aaz covid-19 rapid test,1,2020-08-21,1,0,0,0,0,Groupe d'Etude sur le Risque d'Exposition des Soignants aux Agents Infectieux ( 1 ),1.001,1,NA
Behavioral,"acp educator led, video assisted discussion",1,2021-04-20,1,0,0,0,0,Boston Medical Center ( 1 ),1.001,1,NA
Behavioral,act,1,2021-03-26,1,0,0,0,0,University of Basel ( 1 ),1.001,1,NA
Behavioral,active control:healthy living,1,2020-06-03,1,0,0,0,0,Northwestern University ( 1 ),1.001,1,NA
Combination Product,acupuncture,1,2021-04-12,1,0,0,0,0,Indonesia University ( 1 ),1.001,1,NA
Device,acupuncture therapy,1,2021-07-02,1,0,0,0,0,Mayo Clinic ( 1 ),1.001,1,NA
Combination Product,acupuncture/standard care,1,2021-04-12,1,0,0,0,0,Indonesia University ( 1 ),1.001,1,NA
Other,aerobic training,1,2020-10-30,1,0,0,0,0,Cairo University ( 1 ),1.001,1,NA
Behavioral,african american sender acknowledgement,1,2020-08-02,1,0,0,0,0,"National Bureau of Economic Research, Inc. ( 1 )",1.001,1,1
Behavioral,african american sender in informational videos.,1,2020-08-02,1,0,0,0,0,"National Bureau of Economic Research, Inc. ( 1 )",1.001,1,1
Other,after-each-case room disinfection,1,2020-05-19,1,0,0,0,0,The First Affiliated Hospital of Zhejiang Chinese Medical University ( 1 ),1.001,1,1
Procedure,after covid-19 vaccination,1,2021-07-05,1,0,0,0,0,"University Hospital, Ghent ( 1 )",1.001,1,NA
Other,ai algorithm,1,2020-05-04,1,0,0,0,0,The Christie NHS Foundation Trust ( 1 ),1.001,1,NA
Device,airflo2,1,2020-10-14,1,0,0,0,0,Duke University ( 1 ),1.001,1,NA
Drug,"alpha-interferon, abidol, ribavirin, buzhong yiqi plus/minus formula, huhuang detoxicity paste, baimu qingre jiedu paste/5% glucose",1,2020-12-07,1,0,0,0,0,Xi'an International Medical Center Hospital ( 1 ),1.001,1,NA
Drug,"alpha-interferon, abidol, ribavirin, buzhong yiqi plus/minus formula, huhuang detoxicity paste, baimu qingre jiedu paste/high-dose vitamin c treatment",1,2020-12-07,1,0,0,0,0,Xi'an International Medical Center Hospital ( 1 ),1.001,1,NA
Behavioral,also no soap (pure control),1,2021-02-11,1,0,0,0,0,BRAC University ( 1 ),1.001,1,NA
Radiation,angiography scanner,1,2020-07-06,1,0,0,0,0,Hopital Foch ( 1 ),1.001,1,NA
Biological,angiotensin peptide (1-7) derived plasma,1,2020-05-01,1,0,0,0,0,Kanuni Sultan Suleyman Training and Research Hospital ( 1 ),1.001,1,NA
Other,anxiety,1,2020-05-22,1,0,0,0,0,Institut Paoli-Calmettes ( 1 ),1.001,1,NA
Other,ardsnet,1,2020-07-31,1,0,0,0,0,University of Sao Paulo General Hospital ( 1 ),1.001,1,NA
Other,ardsnet table,1,2020-12-18,1,0,0,0,0,University of Pernambuco ( 1 ),1.001,1,NA
Dietary Supplement,ascorbic acid/zinc gluconate,1,2020-04-08,1,0,0,0,0,The Cleveland Clinic ( 1 ),1.001,1,2
Other,ashmolean website,1,2020-11-27,1,0,0,0,0,University of Oxford ( 1 ),1.001,1,1
Behavioral,assigned strategies: active choice,1,2020-07-22,1,0,0,0,0,"Western University, Canada ( 1 )",1.001,1,NA
Behavioral,assigned strategies: enhanced active choice,1,2020-07-22,1,0,0,0,0,"Western University, Canada ( 1 )",1.001,1,NA
Other,asynchronous telerehabilitation programme,1,2021-03-01,1,0,0,0,0,Universidad San Jorge ( 1 ),1.001,1,NA
Drug,atorvastatin-ezetimibe,1,2021-05-09,1,0,0,0,0,Penza State University ( 1 ),1.001,1,NA
Behavioral,attention bias modification (abm),1,2020-04-24,1,0,0,0,0,Tel Aviv University ( 1 ),1.001,1,NA
Behavioral,audio for relaxation techniques,1,2020-10-08,1,0,0,0,0,Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta ( 1 ),1.001,1,NA
Procedure,auricular neuromodulation,1,2020-04-07,1,0,0,0,0,Fondation Ophtalmologique Adolphe de Rothschild ( 1 ),1.001,1,1
Device,auricular percutaneous neurostimulation,1,2020-07-08,1,0,0,0,0,Olive View-UCLA Education & Research Institute ( 1 ),1.001,1,NA
Device,auristim,1,2021-09-25,1,0,0,0,0,Vienna Hospital Association ( 1 ),1.001,1,NA
Dietary Supplement,balanced amino acid,1,2021-04-21,1,0,0,0,0,The Cleveland Clinic ( 1 ),1.001,1,NA
Other,baseline message,1,2020-07-02,1,0,0,0,0,Yale University ( 1 ),1.001,1,NA
Behavioral,basic feedback,1,2020-07-20,1,0,0,0,0,University of South Carolina ( 1 ),1.001,1,NA
Other,beck anxiety inventory,1,2021-01-10,1,0,0,0,0,Gaziosmanpasa Research and Education Hospital ( 1 ),1.001,1,NA
Other,beck depression inventory,1,2021-01-10,1,0,0,0,0,Gaziosmanpasa Research and Education Hospital ( 1 ),1.001,1,NA
Behavioral,behavioral activation ssi,1,2020-11-11,1,0,0,0,0,Stony Brook University ( 1 ),1.001,1,NA
Behavioral,best message / augmented message/implementation strategy,1,2020-09-24,1,0,0,0,0,Washington University School of Medicine ( 1 ),1.001,1,2
Device,bidirectional oxygenation mouthpiece,1,2020-03-25,1,0,0,0,0,TMC HealthCare ( 1 ),1.001,1,NA
Diagnostic Test,binaxnow ag card,1,2021-10-18,1,0,0,0,0,"University of Wisconsin, Madison ( 1 )",1.001,1,NA
Behavioral,biobehavioral tele-rehabilitation sessions,1,2020-12-08,1,0,0,0,0,"University of Colorado, Denver ( 1 )",1.001,1,NA
Procedure,biospecimen collection,1,2020-06-05,1,0,0,0,0,M.D. Anderson Cancer Center ( 1 ),1.001,1,NA
Device,biovitals,1,2020-02-20,1,0,0,0,0,The University of Hong Kong ( 1 ),1.001,1,NA
Diagnostic Test,biozek covid-19 antigen rapid test,1,2021-03-17,1,0,0,0,0,Mach-E B.V. ( 1 ),1.001,1,NA
Procedure,bipap,1,2021-04-22,1,0,0,0,0,Germans Trias i Pujol Hospital ( 1 ),1.001,1,NA
Behavioral,blended gaming covid-19 training system (bgcts),1,2021-02-25,1,0,0,0,0,The Hong Kong Polytechnic University ( 1 ),1.001,1,NA
Procedure,blink,1,2020-05-08,1,0,0,0,0,"University Hospital, Bordeaux ( 1 )",1.001,1,NA
Procedure,blink/masseter inhibitory reflex,1,2020-05-08,1,0,0,0,0,"University Hospital, Bordeaux ( 1 )",1.001,1,NA
Dietary Supplement,blis k12,1,2021-09-11,1,0,0,0,0,King Edward Medical University ( 1 ),1.001,1,NA
Other,blood samples for the study of the humoral response to sars-cov-2 variants,1,2021-04-02,1,0,0,0,0,Assistance Publique - HÃ´pitaux de Paris ( 1 ),1.001,1,NA
Other,blood samples for the study of the humoral response to sars-cov-2 variants/of the cellular response after vaccination against covid-19,1,2021-04-02,1,0,0,0,0,Assistance Publique - HÃ´pitaux de Paris ( 1 ),1.001,1,NA
Other,body position change,1,2020-07-14,1,0,0,0,0,Mayo Clinic ( 1 ),1.001,1,NA
Drug,brain parenchyma biopsies,1,2020-05-26,1,0,0,0,0,Fondation Ophtalmologique Adolphe de Rothschild ( 1 ),1.001,1,NA
Diagnostic Test,breath biopsy,1,2020-10-21,1,0,0,0,0,Scentech Medical Technologies Ltd ( 1 ),1.001,1,NA
Diagnostic Test,breath biopsy analysis,1,2020-10-21,1,0,0,0,0,Scentech Medical Technologies Ltd ( 1 ),1.001,1,NA
Behavioral,breathing,1,2021-09-29,1,0,0,0,0,National Cardiovascular Center Harapan Kita Hospital Indonesia ( 1 ),1.001,1,NA
Other,"breathing exercise, intensive spirometry use, supported cough, progressive mobilisation",1,2020-09-18,1,0,0,0,0,Istanbul Medipol University Hospital ( 1 ),1.001,1,NA
Drug,bridge therapy,1,2020-05-25,1,0,0,0,0,Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta ( 1 ),1.001,1,NA
Behavioral,brief counseling,1,2021-02-15,1,0,0,0,0,University of Illinois at Urbana-Champaign ( 1 ),1.001,1,NA
Behavioral,brief interpersonal telepsychotherapy,1,2020-11-05,1,0,0,0,0,Hospital de Clinicas de Porto Alegre ( 1 ),1.001,1,NA
Behavioral,buddy,1,2021-04-28,1,0,0,0,0,"National Bureau of Economic Research, Inc. ( 1 )",1.001,1,NA
Device,canswab,1,2020-11-27,1,0,0,0,0,Orthopaedic Innovation Centre ( 1 ),1.001,1,NA
Diagnostic Test,capillary collection,1,2020-10-19,1,0,0,0,0,LumiraDx UK Limited ( 1 ),1.001,1,NA
Diagnostic Test,cardiac echocardiography,1,2021-06-02,1,0,0,0,0,"University Hospital, Bordeaux ( 1 )",1.001,1,NA
Diagnostic Test,cardiac pet/mri,1,2021-06-29,1,0,0,0,0,"University Health Network, Toronto ( 1 )",1.001,1,NA
Diagnostic Test,cardiac rhythm monitoring,1,2021-06-02,1,0,0,0,0,"University Hospital, Bordeaux ( 1 )",1.001,1,NA
Behavioral,caregiver,1,2021-07-05,1,0,0,0,0,Seoul National University Hospital ( 1 ),1.001,1,NA
Other,caring contacts without an introductory phone call (cc),1,2021-01-05,1,0,0,0,0,"St. Luke's Health System, Boise, Idaho ( 1 )",1.001,1,NA
Other,cash transfer,1,2020-04-16,1,0,0,0,0,Unity Health Toronto ( 1 ),1.001,1,NA
Biological,cellular response to vaccination bnt162b2 in the elderly,1,2021-06-04,1,0,0,0,0,GÃ©rond'if ( 1 ),1.001,1,NA
Drug,"cerebrospinal fluid sampling, meningeal",1,2020-05-26,1,0,0,0,0,Fondation Ophtalmologique Adolphe de Rothschild ( 1 ),1.001,1,NA
Other,certified cloth face mask/preventive information,1,2020-07-14,1,0,0,0,0,Bandim Health Project ( 1 ),1.001,1,NA
Biological,chadox1-ncov-19 (astra-zeneca),1,2021-08-24,1,0,0,0,0,National Taiwan University Hospital ( 1 ),1.001,1,NA
Behavioral,chat-based instant messaging support,1,2020-05-26,1,0,0,0,0,The University of Hong Kong ( 1 ),1.001,1,NA
Behavioral,chat-based support,1,2020-05-19,1,0,0,0,0,The University of Hong Kong ( 1 ),1.001,1,NA
Device,chatbot on covid-19 vaccine hesitancy,1,2021-05-10,1,0,0,0,0,Assistance Publique - HÃ´pitaux de Paris ( 1 ),1.001,1,NA
Other,chiropractic care (more than one visit),1,2020-09-29,1,0,0,0,0,Real Centro Universitario Maria Cristina ( 1 ),1.001,1,NA
Other,chiropractic care (one visit),1,2020-09-29,1,0,0,0,0,Real Centro Universitario Maria Cristina ( 1 ),1.001,1,NA
Other,cig tilted,1,2020-07-14,1,0,0,0,0,October University for Modern Sciences and Arts ( 1 ),1.001,1,NA
Device,clinical decision support system based on non-invasive multimodal monitoring,1,2021-03-16,1,0,0,0,0,Increase-Tech ( 1 ),1.001,1,NA
Procedure,clinical examination,1,2020-04-14,1,0,0,0,0,"Central Hospital, Nancy, France ( 1 )",1.001,1,NA
Behavioral,clinician endorsement,1,2021-04-06,1,0,0,0,0,University of Pennsylvania ( 1 ),1.001,1,NA
Other,closed face shield with surgical face mask use,1,2020-11-24,1,0,0,0,0,"University of Los Andes, Columbia ( 1 )",1.001,1,NA
Behavioral,cognitive,1,2020-04-12,1,0,0,0,0,Beijing Normal University ( 1 ),1.001,1,NA
Other,cognitive behavioural group therapy for perinatal anxiety,1,2020-07-30,1,0,0,0,0,St. Joseph's Healthcare Hamilton ( 1 ),1.001,1,NA
Behavioral,cognitive training,1,2021-06-07,1,0,0,0,0,Yale-NUS College ( 1 ),1.001,1,NA
Other,"collection of blood, salivary",1,2020-11-16,1,0,0,0,0,Hospices Civils de Lyon ( 1 ),1.001,1,NA
Dietary Supplement,"combination of curcumin, quercetin",1,2021-08-11,1,0,0,0,0,Ayub Teaching Hospital ( 1 ),1.001,1,NA
Other,communication type,1,2020-05-29,1,0,0,0,0,University of Pennsylvania ( 1 ),1.001,1,NA
Behavioral,"community-based, mobile van testing",1,2020-12-16,1,0,0,0,0,Johns Hopkins University ( 1 ),1.001,1,NA
Other,community health worker support,1,2020-06-03,1,0,0,0,0,University Ghent ( 1 ),1.001,1,NA
Other,community health workers.,1,2020-08-05,1,0,0,0,0,Surgical Systems Research Group ( 1 ),1.001,1,NA
Other,community interest message,1,2020-07-02,1,0,0,0,0,Yale University ( 1 ),1.001,1,NA
Other,community popular opinion leader (pol) based intervention,1,2020-11-25,1,0,0,0,0,Drexel University ( 1 ),1.001,1,NA
Behavioral,comparator,1,2020-10-20,1,0,0,0,0,Makerere University ( 1 ),1.001,1,1
Behavioral,comparison group,1,2021-03-17,1,0,0,0,0,"ISPA - Instituto Universitario de Ciencias Psicologicas, Sociais e da Vida ( 1 )",1.001,1,NA
Behavioral,compass,1,2020-08-12,1,0,0,0,0,King's College London ( 1 ),1.001,1,1
Other,continuation of acei,1,2020-04-14,1,0,0,0,0,"University Hospital, Gentofte, Copenhagen ( 1 )",1.001,1,NA
Other,continuation of arb,1,2020-04-01,1,0,0,0,0,University of Pennsylvania ( 1 ),1.001,1,1
Other,continued self-enhancement (enhance) for covid-19,1,2020-10-23,1,0,0,0,0,University of British Columbia ( 1 ),1.001,1,NA
Device,continuous blind glucose measurement device (free style pro),1,2021-01-19,1,0,0,0,0,"University Hospital, Strasbourg, France ( 1 )",1.001,1,NA
Device,continuous glucose monitor (cgm),1,2021-02-12,1,0,0,0,0,Mayo Clinic ( 1 ),1.001,1,NA
Device,"continuous glucose monitoring (cgm, dexcom g6)",1,2021-04-29,1,0,0,0,0,Federico II University ( 1 ),1.001,1,NA
Device,continuous positive airway pressure,1,2020-05-12,1,0,0,0,0,Icahn School of Medicine at Mount Sinai ( 1 ),1.001,1,NA
Device,contrast-enhanced cmr,1,2020-11-18,1,0,0,0,0,"University Hospital, Bordeaux ( 1 )",1.001,1,NA
Other,control group - waiting list,1,2021-03-08,1,0,0,0,0,University of Sao Paulo ( 1 ),1.001,1,NA
Other,convalescent plasma with antibody against sars-cov-2.,1,2021-03-09,1,0,0,0,0,Hospital Son Llatzer ( 1 ),1.001,1,NA
Other,conventional exercises,1,2021-07-28,1,0,0,0,0,Sivas Cumhuriyet University ( 1 ),1.001,1,NA
Behavioral,covid-19 related health warning leaflet,1,2020-05-19,1,0,0,0,0,The University of Hong Kong ( 1 ),1.001,1,NA
Diagnostic Test,covid-19 vaccinated people,1,2021-09-28,1,0,0,0,0,Hospices Civils de Lyon ( 1 ),1.001,1,NA
Other,covid-19 vaccine education campaign,1,2021-05-13,1,0,0,0,0,University of Rochester ( 1 ),1.001,1,NA
Other,covid 19 self-questionnaire,1,2020-07-21,1,0,0,0,0,"University Hospital, Toulouse ( 1 )",1.001,1,NA
Other,covid watch,1,2020-10-07,1,0,0,0,0,University of Pennsylvania ( 1 ),1.001,1,NA
