nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,nct_id,mesh_term,downcase_mesh_term,intervention_type,intervention_name,description,intervention_count,status,facility_name,city,state,zip,country,site_count
"ClinicalTrials.gov processed this data on April 09, 2020",2020-03-19,NA,NA,2020-03-30,2020-03-23,2020-03-24,Actual,NA,NA,NA,NA,NA,NA,2020-03-30,2020-03-31,Actual,"March 19, 2020",Actual,2020-03-19,March 2020,2020-03-31,"March 19, 2022",Anticipated,2022-03-19,"March 19, 2022",Anticipated,2022-03-19,NA,Observational,COVID-BioB,,"COVID-19 Patients Characterization, Biobank, Treatment Response and Outcome Predictor","Study to Characterize Patients With SARS-Cov-2 Infection and to Create a Biobank to Identify Predictors of Disease Severity, Mortality and Treatment Response",Recruiting,NA,NA,1000,Anticipated,UniversitÃ  Vita-Salute San Raffaele,,NA,1,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-10T09:17:06Z,2020-04-10T09:17:06Z,4940288,NCT04318366,Coronavirus Infections,coronavirus infections,Other,Observational Study,Not required,1,Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting,"Autoimmunity and Vascular Inflammation Unit, Division of Regenerative Medicine, Stem Cells and Gene Therapy - IRCCS San Raffaele Scientific Institute|AIDS Immunopathogenesis Unit - IRCCS San Raffaele Scientific Institute|Department of Infection Diseases - IRCCS San Raffaele Scientific Institute -|Department of Internal Medicine - IRCCS San Raffaele Scientific Institute|Diabetes Research Institute -IRCCS San Raffaele Scientific Istitute|Division of Immunology, Transplantation and Infectious Diseases - IRCCS San Raffaele Scientific Institute|Division of Research of Regenerative Medicine, Cell and Gene Therapy - IRCCS San Raffaele Scientific Istitute|Laboratory of Microbiology and Virology - IRCCS San Raffaele Scientific Institute|Nephrology Unit - IRCCS San Raffaele Scientific Institute|Strategic Program in Nephrology and Dialysis - IRCCS San Raffaele Scientific Institute|Viral pathogens and biosafety Unit - IRCCS San Raffaele Scietific Institute|Unit of Immunology, Rheumatology, Allergy and Rare Diseases - IRCCS San Raffaele Scientific Institute|UniversitÃ  Vita-Salute San Raffaele",Milan|Milan|Milan|Milan|Milan|Milan|Milan|Milan|Milan|Milan|Milan|Milan|Milano,Lombardy|Lombardy|Lombardy|Lombardy|Lombardy|Lombardy|Lombardy|Lombardy|Lombardy|Lombardy|Lombardy|Lombardy|Mi,2012|20132|20132|20132|20132|20132|20132|20132|20132|20132|20132|2132|20132,Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy,13
"ClinicalTrials.gov processed this data on April 24, 2020",2020-04-02,NA,NA,2020-04-14,2020-04-03,2020-04-07,Actual,NA,NA,NA,NA,NA,NA,2020-04-14,2020-04-15,Actual,"April 7, 2020",Actual,2020-04-07,April 2020,2020-04-30,"October 21, 2021",Anticipated,2021-10-21,"September 1, 2020",Anticipated,2020-09-01,NA,Observational,NA,,Rutgers COVID-19 Cohort Study,"Cohort Study of SARS-CoV-2 Incidence, Transmission, and Disease Severity in Healthcare Workers",Recruiting,NA,NA,750,Anticipated,"Rutgers, The State University of New Jersey",,NA,3,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      nasopharyngeal or throat swabs, saliva, and blood (for detecting SARS-CoV-2 positivity and
      immunity)
    ",NA,NA,NA,No,NA,2020-04-25T09:18:12Z,2020-04-25T09:18:12Z,5111137,NCT04336215,Coronavirus Infections,coronavirus infections,Other,Non-Interventional,This non-interventional study poses no additional risks to people with pre-existing conditions.,1,Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting|Recruiting,Clinical Research Center Rutgers-Robert Wood Johnson Medical School RWJUH East Tower -|Robert Wood Johnson University Hospital|Clinical Research Unit Rutgers New Jersey Medical School|Rutgers School of Dental Medicine|University Hospital|Environmental and Occupational Health Sciences Institute|RUCDR Infinite Biologics,New Brunswick|New Brunswick|Newark|Newark|Newark|Piscataway|Piscataway,New Jersey|New Jersey|New Jersey|New Jersey|New Jersey|New Jersey|New Jersey,08901|08901|07103|07103|07103|08854|08854,United States|United States|United States|United States|United States|United States|United States,7
"ClinicalTrials.gov processed this data on April 22, 2020",2020-04-08,NA,NA,2020-04-10,2020-04-08,2020-04-10,Actual,NA,NA,NA,NA,NA,NA,2020-04-10,2020-04-13,Actual,"March 25, 2020",Actual,2020-03-25,April 2020,2020-04-30,March 2021,Anticipated,2021-03-31,March 2021,Anticipated,2021-03-31,NA,Observational,NA,,Acquiring Convalescent Specimens for COVID-19 Antibodies,Acquiring Convalescent Specimens to Isolate and Identify Potent Monoclonal Antibodies Against COVID-19,Recruiting,NA,NA,12,Anticipated,Columbia University,,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Whole blood from which peripheral blood mononuclear cells (PBMCs) and plasma will be
      processed.
    ",NA,NA,NA,NA,NA,2020-04-23T09:13:43Z,2020-04-23T09:13:43Z,5086781,NCT04342195,Coronavirus Infections,coronavirus infections,Procedure,Blood draw,Participants will have approximately 45 ml of whole blood drawn (3 Tablespoons) drawn at the study visit.,1,Recruiting,Columbia University Irving Medical Center/NYP,New York,New York,10032,United States,1
"ClinicalTrials.gov processed this data on April 17, 2020",2020-04-01,NA,NA,2020-04-06,2020-04-01,2020-04-03,Actual,NA,NA,NA,NA,NA,NA,2020-04-06,2020-04-08,Actual,"March 27, 2020",Actual,2020-03-27,March 2020,2020-03-31,September 2020,Anticipated,2020-09-30,September 2020,Anticipated,2020-09-30,NA,Observational,TOVID-49,,Telephony Or Videophony for Isolated elDerly in Maine-Et-Loire 49 During COVID-19,Telephony Or Videophony for Isolated elDerly in Maine-Et-Loire 49 During COVID-19,Recruiting,NA,NA,100,Anticipated,"University Hospital, Angers",,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-18T09:11:23Z,2020-04-18T09:11:23Z,5035816,NCT04333849,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting,Angers University Hospital,Angers,,49933,France,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-27,NA,NA,2020-04-27,2020-04-27,2020-04-29,Estimate,NA,NA,NA,NA,NA,NA,2020-04-27,2020-04-29,Estimate,"April 28, 2020",Anticipated,2020-04-28,April 2020,2020-04-30,April 2021,Anticipated,2021-04-30,April 2021,Anticipated,2021-04-30,NA,Observational,NA,,"ScreenNC, a Study to Determine the Number of Asymptomatic Individuals Who Have Antibodies to the Virus That Causes COVID-19",ScreenNC: A Study to Determine the Number of Asymptomatic Individuals Who Have Antibodies to the SARS-CoV-2 Infection,Enrolling by invitation,NA,NA,10000,Anticipated,"University of North Carolina, Chapel Hill",,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"
      Blood; virus from nasal or oral swab
    ",NA,NA,NA,No,NA,2020-04-30T09:06:56Z,2020-04-30T09:06:56Z,5165313,NCT04367740,Coronavirus Infections,coronavirus infections,Diagnostic Test,To assess for development of IgG antibodies against SARS-CoV2,Swabs will be collected to assess for COVID-19 if PPE supplies allow.,1,,"Center for Environmental Medicine, Asthma and Lung Biology",Chapel Hill,North Carolina,27599,United States,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-17,NA,NA,2020-04-28,2020-04-28,2020-04-29,Estimate,NA,NA,NA,NA,NA,NA,2020-04-28,2020-04-29,Estimate,"March 8, 2020",Actual,2020-03-08,April 2020,2020-04-30,"May 31, 2020",Anticipated,2020-05-31,"May 31, 2020",Anticipated,2020-05-31,NA,Observational,NA,,Social Media and COVID-19,Getting it Right: Towards Responsible Social Media Use During a Pandemic (COVID-19),Recruiting,NA,NA,150,Anticipated,Yale-NUS College,,NA,1,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,"Due to stipulations by the Institutional Review Board, data cannot be shared.",2020-04-30T09:07:09Z,2020-04-30T09:07:09Z,5165359,NCT04367363,Coronavirus Infections,coronavirus infections,Behavioral,Social media & news consumption,"Daily reports of social media use and consumption, including reports on receiving and disseminating news articles related to the COVID-19 situation (e.g., how many messaging groups shared news on the outbreak, how many items related to the outbreak they forwarded to others, etc).",1,Recruiting,Yale-NUS College,Singapore,,138527,Singapore,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-16,NA,NA,2020-04-27,2020-04-27,2020-04-29,Estimate,NA,NA,NA,NA,NA,NA,2020-04-27,2020-04-29,Estimate,"April 14, 2020",Actual,2020-04-14,April 2020,2020-04-30,"December 1, 2021",Anticipated,2021-12-01,"December 1, 2020",Anticipated,2020-12-01,NA,Observational,ELCOVID,,Electrocardiogram Analysis in COVID-19 Patients,Electrocardiogram Analysis in COVID-19 Patients,Recruiting,NA,NA,1000,Anticipated,University Hospital of Ferrara,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,not yet decided a plan to share individual participant data (IPD),2020-04-30T09:07:17Z,2020-04-30T09:07:17Z,5165389,NCT04367129,Coronavirus Infections,coronavirus infections,Diagnostic Test,ECG,12 lead electrocardiogram,1,Recruiting,Arcispedale S. Anna,Ferrara,,44124,Italy,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-22,NA,NA,2020-04-27,2020-04-27,2020-04-29,Estimate,NA,NA,NA,NA,NA,NA,2020-04-27,2020-04-29,Estimate,"April 30, 2020",Anticipated,2020-04-30,April 2020,2020-04-30,"September 15, 2022",Anticipated,2022-09-15,"September 15, 2022",Anticipated,2022-09-15,NA,Observational,COVIDSMELL,,Study of the Pathogenesis of Olfactory Disorders in COVID-19,Study of the Pathogenesis of Olfactory Disorders in COVID-19,Not yet recruiting,NA,NA,24,Anticipated,Institut Pasteur,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"
      Nasal swabs
    ",NA,NA,NA,No,NA,2020-04-30T09:07:24Z,2020-04-30T09:07:24Z,5165408,NCT04366934,Coronavirus Infections,coronavirus infections,Other|Other,Nasal swab|Taste and olfactory function evaluation,Nasal swab|Taste and olfactory function evaluation,2,,HÃ´pital LariboisiÃ¨re,Paris,,,France,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-23,NA,NA,2020-04-26,2020-04-23,2020-04-27,Actual,NA,NA,NA,NA,NA,NA,2020-04-26,2020-04-28,Actual,"April 20, 2020",Actual,2020-04-20,April 2020,2020-04-30,"October 1, 2031",Anticipated,2031-10-01,"April 20, 2030",Anticipated,2030-04-20,NA,Observational,ACCESS,,ACCESS A Master Digital Surveillance Protocol for COVID-19,"ACCESS (American COVID-19 Collaborative, Enabling Seamless Science) Master Digital Surveillance and Associated Clinical Trials Protocol for COVID-19",Recruiting,NA,NA,1000000,Anticipated,Medable Inc.,,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,Please reach out to the study team for data sharing policies and procedures. Only de-identified and aggregate data may be considered for sharing.,2020-04-30T09:09:40Z,2020-04-30T09:09:40Z,5165852,NCT04363268,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting,Medable Inc.,Palo Alto,California,94301,United States,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-22,NA,NA,2020-04-24,2020-04-24,2020-04-27,Actual,NA,NA,NA,NA,NA,NA,2020-04-24,2020-04-27,Actual,"April 23, 2020",Actual,2020-04-23,April 2020,2020-04-30,"March 20, 2025",Anticipated,2025-03-20,"April 20, 2021",Anticipated,2021-04-20,NA,Observational,NA,,St. Jude Tracking of Viral and Host Factors Associated With COVID-19,SJTRC-St. Jude Tracking of Viral and Host Factors Associated With COVID-19: A Prospective Adaptive Cohort Study,Recruiting,NA,NA,1517,Anticipated,St. Jude Children's Research Hospital,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      blood and nasal samples
    ",NA,NA,NA,NA,NA,2020-04-30T09:09:49Z,2020-04-30T09:09:49Z,5165884,NCT04362995,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting,St. Jude Children's Research Hospital,Memphis,Tennessee,38105,United States,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-23,NA,NA,2020-04-27,2020-04-23,2020-04-24,Actual,NA,NA,NA,NA,NA,NA,2020-04-27,2020-04-29,Estimate,"April 21, 2020",Actual,2020-04-21,April 2020,2020-04-30,"December 21, 2024",Anticipated,2024-12-21,"December 31, 2022",Anticipated,2022-12-31,NA,Observational,LIINC,,Long-term Impact of Infection With Novel Coronavirus (COVID-19),Long-term Impact of Infection With Novel Coronavirus (LIINC): An Observational Study,Recruiting,NA,NA,800,Anticipated,"University of California, San Francisco",,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Whole blood, peripheral blood mononuclear cells, plasma, serum, and saliva.
    ",NA,NA,NA,No,NA,2020-04-30T09:10:20Z,2020-04-30T09:10:20Z,5165976,NCT04362150,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting,Zuckerberg San Francisco General Hospital (ZSFG),San Francisco,California,94110,United States,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-14,NA,NA,2020-04-23,2020-04-23,2020-04-24,Actual,NA,NA,NA,NA,NA,NA,2020-04-23,2020-04-24,Actual,"April 25, 2020",Anticipated,2020-04-25,April 2020,2020-04-30,"May 31, 2020",Anticipated,2020-05-31,"May 24, 2020",Anticipated,2020-05-24,NA,Observational,RESPIRE,,Ruxolitinib for the Treatment of Acute Respiratory Distress Syndrome in Patients With COVID-19 Infection,COVID-19: Ruxolitinib for the Treatment of cytokinE Storm resPiratory dIstREss Syndrome. RESPIRE Study,Not yet recruiting,NA,NA,13,Anticipated,Azienda USL Toscana Nord Ovest,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-30T09:10:29Z,2020-04-30T09:10:29Z,5165997,NCT04361903,Coronavirus Infections,coronavirus infections,Drug,Ruxolitinib Oral Tablet,Ruxolitinib Oral Tablet dosage of at least 20 mg x 2 / day in the first 48 hours,1,NA,NA,NA,NA,NA,NA,NA
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-22,NA,NA,2020-04-22,2020-04-22,2020-04-24,Actual,NA,NA,NA,NA,NA,NA,2020-04-22,2020-04-24,Actual,April 2020,Anticipated,2020-04-30,April 2020,2020-04-30,December 2021,Anticipated,2021-12-31,December 2021,Anticipated,2021-12-31,NA,Observational,NA,,Atrium COVID-19 Syndromic and Serologic Surveillance,"A Prospective Study of COVID-19 Using Real-Time Syndromic Surveillance, Scheduled At-home Serologic Testing, and Electronic Health Records",Not yet recruiting,NA,NA,450000,Anticipated,Atrium Health,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-30T09:11:00Z,2020-04-30T09:11:00Z,5166093,NCT04361123,Coronavirus Infections,coronavirus infections,Other|Diagnostic Test,daily syndromic surveillance|monthly serologic IgM/G test,"Each volunteer will be securely linked to an Oracle developed, self-reporting online HIPAA-compliant data system through a secure app on their smartphone, tablet, or computer. Volunteers will report their illness symptoms daily, health seeking behavior and treatment, COVID-19 contacts, and, for health care workers, use of PPE.|At baseline to measure seroprevalence, and once every month after to detect seroconversions, we will use serological antibody tests for SARS-CoV-2 on a sample of volunteers demographically representative of populations served by Atrium Health.",2,NA,NA,NA,NA,NA,NA,NA
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-20,NA,NA,2020-04-24,2020-04-22,2020-04-24,Actual,NA,NA,NA,NA,NA,NA,2020-04-24,2020-04-28,Actual,"April 27, 2020",Anticipated,2020-04-27,April 2020,2020-04-30,"October 27, 2020",Anticipated,2020-10-27,"October 27, 2020",Anticipated,2020-10-27,NA,Observational,NA,,Evaluation of Antibody Tests for COVID-19,Evaluation of Commerical Antibody Tests for COVID-19,Recruiting,NA,NA,1000,Anticipated,Washington University School of Medicine,,NA,4,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,Samples Without DNA,"
      Plasma or serum.
    ",NA,NA,NA,NA,NA,2020-04-30T09:11:06Z,2020-04-30T09:11:06Z,5166113,NCT04360954,Coronavirus Infections,coronavirus infections,Diagnostic Test,Diagnostic test,There is no intervention. This study will test deidentified archived biosamples.,1,Recruiting,Washington University School of Medicine,Saint Louis,Missouri,63110,United States,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-16,NA,NA,2020-04-22,2020-04-22,2020-04-24,Actual,NA,NA,NA,NA,NA,NA,2020-04-22,2020-04-24,Actual,"April 8, 2020",Actual,2020-04-08,April 2020,2020-04-30,"December 30, 2021",Anticipated,2021-12-30,"July 1, 2021",Anticipated,2021-07-01,NA,Observational,COVID19 LTFU,,Long Term Outcomes of Patients With COVID-19,Long Term Outcomes of Patients With COVID-19,Recruiting,NA,NA,500,Anticipated,University of Chicago,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-30T09:11:21Z,2020-04-30T09:11:21Z,5166149,NCT04360538,Coronavirus Infections,coronavirus infections,Other|Other|Other,Quality of Life|Impact Event Score|Hospital anxiety and depression scale,Physical disability assessment tool|Psychological Sequelae assessment tool|Psychological Sequelae assessment tool,3,Recruiting,University of Chicago Medical Center,Chicago,Illinois,60637,United States,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-20,NA,NA,2020-04-20,2020-04-20,2020-04-24,Actual,NA,NA,NA,NA,NA,NA,2020-04-20,2020-04-24,Actual,May 2020,Anticipated,2020-05-31,April 2020,2020-04-30,September 2022,Anticipated,2022-09-30,May 2022,Anticipated,2022-05-31,NA,Observational,STOP COVID 19,,Sequencing and Tracking of Phylogeny in COVID-19 Study,Sequencing and Tracking of Phylogeny in COVID-19 Study,Recruiting,NA,NA,500,Anticipated,Portsmouth Hospitals NHS Trust,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-30T09:11:44Z,2020-04-30T09:11:44Z,5166236,NCT04359849,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting,"Portsmouth Hospitals NHS Trust, Queen Alexandra Hospital",Portsmouth,Hampshire,PO6 3LY,United Kingdom,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-20,NA,NA,2020-04-20,2020-04-20,2020-04-24,Actual,NA,NA,NA,NA,NA,NA,2020-04-20,2020-04-24,Actual,"April 16, 2020",Actual,2020-04-16,April 2020,2020-04-30,"July 31, 2021",Anticipated,2021-07-31,"April 30, 2021",Anticipated,2021-04-30,NA,Observational,NA,,A Study to Explore the Role of Gut Flora in COVID-19 Infection,A Non-Interventional Pilot Study to Explore the Role of Gut Flora in COVID-19 Infection,Recruiting,NA,NA,250,Anticipated,ProgenaBiome,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Stool samples.
    ",NA,NA,NA,No,NA,2020-04-30T09:11:45Z,2020-04-30T09:11:45Z,5166240,NCT04359836,Coronavirus Infections,coronavirus infections,Other,There is no intervention in this study,There is no intervention in this study,1,Recruiting,ProgenaBiome,Ventura,California,93003,United States,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-20,NA,NA,2020-04-22,2020-04-22,2020-04-24,Actual,NA,NA,NA,NA,NA,NA,2020-04-22,2020-04-24,Actual,"April 27, 2020",Anticipated,2020-04-27,April 2020,2020-04-30,"January 31, 2021",Anticipated,2021-01-31,"December 31, 2020",Anticipated,2020-12-31,NA,Observational,COVID_EIT,,Prone Positioning and Regional Ventilation in Mechanically Ventilated COVID Patients,The Effect of Prone Positioning on Lung Aeration and Ventilation-perfusion Matching in Mechanically Ventilated Patients With Coronavirus Disease Related Acute Respiratory Distress Syndrome,Not yet recruiting,NA,NA,16,Anticipated,"University Hospital, Geneva",,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-30T09:12:01Z,2020-04-30T09:12:01Z,5166285,NCT04359407,Coronavirus Infections,coronavirus infections,Other,Prone positioning,Change the positioning of the COVID patients who are intubated and mechanically ventilated from supine to prone,1,,University Hospitals of Geneva,Geneva,,1206,Switzerland,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-21,NA,NA,2020-04-21,2020-04-21,2020-04-24,Actual,NA,NA,NA,NA,NA,NA,2020-04-21,2020-04-24,Actual,"April 9, 2020",Actual,2020-04-09,April 2020,2020-04-30,"April 22, 2020",Anticipated,2020-04-22,"April 22, 2020",Anticipated,2020-04-22,NA,Observational,PSY_CO_CHU,,Anxiety and Work Resilience Among Tertiary University Hospital Workers During the COVID-19 Outbreak: An Online Survey,Anxiety and Work Resilience Among Tertiary University Hospital Workers During the COVID-19 Outbreak: An Online Survey,Recruiting,NA,NA,2000,Anticipated,Centre Hospitalier Universitaire de NÄ«mes,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-30T09:12:27Z,2020-04-30T09:12:27Z,5166366,NCT04358640,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting,Intensive care unit CHU Nimes,NÃ®mes,,30029,France,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-20,NA,NA,2020-04-20,2020-04-20,2020-04-22,Actual,NA,NA,NA,NA,NA,NA,2020-04-20,2020-04-22,Actual,April 2020,Anticipated,2020-04-30,April 2020,2020-04-30,December 2020,Anticipated,2020-12-31,August 2020,Anticipated,2020-08-31,NA,Observational,NA,,A Human Clinical Study to Collect Calibration and Performance Data for the RBA-2 Device,A Human Clinical Study to Collect Calibration and Performance Data for the RBA-2 Device,Not yet recruiting,NA,NA,300,Anticipated,"Kaligia Biosciences, LLC",,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-30T09:12:50Z,2020-04-30T09:12:50Z,5166446,NCT04357977,Coronavirus Infections,coronavirus infections,Diagnostic Test,RBA-2,Collection of non-invasive in vivo saliva from confirmed cases of both infected and non-infected COVID-19 patients or site staff at the testing site and compare the test results using the RBA-2 against the standard test results used for diagnosis.,1,||,Tampa General Hospital|University of South Florida|AdventHealth Tampa,Tampa|Tampa|Tampa,Florida|Florida|Florida,33606|33612|33613,United States|United States|United States,3
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-20,NA,NA,2020-04-21,2020-04-21,2020-04-22,Actual,NA,NA,NA,NA,NA,NA,2020-04-21,2020-04-22,Actual,"April 15, 2020",Actual,2020-04-15,April 2020,2020-04-30,"April 30, 2020",Anticipated,2020-04-30,"April 20, 2020",Anticipated,2020-04-20,NA,Observational,SCout,,Risk Stratification With Chest CT to Rule-out Suspected SARS-CoV-2 Infections,Risk Stratification With Chest Computed Tomography to Rule-out Suspected SARS-CoV-2 Infections of Unspecific Symptomatic Patients Before Hospital Admission,"Active, not recruiting",NA,NA,145,Anticipated,Jena University Hospital,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,There is not a plan to make IPD available.,2020-04-30T09:12:51Z,2020-04-30T09:12:51Z,5166451,NCT04357938,Coronavirus Infections,coronavirus infections,Device,CT-imaging,"Chest CT to rule out pneumonia in PCR negative, nonspecific symptomatic patients to prevent the spread of SARS-CoV-2 within the hospital.",1,,Jena University Hospital,Jena,Thuringia,07747,Germany,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-20,NA,NA,2020-04-22,2020-04-20,2020-04-22,Actual,NA,NA,NA,NA,NA,NA,2020-04-22,2020-04-24,Actual,May 2020,Anticipated,2020-05-31,April 2020,2020-04-30,June 2020,Anticipated,2020-06-30,May 2020,Anticipated,2020-05-31,NA,Observational,NA,,Comparison of New Coronavirus (COVID-19) Awareness in Individuals of Different Age Groups: Analysis of Turkey,New Coronavirus Awareness,Not yet recruiting,NA,NA,1000,Anticipated,Istanbul University-Cerrahpasa,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-30T09:12:53Z,2020-04-30T09:12:53Z,5166457,NCT04357886,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,,Istanbul University-Cerrahpasa,Istanbul,,,Turkey,1
"ClinicalTrials.gov processed this data on April 29, 2020",2020-04-19,NA,NA,2020-04-21,2020-04-21,2020-04-22,Actual,NA,NA,NA,NA,NA,NA,2020-04-21,2020-04-22,Actual,"April 12, 2020",Actual,2020-04-12,April 2020,2020-04-30,"September 30, 2020",Anticipated,2020-09-30,"July 31, 2020",Anticipated,2020-07-31,NA,Observational,NA,,Prognosis of Coronavirus Disease 2019 (COVID-19) Patients Receiving Receiving Antihypertensives,Prognosis of Patients With Coronavirus Disease 2019 (COVID-19) Receiving Angiotensin-Converting Enzyme Inhibitors (ACE-I) and Angiotensin II Receptor Antagonists (ARBs),Recruiting,NA,NA,226,Anticipated,King Faisal Specialist Hospital & Research Center,,NA,1,NA,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,Undecided,"On publication, according to the journal requirements",2020-04-30T09:13:05Z,2020-04-30T09:13:05Z,5166499,NCT04357535,Coronavirus Infections,coronavirus infections,Drug,Angiotensin-Converting Enzyme Inhibitors (ACE-I) and Angiotensin II Receptor Blockers (ARB),ACE-I and ARB are a class of blood pressure lowering medications used to manage hypertension.,1,Recruiting,King Faisal Specialist Hospital & Research Centre,Riyadh,,11211,Saudi Arabia,1
