intervention,"Active, not recruiting",Completed,Enrolling by invitation,Recruiting,Terminated,Total
change in preference to surgery under covid-19 pandemic.,0,1,0,0,0,1
chat-based instant messaging support,1,0,0,0,0,1
chat-based support,0,0,0,1,0,1
cheek swab,0,0,0,1,0,1
chemokines profiles of patients with dexmedetomidine administration,0,0,0,1,0,1
chemotherapy,1,0,0,0,0,1
chest mri,0,0,0,1,0,1
chest x-ray,0,0,0,1,0,1
chiropractic care (more than one visit),0,1,0,0,0,1
chiropractic care (one visit),0,1,0,0,0,1
chlorhexidine,0,0,0,1,0,1
chlorine dioxide,0,0,0,1,0,1
choice of assignment: active choice,0,0,0,1,0,1
choice of assignment: enhanced active choice,0,0,0,1,0,1
choice of assignment: opt-in,0,0,0,1,0,1
chx0.12,0,1,0,0,0,1
chx0.12/cpc0.05 oral rinse (perioaidactive control),0,1,0,0,0,1
cig axial,1,0,0,0,0,1
cig tilted,1,0,0,0,0,1
citrox,0,0,0,1,0,1
ck0802,0,0,0,1,0,1
clarithromycin,1,0,0,0,0,1
clarithromycin 500mg,0,1,0,0,0,1
clbs119,0,0,0,1,0,1
clevudine,0,0,0,1,0,1
clinical data collection,0,0,0,1,0,1
clinical diagnosis of covid-19 by a health care professional,0,0,0,1,0,1
clinical features,0,0,0,1,0,1
clinical interview,0,0,0,1,0,1
clinical outcomes in elderly patients with covid-19.,0,0,0,1,0,1
clinical testing of subjects,0,0,0,1,0,1
"clinical, functional",0,0,0,1,0,1
"clinical, functional/radiological lung involvement evolution",0,0,0,1,0,1
"clinical, laboratory",0,0,0,1,0,1
"clinical, laboratory/imaging characteristics of pneumonia",0,0,0,1,0,1
clinico-biological parameters in routine care,0,0,0,1,0,1
clofazimine,0,0,0,1,0,1
closed-loop control of oxygen supplementation by o2matic,0,1,0,0,0,1
clungene rapid test cassette,0,0,0,1,0,1
cns magnetic resonance imaging (mri) imaging,0,0,0,1,0,1
cod liver oil,0,0,0,1,0,1
cognitive,0,0,0,1,0,1
cognitive behavioral brief-telepsychotherapy,0,0,1,0,0,1
cognitive testing,0,0,0,1,0,1
colchicine pill,0,0,0,1,0,1
colchicine/herbal phenolic monoterpene fractions,0,0,0,1,0,1
colchicine/symptomatic treatment (paracetamol),0,0,0,1,0,1
colgate periogard mouthwash,0,0,1,0,0,1
colgate peroxyl mouthwash,0,0,1,0,0,1
colgate total mouthwash,0,0,1,0,0,1
collagen-polyvinylpyrrolidone,0,0,0,1,0,1
collection of breath sample,0,0,0,1,0,1
collection of mucosal lining fluid,0,1,0,0,0,1
collection of odour samples,0,0,0,1,0,1
collection of swabs,0,0,0,1,0,1
collection of tears,0,0,1,0,0,1
collection of tears/saliva.,0,0,1,0,0,1
colorectal resections,1,0,0,0,0,1
combination,1,0,0,0,0,1
communication type,0,1,0,0,0,1
community-driven messages to promote covid-19 testing,0,0,1,0,0,1
community health worker support,0,0,1,0,0,1
community health workers.,0,0,0,1,0,1
community interest message,0,1,0,0,0,1
comparative observational cohort study,0,0,0,1,0,1
compare the difference in respiratory rate between h0,0,0,0,1,0,1
compassion focused intervention,0,1,0,0,0,1
complement dosage,0,0,0,1,0,1
complete thrombophilic profile testing by multiplex pcr,0,0,0,1,0,1
completion of post telemedicine encounter survey,0,1,0,0,0,1
completion of pre-pandemic survey,0,1,0,0,0,1
completion of survey after peak of pandemic,0,1,0,0,0,1
complex diagnostic panel,0,0,1,0,0,1
comprehensive treatment,0,0,0,1,0,1
conestat alfa,0,0,0,1,0,1
conjunctival swab/nasopharyngeal swab,0,0,0,1,0,1
connected devices measurements,0,0,0,1,0,1
connor-davidson resilience scale 10 items (cd-risc 10),0,0,0,1,0,1
contain covid anxiety ssi,0,1,0,0,0,1
continuation of acei,0,0,0,1,0,1
continuation of acei/arb,0,0,0,1,0,1
continuation of arb,0,0,1,0,0,1
continuation of ras blocker,0,0,0,1,0,1
continued self-enhancement (enhance) for covid-19,0,0,1,0,0,1
continuous positive airway pressure,0,0,0,1,0,1
continuous renal replacement therapy,0,0,0,1,0,1
continuous vital sign monitoring - isansys patient status engine,0,0,0,1,0,1
contrast-enhanced cmr,0,0,0,1,0,1
control blend,0,0,0,1,0,1
control message,0,1,0,0,0,1
control patients,0,0,0,1,0,1
control swab,0,0,0,1,0,1
convalescent plasma/standard care,0,0,0,1,0,1
convalscent plasma,0,0,0,1,0,1
"conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,",0,0,0,1,0,1
"conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation,/lopinavir/ritonavir)",0,0,0,1,0,1
conventional oxygen therapy,0,0,0,1,0,1
conventional therapy first,1,0,0,0,0,1
convp,0,0,0,1,0,1
copan swabbing,0,0,0,1,0,1
copan swabbing/blood sample collection,0,0,0,1,0,1
coping strategies video,0,0,0,1,0,1
core warming,0,0,0,1,0,1
corn oil (placebo),0,0,0,1,0,1
coronavac,0,0,0,1,0,1
"coronavirus anxiety scale , covid-19 phobia scale",0,1,0,0,0,1
coronavirus disease 2019,0,0,0,1,0,1
corticosteroids/derivatives,1,0,0,0,0,1
cosh self-help smoking cessation booklet,0,0,0,1,0,1
cospherunate,0,0,1,0,0,1
cospherunate/azythromycine,0,0,1,0,0,1
cospherunate/phytomedicine/azythromycien,0,0,1,0,0,1
counselling,1,0,0,0,0,1
couples' group education,0,0,1,0,0,1
covi-guard,0,0,0,1,0,1
covicu,0,0,0,1,0,1
covid-19 / patients,1,0,0,0,0,1
covid-19 androgen sensitivity test (covast),0,0,1,0,0,1
covid-19 antibody testing,0,0,0,1,0,1
covid-19 antigen,0,0,0,1,0,1
"covid-19 antigen/antibody rapid testing, mobile device image capture/telemedicine support",0,0,0,1,0,1
covid-19 barrier box,0,0,0,1,0,1
covid-19 convalescent plasma (cp),0,0,0,1,0,1
covid-19 diagnostic,0,0,0,1,0,1
covid-19 diagnostic test,0,0,0,1,0,1
covid-19 diagnostic/assessment tests,0,0,0,1,0,1
covid-19 experience surveys,0,0,0,1,0,1
covid-19 facility,0,1,0,0,0,1
covid-19 infection,0,0,0,1,0,1
covid-19 infection status,0,0,0,1,0,1
covid-19 infection will be conducted.,0,0,0,1,0,1
"covid-19 pcr , igm",1,0,0,0,0,1
covid-19 positive pregnant women,0,1,0,0,0,1
covid-19 positive via testing,0,0,0,1,0,1
covid-19 presto test,0,0,0,1,0,1
covid-19 related health warning leaflet,0,0,0,1,0,1
covid-19 survey,0,0,0,1,0,1
covid-19 swab,0,0,0,1,0,1
covid-19 test,0,0,0,1,0,1
covid-19 testing,0,0,0,1,0,1
covid-19 treatment,0,0,0,1,0,1
covid-19 treatments,0,1,0,0,0,1
covid-19/ observational,0,0,0,1,0,1
covid-19/intensive care,0,1,0,0,0,1
covid-specific advice,0,0,0,1,0,1
covid-surgres questionaire,0,1,0,0,0,1
covid-viroâ® test,0,0,0,1,0,1
covid 19 diagnostic test,1,0,0,0,0,1
covid 19 impact,0,1,0,0,0,1
covid 19 self-questionnaire,0,0,0,1,0,1
covid 19 serology,0,0,0,1,0,1
covid19 vaccine,0,0,0,1,0,1
covidseq test,0,0,1,0,0,1
covsurf drug delivery system,0,0,0,1,0,1
covx,0,1,0,0,0,1
cpc0.05 oral rinse (perioaidactive control),0,1,0,0,0,1
cpi-006,0,0,0,1,0,1
cries 13 questionnaire,0,0,0,1,0,1
crisis intervention therapy,0,0,1,0,0,1
crizanlizumab,0,0,0,1,0,1
cross-sectional observational study,0,1,0,0,0,1
cross-sectional study investigating the association of npis with mental health,0,1,0,0,0,1
cross sectional study using scientifically validated psychometric scales,0,1,0,0,0,1
csvf,0,0,0,1,0,1
ct-p59/placebo,0,0,0,1,0,1
ctus examination,0,0,0,1,0,1
cupping,0,0,0,1,0,1
current care per ucla treating physicians,0,0,0,1,0,1
cvncov 12 î¼g,0,0,0,1,0,1
cvncov 12î¼g,0,0,0,1,0,1
cvncov 6 î¼g,0,0,0,1,0,1
cvncov vaccine,0,0,0,1,0,1
cyp-001,0,0,0,1,0,1
cystatin c,0,0,0,1,0,1
cyt107,0,0,0,1,0,1
cytokines,0,0,0,1,0,1
cytokines measurement,0,0,0,1,0,1
d,0,0,0,1,0,1
d followed by enoxaparin,0,0,0,1,0,1
daily coping toolkit,0,0,0,1,0,1
daily monitoring,0,0,0,1,0,1
daily room disinfection,0,1,0,0,0,1
daily syndromic surveillance,0,0,1,0,0,1
dalargin,1,0,0,0,0,1
danoprevir,0,1,0,0,0,1
danoprevir/ritonavir,0,1,0,0,0,1
dapansutrile capsules,0,0,0,1,0,1
das181,0,1,0,0,0,1
dass-21 instrument (depression,0,0,0,1,0,1
dass-21 instrument (depression/anxiety),0,0,0,1,0,1
data,0,0,0,1,0,1
data collection from blood draw,0,0,0,1,0,1
data collection from lumbar puncture,0,0,0,1,0,1
data collection from medical files,0,0,0,1,0,1
data collection up to 1 year,0,0,0,1,0,1
data collection/clinical testing of subjects,0,0,0,1,0,1
data collection/rhinopharyngeal swab,0,1,0,0,0,1
data collection: clinical care assessments,0,0,1,0,0,1
data monitoring for 48h within the first 12 hours of admission for covid-19,0,0,0,1,0,1
data registry,0,0,0,1,0,1
"data research, database analysis",0,1,0,0,0,1
day,1,0,0,0,0,1
death with routine,1,0,0,0,0,1
decisions of limitations,0,0,0,1,0,1
decisions of limitations/stop processing,0,0,0,1,0,1
decitabine,0,0,0,1,0,1
deep breathing training,0,1,0,0,0,1
deferoxamine,0,0,0,1,0,1
defibrotide 25 mg/kg 24 hours continuous infusion for 15 days,0,0,0,1,0,1
degarelix,0,0,0,1,0,1
deglycyrrhizinated licorice,0,0,0,1,0,1
demographic characteristics,0,1,0,0,0,1
depression scale,0,0,0,1,0,1
"depression,",0,0,0,1,0,1
"depression, anxiety",0,0,0,1,0,1
"depression, anxiety/stress scale",0,0,0,1,0,1
derivatives,1,0,0,0,0,1
derivatives.,0,0,0,1,0,1
description of groups caracteristics,0,1,0,0,0,1
desidustat,0,0,0,1,0,1
device used to record voice for screening,0,0,0,1,0,1
device),0,0,0,1,0,1
dexamethasone 2 mg,0,1,0,0,0,1
dexamethasone 2 mg/ml,0,1,0,0,0,1
dexamethasone/hydroxychloroquine,0,0,0,1,0,1
dexcom,0,0,0,1,0,1
dfv890,0,0,0,1,0,1
diabetes type 2,1,0,0,0,0,1
diagnosed with covid-19,0,0,1,0,0,1
"diagnosis of sars-cov2 by rt-pcr/: igg, ig m serologies in the amniotoc fluid, the blood cord/the placenta",0,0,0,1,0,1
diagnostic,0,0,0,1,0,1
diagnostic examination for venous thromboembolism,0,1,0,0,0,1
diagnostic laboratory biomarker analysis,0,0,0,1,0,1
diagnostic test covid-19,0,0,0,1,0,1
diagnostic test for detection of sars-cov-2,0,0,1,0,0,1
diagnostic test for sars-cov2 for patients,0,0,0,1,0,1
diagnostic test for sars-cov2 for patients/health staff,0,0,0,1,0,1
diagnostic tests for covid-19 infection,0,0,0,1,0,1
dialectical behavioral therapy (dbt) skills,0,0,0,1,0,1
diet tracking,0,0,0,1,0,1
"dietary counselling on food groups according to iyc feeding practices, who",0,0,0,1,0,1
dietary supplement,0,0,0,1,0,1
dietary supplement containing resistant starch,0,0,0,1,0,1
differences in triage,0,1,0,0,0,1
difficulties lived by disabled children's parents in the period of covid-19 pandemic,0,1,0,0,0,1
dig axial,1,0,0,0,0,1
dig tilted,1,0,0,0,0,1
digital cardiac counseling,0,0,0,1,0,1
digital health online platform,0,0,0,1,0,1
digital oximeter monitoring,0,0,0,1,0,1
diovan,0,0,0,1,0,1
dipyridamole er 200mg,0,0,0,1,0,1
dipyridamole er 200mg/ aspirin 25mg orally/enterally/standard of care,0,0,0,1,0,1
direct antigen tests for covid-19,0,1,0,0,0,1
discontinuation of acei,0,0,0,1,0,1
discontinuation of acei/arb,0,0,0,1,0,1
discontinuation of arb,0,0,1,0,0,1
discontinuation of ras blocker,0,0,0,1,0,1
discussion board for social support,1,0,0,0,0,1
discussion board for social support /basic feedback,1,0,0,0,0,1
discussion board for social support/personalized feedback,1,0,0,0,0,1
distance learning,0,0,1,0,0,1
dlco,0,0,0,1,0,1
dociparastat sodium,0,0,0,1,0,1
doctor spot,0,0,0,1,0,1
doppler echo,0,0,0,1,0,1
dose finding phase (mtd),0,0,0,1,0,1
double-blind nt-i7,0,0,0,1,0,1
doxycyline,0,1,0,0,0,1
drugs,0,0,0,1,0,1
drugs/supportive care,0,0,0,1,0,1
duplex sonography,0,0,0,1,0,1
duplex ultrasound/computed tomography angiography,0,1,0,0,0,1
dur-928,0,0,0,1,0,1
during covid-19 pandemic,0,0,0,1,0,1
during hospitalization blood samples,0,0,0,1,0,1
dutasteride,0,0,0,1,0,1
duvelisib,0,0,0,1,0,1
dysphagia handicap index (dhi),0,0,0,1,0,1
ðžxygen therapy,0,0,0,1,0,1
early-dexamethasone,0,0,0,1,0,1
early rehabilitation,0,0,0,1,0,1
earsats pulse oximeter probe,0,0,0,1,0,1
easycov poc,0,0,0,1,0,1
eating habits,0,0,0,1,0,1
ec-18,0,0,0,1,0,1
ecco2r,0,0,0,1,0,1
ecg-holter,0,0,0,1,0,1
echo-doppler,0,0,0,1,0,1
echocardiogram,0,0,0,1,0,1
economic benefit message,0,1,0,0,0,1
economic freedom message,0,1,0,0,0,1
eculizumab,0,0,0,1,0,1
education sessions,0,0,0,1,0,1
educational meetings/visual prompts,0,1,0,0,0,1
educational video,1,0,0,0,0,1
eeg,0,1,0,0,0,1
eit-group,0,0,0,1,0,1
ejaculated semen sample,0,0,0,1,0,1
elective cancer surgery,0,0,0,1,0,1
electric pad for human external pain therapy,0,0,0,1,0,1
electrical impedance tomography,0,0,0,1,0,1
electrocardiogram (ecg),0,0,0,1,0,1
"electrocardiogram, telemetry, echocardiogram, laboratory values",0,0,0,1,0,1
"electrocardiogram, transthoracic echocardiography",0,0,0,1,0,1
"electrocardiogram, transthoracic echocardiography/clinico-biological parameters in routine care",0,0,0,1,0,1
electrolytes,1,0,0,0,0,1
electronic health record review,0,0,0,1,0,1
elisa/rapid test to detect antibodies against covid-19,1,0,0,0,0,1
elmo project at covid-19: proof of concept,0,0,0,1,0,1
elmo project at covid-19: proof of concept/usability,0,0,0,1,0,1
elmo project at covid-19: study in humans,0,0,0,1,0,1
eltrombopag,0,0,0,1,0,1
emapalumab,0,0,0,1,0,1
embarrassment message,0,1,0,0,0,1
emdr,0,0,0,1,0,1
emergency laparotomy,0,1,0,0,0,1
emergency surgery,0,1,0,0,0,1
emotion regulation training via telehealth,0,0,0,1,0,1
emotional freedom technique,0,1,0,0,0,1
emotional support plan,0,0,0,1,0,1
emtricitabine/tenofovir,0,0,0,1,0,1
emtricitabine/tenofovir disoproxil,0,0,0,1,0,1
endoscopic intervention,0,1,0,0,0,1
endoscopic management according to standard of care,0,1,0,0,0,1
endoscopic procedure,0,1,0,0,0,1
endoscopy,0,1,0,0,0,1
endothelial damage,0,0,0,1,0,1
endothelial damage/angiogenic biomarkers,0,0,0,1,0,1
enduring happiness,0,0,1,0,0,1
enduring happiness/continued self-enhancement (enhance) for covid-19,0,0,1,0,0,1
enhanced hygiene measures,1,0,0,0,0,1
enoxaparin/lovenox,0,0,0,1,0,1
enriched survey feedback,1,0,0,0,0,1
ensifentrine,0,0,0,1,0,1
ent exam,0,0,0,1,0,1
enterally,0,0,0,1,0,1
entrã©e: behavioral skills,0,0,0,1,0,1
entrã©e: cognitive skills,0,0,0,1,0,1
entrã©e: interpersonal skills,0,0,0,1,0,1
environmental exposure,0,0,0,1,0,1
environmental exposure/clinical features,0,0,0,1,0,1
enzalutamide,0,0,0,1,0,1
ep,0,1,0,0,0,1
epds (edinburgh postnatal depression scale),0,1,0,0,0,1
epic risk score display,0,0,0,1,0,1
epidemiological,0,1,0,0,0,1
epidemiological/demographic characteristics,0,1,0,0,0,1
epivaccorona (epivaccorona vaccine based on peptide antigens for the prevention of covid-19),1,0,0,0,0,1
equipment with smartwatch throughout hospital stay on the general ward,0,0,0,1,0,1
escin,0,0,0,1,0,1
essential oil blend,0,0,0,1,0,1
essential oils,0,1,0,0,0,1
estradiol,0,0,0,1,0,1
etoposide,0,0,0,1,0,1
euroimmun assay,0,0,0,1,0,1
evaluate hacor score effectivity in this patients,0,0,0,1,0,1
evaluation,0,0,0,1,0,1
evaluation of changes in the diagnostic-therapeutic pathway,0,1,0,0,0,1
"evaluation of clinical, instrumental",0,0,0,1,0,1
"evaluation of clinical, instrumental/laboratory diagnostics tests",0,0,0,1,0,1
evaluation of skin microvascular flow,0,0,0,1,0,1
evaluation of skin microvascular flow/reactivity,0,0,0,1,0,1
evaluation of the epidemiological characteristics of coronavirus infection (sars-cov-2),0,0,0,1,0,1
evaluation of the ferritin,0,0,0,1,0,1
even birth year intervention groups,0,0,0,1,0,1
examinations for the research:,0,0,0,1,0,1
examine the impact of covid-19 during pregnancy,0,0,0,1,0,1
exercise booklet,0,0,0,1,0,1
exercise program,0,0,0,1,0,1
exercise test ecg,0,0,0,1,0,1
exercise training,0,0,0,1,0,1
exhaled breath sampling,0,0,0,1,0,1
experiences of health care professionals working in intensive care units during the covid-19 pandemic,0,0,0,1,0,1
experimental group,0,0,0,1,0,1
experimental: questionnaire without precaution information,0,1,0,0,0,1
experts consensus,0,1,0,0,0,1
exposure surveys,1,0,0,0,0,1
exposure to disinfectants during the coronavirus pandemic,0,1,0,0,0,1
exposure to the dutch measures due to the covid-19 pandemic.,0,0,0,1,0,1
extracorporeal blood purification using the oxirisâ® (an69st) hemofilter,0,0,0,1,0,1
extracorporeal left hemicolectomy anastomosis,0,0,0,1,0,1
extracorporeal membrane oxygenation,0,0,0,1,0,1
eye movement desensitisation,0,0,0,1,0,1
eye movement desensitisation/reprocessing recent traumatic event protocol,0,0,0,1,0,1
f-652,0,0,0,1,0,1
face mask,0,0,0,1,0,1
face mask awareness,0,0,0,1,0,1
face mask sampling,0,0,0,1,0,1
facial fractures reduction,0,1,0,0,0,1
facial fractures reduction/osteosynthesis,0,1,0,0,0,1
facial mask,0,0,0,1,0,1
family nurture intervention (fni),0,0,0,1,0,1
familychildcare (provisional name of app),0,0,1,0,0,1
farmalarm,0,1,0,0,0,1
favipiravir / standard care,1,0,0,0,0,1
favipiravir/azithromycin,0,0,0,1,0,1
favipiravir/chloroquine,0,0,0,1,0,1
favipiravir/nitazoxanide,0,0,0,1,0,1
favipiravir/tocilizumab,0,0,0,1,0,1
favorable outcome,0,1,0,0,0,1
fecal,0,0,0,1,0,1
fecal sample,0,0,0,1,0,1
fenofibrate,0,0,1,0,0,1
ffp,0,0,0,1,0,1
ffp2,0,0,0,1,0,1
fibreoptic endoscopic evaluation of swallowing (fees),0,0,0,1,0,1
fibrin generation markers assays,0,0,0,1,0,1
filmarray pneumonia,0,1,0,0,0,1
filtration test,0,1,0,0,0,1
fingerstick,0,0,0,1,0,1
fingertip tests for poc assays,0,0,0,1,0,1
fisetin,0,0,1,0,0,1
fit test,0,1,0,0,0,1
fitted pva strip,0,0,0,1,0,1
flow controlled ventilation (evone-ventilator),0,0,0,1,0,1
flu shot,0,0,1,0,0,1
fluoxetine,0,0,0,1,0,1
fluvoxamine,1,0,0,0,0,1
fmd,0,0,0,1,0,1
fmf.,0,0,1,0,0,1
folic acid,1,0,0,0,0,1
follow-up of patients with covid-19,0,0,0,1,0,1
follow-up phone call,0,1,0,0,0,1
follow up,1,0,0,0,0,1
follow up calls,0,0,0,1,0,1
fondapariniux,0,0,0,1,0,1
formoterol,0,0,0,1,0,1
freestyle libre 14 day cgm system,0,0,0,1,0,1
fsfi survey,0,1,0,0,0,1
functional mri,0,0,0,1,0,1
further processing of health data,0,0,0,1,0,1
gad-7 (7-item generalized anxiety disorder),0,0,0,1,0,1
gad-7 (general anxiety disorder) scale,0,1,0,0,0,1
gad-7 general anxiety disorder scale,0,0,0,1,0,1
gam-covid-vac lyo,0,1,0,0,0,1
gamification,0,0,0,0,1,1
gammacoreâ® (vagus nerve stimulation),0,0,0,1,0,1
gammacoreâ® sapphire (non-invasive vagus nerve stimulator),0,0,0,1,0,1
gamunex-c,0,0,0,1,0,1
ganovo,0,1,0,0,0,1
ganovo/ritonavir//-interferon nebulization,0,1,0,0,0,1
"garadacimab, factor xiia antagonist monoclonal antibody",0,0,0,1,0,1
gargle,0,0,0,1,0,1
gas exchange measurement,0,1,0,0,0,1
gas exchanges at different peep,0,1,0,0,0,1
gastrointestinal endoscopy,0,1,0,0,0,1
gc4419,0,0,0,1,0,1
gc5131,0,0,0,1,0,1
general anesthesia,0,0,0,1,0,1
general health education,0,0,0,1,0,1
general public cohort,0,0,0,1,0,1
generalized anxiety disorder-7 (gad-7),0,1,0,0,0,1
genetic,0,0,0,1,0,1
gimsilumab,1,0,0,0,0,1
global longitudinal strain,0,0,0,1,0,1
global survey,0,0,1,0,0,1
gloves,0,1,0,0,0,1
gls-1200,0,0,0,1,0,1
glycaemic levels,0,0,0,1,0,1
glycine,0,0,0,1,0,1
glycosylated ferritin by standard approved serological tests,0,0,0,1,0,1
gns561,0,0,0,1,0,1
go2 peep mouthpiece,0,1,0,0,0,1
"gps reports of potential patient safety incidents, non-covid-19 related",0,1,0,0,0,1
grad-cov2,0,0,0,1,0,1
grandiosity subscales,0,0,0,1,0,1
group 1,1,0,0,0,0,1
group 1: rivaroxaban 20mg/d followed by enoxaparin/unfractionated heparin when needed,0,0,0,1,0,1
group1,0,0,0,1,0,1
growth mindset ssi,0,0,0,1,0,1
guided online support program,0,0,0,1,0,1
guilt message,0,1,0,0,0,1
gustatory tests,0,0,0,1,0,1
gx-19,0,0,0,1,0,1
h12 of the initiation of morphine between the control,0,0,0,1,0,1
had5-s-fusion,0,0,0,1,0,1
had5-s-fusion/n-etsd vaccine,0,0,0,1,0,1
hads,0,0,0,1,0,1
health-related quality of life,0,0,0,1,0,1
health care worker survey,0,0,0,1,0,1
health enhancement program,0,0,0,1,0,1
health literacy,0,0,0,1,0,1
health staff,0,0,0,1,0,1
health supplements,0,0,0,1,0,1
health warning leaflet,0,0,0,1,0,1
healthy lifestyle advise,0,0,0,1,0,1
healthy minds program foundations training,0,0,0,1,0,1
hemodynamics changes at different peep,0,1,0,0,0,1
hemodynamics monitoring,0,1,0,0,0,1
hepatitis a vaccine,0,0,0,1,0,1
herbal phenolic monoterpene,0,0,0,1,0,1
hfb30132a,0,0,0,1,0,1
high-dose placebo (18-59 years),0,0,0,1,0,1
high-dose placebo (18-59 years)/three dose regimen,0,0,0,1,0,1
high-dose placebo (18-59 years)/two dose regimen,0,0,0,1,0,1
high-dose placebo (60-85 years),0,0,0,1,0,1
high-dose placebo (60-85 years)/three dose regimen,0,0,0,1,0,1
high-dose placebo (60-85 years)/two dose regimen,0,0,0,1,0,1
high-dose recombinant covid-19 vaccine (sf9 cells) (18-59 years),0,0,0,1,0,1
high-dose recombinant covid-19 vaccine (sf9 cells) (18-59 years)/three dose regimen,0,0,0,1,0,1
high-dose recombinant covid-19 vaccine (sf9 cells) (18-59 years)/two dose regimen,0,0,0,1,0,1
high-dose recombinant covid-19 vaccine (sf9 cells) (60-85 years),0,0,0,1,0,1
high-dose recombinant covid-19 vaccine (sf9 cells) (60-85 years)/three dose regimen,0,0,0,1,0,1
high-dose recombinant covid-19 vaccine (sf9 cells) (60-85 years)/two dose regimen,0,0,0,1,0,1
high dose radiation 100 cgy,0,0,0,1,0,1
high flow nasal cannula (hfnc),0,0,0,1,0,1
high intensity interval training,1,0,0,0,0,1
high peep with end inspiratory pause,0,0,0,1,0,1
high peep without end inspiratory pause,0,0,0,1,0,1
holter monitor,0,1,0,0,0,1
home-cov rule implementation,0,1,0,0,0,1
home-use test,0,0,0,1,0,1
home care monitoring,0,0,0,0,1,1
home exercise,0,0,0,1,0,1
home pulse oximetry monitoring,0,1,0,0,0,1
home sample collection of concerning mole with physician supervision,1,0,0,0,0,1
home sleep apnea testing,1,0,0,0,0,1
home sleep apnea testing/in-hospital polysomnography,1,0,0,0,0,1
home spirometry,0,0,0,1,0,1
hope intervention,1,0,0,0,0,1
hospital acquired infection,0,0,0,1,0,1
hospital admission,0,0,0,1,0,1
hospital anxiety,0,0,0,1,0,1
hospital anxiety/depression scale,0,0,0,1,0,1
"hospitalisation, necessity of icu, mortality rate, lung involvement",0,0,0,1,0,1
hospitalized children with covid19,0,0,0,1,0,1
hospitalized patients for covid-19 infection,0,0,0,1,0,1
human milk donors,0,0,0,1,0,1
human recombinant interleukin 2,0,0,0,1,0,1
hydrocortisone,1,0,0,0,0,1
hydrogen oxygen generator with nebulizer,0,1,0,0,0,1
hydroxychloroquine / metabolic cofactor supplementation,0,0,0,1,0,1
hydroxychloroquine / oxygen,0,1,0,0,0,1
hydroxychloroquine / sorbitol,0,0,0,1,0,1
hydroxychloroquine/azithromycin/ tocilizumab,1,0,0,0,0,1
hydroxychloroquine/clindamycin,0,1,0,0,0,1
hydroxychloroquine/clindamycin/primaquine,0,1,0,0,0,1
hydroxychloroquine/doxycycline,0,1,0,0,0,1
hydroxychloroquine/lopinavir/ritonavir,0,0,0,1,0,1
hydroxychloroquine/placebo,0,0,0,0,1,1
hydroxyvitamin,0,0,0,1,0,1
hyperimmune immunoglobulin to sars-cov-2 (hivig),0,0,0,1,0,1
hypertension,1,0,0,0,0,1
hypothermia via cooling machine- arctic sun 5000,0,0,0,1,0,1
icatibant,0,0,0,1,0,1
icosapent ethyl,0,0,0,1,0,1
icosapent ethyl (ipe),0,0,0,1,0,1
icu recovery,0,0,0,1,0,1
icu recovery / physical therapy,0,0,0,1,0,1
id now vs. accula,0,0,0,1,0,1
ier-r (posttraumatic stress),0,0,0,1,0,1
ifx-1,0,0,0,1,0,1
igg antibodies assay,0,0,0,1,0,1
igg sars cov 2 antibodies,1,0,0,0,0,1
igg sars cov2,1,0,0,0,0,1
"igg, aaz, boulogne-billancourt, france)",0,0,0,1,0,1
igiv,0,0,0,1,0,1
igm test,0,0,1,0,0,1
igm/igg antibodies assay,0,0,0,1,0,1
iibr-100 high-dose (prime),0,0,0,1,0,1
iibr-100 low-dose (prime-boost),0,0,0,1,0,1
iibr-100 medium dose (prime),0,0,0,1,0,1
"iibr-100, low dose (prime)",0,0,0,1,0,1
imaging,0,0,0,1,0,1
imaging by thoracic scanner,1,0,0,0,0,1
imaging characteristics of pneumonia,0,0,0,1,0,1
"imaging, blood tests",0,1,0,0,0,1
imm-101,0,0,0,1,0,1
immediate vs. delayed provision of antibody test results,1,0,0,0,0,1
immune globulin,0,0,0,1,0,1
immune plasma,0,0,0,1,0,1
immunfluorescence,0,0,0,1,0,1
immunofree tablets,0,0,0,1,0,1
immunofree tablets/reginmune capsule,0,0,0,1,0,1
immunoglubulins,0,0,0,1,0,1
immunological,0,0,0,1,0,1
immunosuppressive,0,0,0,1,0,1
immunosuppressive agents,0,0,0,1,0,1
impact event score,0,0,0,1,0,1
impact of event scale-revised,0,0,0,1,0,1
impulseâ„¢ una e-stethoscope,0,0,0,1,0,1
in-hospital mortality rate,0,1,0,0,0,1
inactivated sars cov 2 vaccine (vero cell). wuhan,0,0,0,1,0,1
inactivated vaccine,0,0,0,1,0,1
inb03,0,0,0,1,0,1
indian costus,0,0,0,1,0,1
indirect calorimetry,0,0,0,1,0,1
individualized-chinese herbal medicine,0,0,0,1,0,1
indomethacin,0,0,0,1,0,1
infectious disease,0,0,0,1,0,1
infectious disease/cardiology clinical consultations,0,0,0,1,0,1
inflammatory cytokines,0,0,0,1,0,1
inflammatory cytokines/chemokines profiles of patients with dexmedetomidine administration,0,0,0,1,0,1
informational videos,0,0,0,1,0,1
informational videos/social media campaigns encouraging cancer screening.,0,0,0,1,0,1
informed consent,0,0,0,1,0,1
injection,0,0,0,1,0,1
inm005,1,0,0,0,0,1
innova lateral flow device,0,0,0,1,0,1
inopulse,0,0,0,1,0,1
