nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,nct_id,name,downcase_name
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-11,NA,NA,2021-03-17,2021-03-11,2021-03-12,Actual,NA,NA,NA,NA,NA,NA,2021-03-17,2021-03-19,Actual,"January 14, 2021",Actual,2021-01-14,March 2021,2021-03-31,"January 31, 2023",Anticipated,2023-01-31,"April 30, 2022",Anticipated,2022-04-30,NA,Observational,NA,,Safety and Immunogenicity of an Inactivated Vaccine Against COVID-19 in Medical Workers,Safety and Immunogenicity of an Inactivated Vaccine Against COVID-19 in Medical Workers,Recruiting,NA,NA,1370,Anticipated,Ruijin Hospital,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Blood sample, including plasma, serum and blood cell
    ",NA,NA,NA,Undecided,NA,2021-09-26T01:10:44Z,2021-09-26T01:10:44Z,15269998,NCT04795414,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-10,NA,NA,2021-06-05,2021-03-10,2021-03-12,Actual,NA,NA,NA,NA,NA,NA,2021-06-05,2021-06-09,Actual,"February 4, 2021",Actual,2021-02-04,June 2021,2021-06-30,"March 31, 2021",Actual,2021-03-31,"March 31, 2021",Actual,2021-03-31,NA,Interventional,NA,,The Application of a Mask in Patients With Severe Covid-19 Already Treated With High-flow Nasal Cannula.,The Application of a Mask in Patients With Severe Covid-19 Already Treated With High-flow Nasal Cannula.,Completed,NA,N/A,18,Actual,Region Skane,,1,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-09-26T01:10:53Z,2021-09-26T01:10:53Z,15270111,NCT04794400,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-09,NA,NA,2021-08-28,2021-03-10,2021-03-12,Actual,NA,NA,NA,NA,NA,NA,2021-08-28,2021-09-02,Actual,"August 27, 2021",Actual,2021-08-27,August 2021,2021-08-31,"February 23, 2031",Anticipated,2031-02-23,"February 23, 2031",Anticipated,2031-02-23,10 Years,Observational [Patient Registry],NA,,The Lymphoma and Leukemia Society Amended COVID-19 Registry,The Lymphoma and Leukemia Society Amended COVID-19 Registry,Recruiting,NA,NA,1000,Anticipated,Lymphoma and Leukemia Society,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,,data will become available after it is de-identified and entered into a secure database. This data will be collected and made available over 10 years.,NA,NA,Yes,ONLY De-identified data will be made available to researchers approved by The Lymphoma and Leukemia Society.,2021-09-26T01:10:53Z,2021-09-26T01:10:53Z,15270112,NCT04794387,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-09,NA,NA,2021-03-11,2021-03-10,2021-03-12,Actual,NA,NA,NA,NA,NA,NA,2021-03-11,2021-03-15,Actual,"November 16, 2020",Actual,2020-11-16,March 2021,2021-03-31,"January 16, 2022",Anticipated,2022-01-16,"January 16, 2022",Anticipated,2022-01-16,NA,Interventional,NA,,Effects of Telerehabilitation After Discharge in COVID-19 Survivors,"Effects of Telerehabilitation After Discharge on Quality of Life, Psychosocial Status, Physical Activity, Daily Activities of Living, and Sleep Quality in Patients Treated as Inpatients With the Diagnosis of COVID-19",Recruiting,NA,N/A,30,Anticipated,Hacettepe University,,1,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-09-26T01:10:53Z,2021-09-26T01:10:53Z,15270113,NCT04794374,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-10,NA,NA,2021-03-10,2021-03-10,2021-03-12,Actual,NA,NA,NA,NA,NA,NA,2021-03-10,2021-03-12,Actual,"March 5, 2020",Actual,2020-03-05,March 2021,2021-03-31,"May 5, 2020",Actual,2020-05-05,"May 5, 2020",Actual,2020-05-05,NA,Observational,COVID-19 ULD,,Management of Patients Suspected of COVID 19 With Ultra Low Dose Thoracic Scanner,Management of Patients Suspected of COVID 19 With Ultra Low Dose Thoracic Scanner,Completed,NA,NA,400,Actual,Centre Hospitalier Universitaire de NÄ«mes,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      pcr Covid-19 and viral load, inflammation marker (CRP)
    ",NA,NA,NA,NA,NA,2021-09-26T01:10:53Z,2021-09-26T01:10:53Z,15270114,NCT04794361,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-03,NA,NA,2021-03-09,2021-03-09,2021-03-11,Actual,NA,NA,NA,NA,NA,NA,2021-03-09,2021-03-11,Actual,"August 17, 2020",Actual,2020-08-17,March 2021,2021-03-31,"October 24, 2020",Actual,2020-10-24,"October 10, 2020",Actual,2020-10-10,NA,Interventional,NA,,Vitamin D3 Levels in COVID-19 Outpatients From Western Mexico,Vitamin D3 Levels in COVID-19 Outpatients From Western Mexico: Clinical Correlation and Effect of Its Supplementation,Completed,NA,N/A,42,Actual,University of Guadalajara,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T01:11:04Z,2021-09-26T01:11:04Z,15270266,NCT04793243,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-02-22,NA,NA,2021-07-26,2021-03-09,2021-03-10,Actual,NA,NA,NA,NA,NA,NA,2021-07-26,2021-07-30,Actual,"March 15, 2021",Actual,2021-03-15,March 2021,2021-03-31,"April 30, 2022",Anticipated,2022-04-30,"October 30, 2021",Anticipated,2021-10-30,NA,Interventional,COVITAR,,Study of GRAd-COV2 for the Prevention of COVID-19 in Adults,"A Phase II/III, Randomized, Stratified, Observer-Blind, Placebo-Controlled Study to Evaluate the Efficacy, Safety, and Immunogenicity of GRAd-COV2 Vaccine in Adults Aged 18 Years and Older","Active, not recruiting",NA,Phase 2/Phase 3,10300,Anticipated,ReiThera Srl,,3,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T01:11:22Z,2021-09-26T01:11:22Z,15270518,NCT04791423,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-02-26,NA,NA,2021-03-23,2021-03-10,2021-03-11,Actual,NA,NA,NA,NA,NA,NA,2021-03-23,2021-03-24,Actual,"March 14, 2021",Actual,2021-03-14,March 2021,2021-03-31,February 2022,Anticipated,2022-02-28,December 2021,Anticipated,2021-12-31,NA,Interventional,INVENT COVID,,Intravenous Imatinib in Mechanically Ventilated COVID-19 Patients,"A Randomised, Double-blind, Placebo-controlled Study to Investigate the Safety and Efficacy of Intravenous Imatinib Mesylate (ImpentriÂ®) in Subjects With Acute Respiratory Distress Syndrome Induced by COVID-19",Recruiting,NA,Phase 2,90,Anticipated,VU University Medical Center,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,Undecided,NA,2021-09-26T01:10:56Z,2021-09-26T01:10:56Z,15270162,NCT04794088,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-02-15,NA,NA,2021-03-10,2021-03-10,2021-03-11,Actual,NA,NA,NA,NA,NA,NA,2021-03-10,2021-03-11,Actual,"September 16, 2020",Actual,2020-09-16,March 2021,2021-03-31,"December 31, 2021",Anticipated,2021-12-31,"March 31, 2021",Anticipated,2021-03-31,NA,Observational,NA,,Myocardial Injury and Quality of Life After COVID-19,Myocardial Injury and Quality of Life in Patients Recovered From the Pneumonia Associated With the Novel Coronavirus Infectious Disease COVID-19,Recruiting,NA,NA,100,Anticipated,Voronezh Regional Clinical Consultative and Diagnostic Center,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T01:10:56Z,2021-09-26T01:10:56Z,15270166,NCT04794062,COVID-19,covid-19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-01,NA,NA,2021-04-09,2021-03-10,2021-03-11,Actual,NA,NA,NA,NA,NA,NA,2021-04-09,2021-04-12,Actual,"April 5, 2021",Actual,2021-04-05,April 2021,2021-04-30,"September 30, 2021",Anticipated,2021-09-30,"June 30, 2021",Anticipated,2021-06-30,NA,Interventional,NA,,Efficacy of an Asynchronous Telerehabilitation Programme in Post-COVID-19 Patient,Efficacy of an Asynchronous Telerehabilitation Programme in Post-COVID-19 Patients: a Feasibility Study,Recruiting,NA,N/A,32,Anticipated,Universidad San Jorge,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T01:10:57Z,2021-09-26T01:10:57Z,15270170,NCT04794036,Coronavirus,coronavirus
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-09,NA,NA,2021-03-10,2021-03-10,2021-03-11,Actual,NA,NA,NA,NA,NA,NA,2021-03-10,2021-03-11,Actual,"March 8, 2021",Actual,2021-03-08,March 2021,2021-03-31,"October 30, 2021",Anticipated,2021-10-30,"June 30, 2021",Anticipated,2021-06-30,NA,Interventional,NA,,Efficacy and Safety Evaluation of Inhaleen Inhalation in Hospitalized COVID-19 Patients,Efficacy and Safety Evaluation of Inhaleen Inhalation in Hospitalized COVID-19 Patients,Recruiting,NA,N/A,228,Anticipated,Marinomed Biotech AG,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-09-26T01:10:57Z,2021-09-26T01:10:57Z,15270178,NCT04793984,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-07,NA,NA,2021-03-09,2021-03-09,2021-03-10,Actual,NA,NA,NA,NA,NA,NA,2021-03-09,2021-03-10,Actual,"March 9, 2021",Actual,2021-03-09,March 2021,2021-03-31,November 2021,Anticipated,2021-11-30,June 2021,Anticipated,2021-06-30,NA,Interventional,NA,,Effect of N-acetylcysteine on Oxidative Stress in COVID-19 Patients,Effect of N-acetylcysteine on Oxidative Stress And Occurrence of Complications in Patients With COVID 19 Infections,Recruiting,NA,Phase 3,60,Anticipated,Ain Shams University,,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,Undecided,NA,2021-09-26T01:11:15Z,2021-09-26T01:11:15Z,15270433,NCT04792021,Severe Acute Respiratory Syndrome Coronavirus 2(SARS-CoV2),severe acute respiratory syndrome coronavirus 2(sars-cov2)
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-04,NA,NA,2021-05-10,2021-03-08,2021-03-09,Actual,NA,NA,NA,NA,NA,NA,2021-05-10,2021-05-11,Actual,"May 10, 2021",Anticipated,2021-05-10,March 2021,2021-03-31,"June 1, 2021",Anticipated,2021-06-01,"June 1, 2021",Anticipated,2021-06-01,NA,Interventional,NA,,Effects of Using Mask During the 6-minute Walking Test in Times of COVID-19,"Effects of Using the Surgical Mask and FFp2 in the Distance Walked, Heart Rate, Oxygenometry, and Tone of the Accessory Inspiratory Muscles During the 6-minute Walking Test",Recruiting,NA,N/A,50,Anticipated,Universitat Internacional de Catalunya,,3,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-09-26T01:11:47Z,2021-09-26T01:11:47Z,15270813,NCT04789603,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-08,NA,NA,2021-03-09,2021-03-09,2021-03-10,Actual,NA,NA,NA,NA,NA,NA,2021-03-09,2021-03-10,Actual,"February 8, 2021",Actual,2021-02-08,March 2021,2021-03-31,"May 8, 2021",Anticipated,2021-05-08,"May 8, 2021",Anticipated,2021-05-08,NA,Observational,NA,,Investigation of Stress Levels and Lifestyle of a Sample of Greek General Surgeons in Covid-19,Investigation of Stress Levels and Lifestyle of a Sample of Greek General Surgeons in Covid-19 and Non-reference Hospitals,Recruiting,NA,NA,200,Anticipated,National and Kapodistrian University of Athens,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-09-26T01:11:27Z,2021-09-26T01:11:27Z,15270584,NCT04791085,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-02-10,NA,NA,2021-03-09,2021-03-09,2021-03-10,Actual,NA,NA,NA,NA,NA,NA,2021-03-09,2021-03-10,Actual,"July 24, 2020",Actual,2020-07-24,February 2021,2021-02-28,"April 16, 2021",Anticipated,2021-04-16,"October 16, 2020",Actual,2020-10-16,NA,Observational,NA,,COVID-19 Prevalence in UNIVI Geriatric Institutions: Epidemiological Study of Immunological Status With Rapid Serological Tests,COVID-19 Prevalence in UNIVI Group Nursing Homes and Geriatric Healthcare Institutions: Epidemiological Study of Immunological Status With Rapid Serological Tests for Diagnostic Guidance,"Active, not recruiting",NA,NA,1145,Actual,Centre MÃ©dical Porte Verte,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T01:11:28Z,2021-09-26T01:11:28Z,15270598,NCT04790994,COVID-19,covid-19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-08,NA,NA,2021-09-06,2021-03-08,2021-03-10,Actual,NA,NA,NA,NA,NA,NA,2021-09-06,2021-09-13,Actual,"February 23, 2021",Actual,2021-02-23,September 2021,2021-09-30,"September 5, 2021",Actual,2021-09-05,"September 5, 2021",Actual,2021-09-05,NA,Interventional,NA,,Evaluation of Immunogenicity and Safety of Combined Immunization of COVIV and PPV23 / IIV4,"A Randomized, Controlled, Multicenter Phase 4 Clinic Trial to Evaluate the Immunogenicity and Safety of Combined Immunization of Inactivated SARS-CoV-2 Vaccines (Vero Cell) (COVIV) and 23-valent Pneumococcal Polysaccharide Vaccine (PPV23) or Quadrivalent Inactivated Influenza Vaccine (IIV4)",Completed,NA,Phase 4,1133,Actual,China National Biotec Group Company Limited,,3,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T01:11:31Z,2021-09-26T01:11:31Z,15270616,NCT04790851,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-02-26,NA,NA,2021-07-13,2021-03-08,2021-03-10,Actual,NA,NA,NA,NA,NA,NA,2021-07-13,2021-07-20,Actual,"March 10, 2021",Actual,2021-03-10,July 2021,2021-07-31,December 2022,Anticipated,2022-12-31,February 2022,Anticipated,2022-02-28,NA,Interventional,OPTIMISE-C19,,"UPMC OPTIMISE-C19 Trial, a COVID-19 Study",The UPMC OPtimizing Treatment and Impact of Monocolonal antIbodieS Through Evaluation for COVID-19 Trial,Recruiting,NA,Phase 3,5000,Anticipated,University of Pittsburgh,,4,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,,Relevant data may be available 1 year following publication,Data access is subject to a methodologically sound proposal and the necessary data sharing agreements.,NA,Yes,"De-identified participant-level data underlying the results reported in journal articles, subject to appropriate security controls, may be available for sharing with other researchers.",2021-09-26T01:11:32Z,2021-09-26T01:11:32Z,15270624,NCT04790786,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-02-23,NA,NA,2021-05-23,2021-03-09,2021-03-10,Actual,NA,NA,NA,NA,NA,NA,2021-05-23,2021-05-26,Actual,"February 1, 2021",Actual,2021-02-01,May 2021,2021-05-31,March 2023,Anticipated,2023-03-31,December 2022,Anticipated,2022-12-31,NA,Interventional,COVID,,Medical Herbs Inhibit Inflammation Directing T Cells to Kill the COVID-19 Virus (COVID),The Trial Uses Medicinal Herbs to Direct T Cells to Engulf the COVID-19 Virus and Protect the Organs Well,Recruiting,NA,Phase 1/Phase 2,120,Anticipated,"All Natural Medicine Clinic, LLC",,3,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,,"The clinical study may start on February 1, 2021; the ending of the say maybe is December 31, 2022. The IPD sharing will begin after the publication in six months.","Viruses, including COVID-19, are highly likely to mutate. This capacity makes it particularly challenging to kill the virus with drugs. This clinical study designed two groups, both of they used the same drugs, but the treatment group pluses medical herbs, then both groups parallelly receive the treatment, then compare participants symptoms, blood test of immunity, the lungs imagine, and COVID-19 virus index, the difference in both group, analysis the symptoms and the mechanism.",NA,Yes,"When we finish the project of the clinical study, we will share the individual participant's data (IPD) (but is not personal private to share) when the results in the publication",2021-09-26T01:11:39Z,2021-09-26T01:11:39Z,15270697,NCT04790240,Covid19 Virus Infection,covid19 virus infection
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-04,NA,NA,2021-05-19,2021-03-08,2021-03-09,Actual,NA,NA,NA,NA,NA,NA,2021-05-19,2021-05-24,Actual,"March 5, 2021",Actual,2021-03-05,May 2021,2021-05-31,"March 28, 2021",Actual,2021-03-28,"March 28, 2021",Actual,2021-03-28,NA,Observational,NA,,Relationship Between Potential Predictors and Mortality in COVID-19 Patients Ä±n Turkey,Relationship Between Potential Predictors and Mortality in COVID-19 Patients in Turkey: A New Prognostic Model,Completed,NA,NA,816,Actual,"Sultan Abdulhamid Han Training and Research Hospital, Istanbul, Turkey",,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2021-09-26T01:11:48Z,2021-09-26T01:11:48Z,15270839,NCT04789460,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-04,NA,NA,2021-06-04,2021-03-08,2021-03-09,Actual,NA,NA,NA,NA,NA,NA,2021-06-04,2021-06-09,Actual,"March 4, 2021",Actual,2021-03-04,June 2021,2021-06-30,"May 6, 2021",Actual,2021-05-06,"May 6, 2021",Actual,2021-05-06,NA,Observational,NA,,Initial CT Findings and CO-RADS Stage in COVID-19,"Comparison of Initial CT Findings and CO-RADS Stage in COVID-19 Patients With PCR, Inflammation and Coagulation Parameters in Diagnostic and Prognostic Perspectives",Completed,NA,NA,895,Actual,"Sultan Abdulhamid Han Training and Research Hospital, Istanbul, Turkey",,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2021-09-26T01:11:49Z,2021-09-26T01:11:49Z,15270841,NCT04789447,SARS-CoV Infection,sars-cov infection
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-08,NA,NA,2021-03-08,2021-03-08,2021-03-09,Actual,NA,NA,NA,NA,NA,NA,2021-03-08,2021-03-09,Actual,"September 2, 2020",Actual,2020-09-02,March 2021,2021-03-31,"December 20, 2021",Anticipated,2021-12-20,"September 20, 2021",Anticipated,2021-09-20,NA,Observational,NA,,Evaluation of Post-covid 19 Patients Who Receive Ozonetheraphy With Thorax CT,Clinical Determination of Patients Who Intersive Care Unit and Clinical Ttreatments Have Finished Receive Ozonetheraphy With Thorax Tomography Regarding to Interstisial Fibrosis,Recruiting,NA,NA,25,Anticipated,Gaziosmanpasa Research and Education Hospital,,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T01:11:49Z,2021-09-26T01:11:49Z,15270848,NCT04789395,Ozone Therapy for Covid 19 Pneumonia Patients,ozone therapy for covid 19 pneumonia patients
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-05,NA,NA,2021-07-22,2021-03-08,2021-03-09,Actual,NA,NA,NA,NA,NA,NA,2021-07-22,2021-07-26,Actual,"March 18, 2021",Actual,2021-03-18,July 2021,2021-07-31,March 2022,Anticipated,2022-03-31,"July 5, 2021",Actual,2021-07-05,NA,Interventional,COVACMANAUS,,Effectiveness of the Adsorbed Vaccine COVID-19 (Coronavac) Among Education and Public Safety Workers With Risk Factors for Severity,"Phase IV Study to Evaluate the Effectiveness of the Inactivated Adsorbed Vaccine Against COVID-19 CoronaVac, Among Public Safety and Education Workers With Risk Factors for Severity, in Manaus (Amazonas)","Active, not recruiting",NA,Phase 4,6233,Actual,FundaÃ§Ã£o de Medicina Tropical Dr. Heitor Vieira Dourado,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,Undecided,NA,2021-09-26T01:11:49Z,2021-09-26T01:11:49Z,15270851,NCT04789356,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-06,NA,NA,2021-03-29,2021-03-08,2021-03-09,Actual,NA,NA,NA,NA,NA,NA,2021-03-29,2021-04-01,Actual,"March 1, 2021",Actual,2021-03-01,March 2021,2021-03-31,"March 29, 2021",Actual,2021-03-29,"March 26, 2021",Actual,2021-03-26,NA,Observational,NA,,Respiratory Muscle Strength in Volleyball Players Suffered From COVID-19,Evaluation of Respiratory Muscle Strength and Pulmonary Functions in Volleyball Players Suffering From Covid-19,Completed,NA,NA,42,Actual,Gazi University,,NA,2,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Yes,NA,2021-09-26T01:11:48Z,2021-09-26T01:11:48Z,15270821,NCT04789512,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-01,NA,NA,2021-03-15,2021-03-05,2021-03-09,Actual,NA,NA,NA,NA,NA,NA,2021-03-15,2021-03-16,Actual,"February 25, 2021",Actual,2021-02-25,March 2021,2021-03-31,June 2022,Anticipated,2022-06-30,September 2021,Anticipated,2021-09-30,NA,Interventional,NA,,"Safety and Immunogenicity of COVID-eVax, a Candidate Plasmid DNA Vaccine for COVID-19, in Healthy Adult Volunteers","A Phase I/II Study to Assess the Safety and Immunogenicity of COVID-eVax, a Candidate Plasmid DNA Vaccine for COVID-19, in Healthy Adult Volunteers",Recruiting,NA,Phase 1/Phase 2,160,Anticipated,Takis,,4,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T01:11:59Z,2021-09-26T01:11:59Z,15270972,NCT04788459,COVID-19 Immunisation,covid-19 immunisation
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-08,NA,NA,2021-07-06,2021-03-08,2021-03-09,Actual,NA,NA,NA,NA,NA,NA,2021-07-06,2021-07-07,Actual,"March 15, 2021",Actual,2021-03-15,July 2021,2021-07-31,December 2021,Anticipated,2021-12-31,"August 31, 2021",Anticipated,2021-08-31,NA,Interventional,SCENT2,,Smell in Covid-19 and Efficacy of Nasal Theophylline,Smell in Covid-19 and Efficacy of Nasal Theophylline,Recruiting,NA,Phase 2,50,Anticipated,Washington University School of Medicine,,2,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,TRUE,NA,,NA,NA,NA,NA,NA,2021-09-26T01:11:48Z,2021-09-26T01:11:48Z,15270826,NCT04789499,SARS-CoV-2 Infection,sars-cov-2 infection
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-07,NA,NA,2021-03-07,2021-03-07,2021-03-09,Actual,NA,NA,NA,NA,NA,NA,2021-03-07,2021-03-09,Actual,"March 4, 2021",Actual,2021-03-04,March 2021,2021-03-31,"March 31, 2022",Anticipated,2022-03-31,"March 31, 2022",Anticipated,2022-03-31,NA,Observational,ROCCO,,Registry of Coronavirus Complications - CORRELATION WITH GLYCOMIC PROFILE,ROCCO - Registry of Coronavirus Complications. Prospective Observational Study on Coronavirus Complications and Correlation With Glycomic Profile,Recruiting,NA,NA,615,Anticipated,Papa Giovanni XXIII Hospital,,NA,5,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"
      plasma samples
    ",NA,NA,NA,No,NA,2021-09-26T01:11:59Z,2021-09-26T01:11:59Z,15270976,NCT04788433,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-07,NA,NA,2021-07-01,2021-03-08,2021-03-09,Actual,NA,NA,NA,NA,NA,NA,2021-07-01,2021-07-02,Actual,"December 1, 2020",Actual,2020-12-01,July 2021,2021-07-31,"April 30, 2022",Anticipated,2022-04-30,"April 30, 2022",Anticipated,2022-04-30,NA,Interventional,PENTZ,,Efficacy and Safety of Nitazoxanide for Post Exposure Prophylaxis of COVID-19 in Household Contacts,Pilot Study of Safety and Efficacy of Nitazoxanide in Post-exposure Prophylaxis in Household Contacts of Patients With Confirmed SARS-CoV-2 Infection,Recruiting,NA,Phase 4,456,Anticipated,FundaciÃ³n HuÃ©sped,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,https://www.huesped.org.ar/que-hacemos/ciencia/investigaciones-biomedicas/,Yes,to publish study results,2021-09-26T01:11:59Z,2021-09-26T01:11:59Z,15270981,NCT04788407,SARS-CoV-2 Infection,sars-cov-2 infection
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-07,NA,NA,2021-03-14,2021-03-07,2021-03-09,Actual,NA,NA,NA,NA,NA,NA,2021-03-14,2021-03-16,Actual,"March 1, 2021",Actual,2021-03-01,March 2021,2021-03-31,"December 31, 2021",Anticipated,2021-12-31,"December 31, 2021",Anticipated,2021-12-31,NA,Observational,RIHCC,,Renal Involvement in Hospitalized Children With COVID-19,Renal Involvement in Hospitalized Children With COVID-19,Recruiting,NA,NA,500,Anticipated,Hamad Medical Corporation,,NA,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-09-26T01:11:59Z,2021-09-26T01:11:59Z,15270984,NCT04788394,Covid19,covid19
"ClinicalTrials.gov processed this data on September 24, 2021",2021-03-04,NA,NA,2021-03-05,2021-03-05,2021-03-08,Actual,NA,NA,NA,NA,NA,NA,2021-03-05,2021-03-08,Actual,"February 14, 2021",Actual,2021-02-14,March 2021,2021-03-31,"February 1, 2022",Anticipated,2022-02-01,"December 1, 2021",Anticipated,2021-12-01,NA,Observational,NA,,COVID-19 Infection and Epithelial Cell Markers,COVID-19 Infection and Epithelial Cell Markers,Recruiting,NA,NA,235,Anticipated,McMaster University,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Blood TSLP levels will be measured and SNP genotyping for alarmins will be performed from
      Cohort 1 patients
    ",NA,NA,NA,NA,NA,2021-09-26T01:12:08Z,2021-09-26T01:12:08Z,15271125,NCT04787588,Covid19,covid19
