nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,nct_id,mesh_term,downcase_mesh_term,mesh_type
NA,2021-01-22,NA,NA,2021-09-03,2021-01-22,2021-01-25,Actual,NA,NA,NA,NA,NA,NA,2021-09-03,2021-09-05,Actual,"February 22, 2021",Actual,2021-02-22,September 2021,2021-09-30,"August 23, 2021",Actual,2021-08-23,"August 23, 2021",Actual,2021-08-23,NA,Interventional,INHALE-HEP,NA,Nebulized Heparin for the Treatment of COVID-19,INHALEd Unfractionated HEParin for the Treatment of Hospitalized Patients With COVID-19 Pneumonia,Completed,NA,Phase 4,50,Actual,Frederick Health,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,NA,Undecided,NA,2021-10-12T06:31:58Z,2021-10-12T06:31:58Z,1011680,NCT04723563,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-25,NA,NA,2021-07-05,2021-01-26,2021-01-27,Actual,NA,NA,NA,NA,NA,NA,2021-07-05,2021-07-08,Actual,"January 19, 2021",Actual,2021-01-19,July 2021,2021-07-31,"March 1, 2022",Anticipated,2022-03-01,"February 1, 2022",Anticipated,2022-02-01,NA,Interventional,NA,NA,Repurposed Approved and Under Development Therapies for Patients With Early-Onset COVID-19 and Mild Symptoms,"A Multicenter, Prospective, Adaptive, Double-blind, Randomized, Placebo-controlled Study to Evaluate the Effect of Fluvoxamine, Ivermectin, Doxasozin and Interferon Lambda 1A in Mild COVID-19 and High Risk of Complications",Recruiting,NA,Phase 3,3645,Anticipated,Cardresearch,NA,6,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,As of protocol termination,Upon request,NA,Yes,Patient tables and main data.,2021-10-12T06:31:30Z,2021-10-12T06:31:30Z,1009707,NCT04727424,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-10-21,NA,NA,2021-01-24,2021-01-24,2021-01-26,Actual,NA,NA,NA,NA,NA,NA,2021-01-24,2021-01-26,Actual,"February 1, 2021",Anticipated,2021-02-01,January 2021,2021-01-31,"December 31, 2021",Anticipated,2021-12-31,"December 31, 2021",Anticipated,2021-12-31,NA,Interventional,WARD COVID-19,NA,Continuous Wireless Monitoring of Vital Signs and Automated Alerts of Patient Deterioration in Patients Admitted With COVID-19 Infection,Continuous Wireless Monitoring of Vital Signs and Automated Alerts of Patient Deterioration in Patients Admitted With COVID-19 Infection,Recruiting,NA,Not Applicable,800,Anticipated,University Hospital Bispebjerg and Frederiksberg,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T06:31:50Z,2021-10-12T06:31:50Z,1011084,NCT04724681,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-27,2021-06-15,NA,2021-06-22,2021-01-27,2021-01-28,Actual,2021-06-15,2021-06-23,Actual,NA,NA,NA,2021-06-22,2021-06-24,Actual,"February 1, 2021",Actual,2021-02-01,June 2021,2021-06-30,"April 15, 2021",Actual,2021-04-15,"April 15, 2021",Actual,2021-04-15,NA,Interventional,NA,NA,Proxalutamide Treatment for Hospitalized COVID-19 Patients,Proxalutamide Treatment for Hospitalized COVID-19 Patients,Completed,NA,Phase 3,645,Actual,"Applied Biology, Inc.",NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Available upon request after peer review and publication.,Available upon request at data@appliedbiology.com,NA,Yes,"Yes, study data sets will be made available upon request after peer review and publication.",2021-10-12T06:31:18Z,2021-10-12T06:31:18Z,1009012,NCT04728802,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-21,NA,NA,2021-08-27,2021-01-25,2021-01-26,Actual,NA,NA,NA,NA,NA,NA,2021-08-27,2021-08-30,Actual,"July 1, 2020",Actual,2020-07-01,August 2021,2021-08-31,"December 15, 2020",Actual,2020-12-15,"December 15, 2020",Actual,2020-12-15,NA,Observational,SONIC-19,NA,Comparison of Non-invasive Oxygenation Strategies in Patients Admitted for Covid-19 Acute Respiratory Distress Syndrome,Comparison of Non-invasive Oxygenation Strategies in ICU Patients Admitted for Covid-19 Acute Respiratory Distress Syndrome,Completed,NA,NA,300,Actual,Centre Hospitalier Intercommunal de Toulon La Seyne sur Mer,NA,NA,3,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:31:47Z,2021-10-12T06:31:47Z,1010811,NCT04725084,Coronavirus Infections,coronavirus infections,mesh-list
NA,2020-10-05,NA,NA,2021-01-23,2021-01-23,2021-01-26,Actual,NA,NA,NA,NA,NA,NA,2021-01-23,2021-01-26,Actual,"January 5, 2021",Actual,2021-01-05,January 2021,2021-01-31,"July 30, 2021",Anticipated,2021-07-30,"March 31, 2021",Anticipated,2021-03-31,NA,Interventional,STRUCK,NA,Survival TRial Using CytoKines in COVID-19 (STRUCK Trial),"Prospective-randomized Adaptive Study, With Active Control to Evaluate the Efficacy and Safety of Interleukin (IL)-17 Inhibitor Treatment Versus Low Doses of IL-2 Versus Indirect IL-6 Inhibitor in Hospitalized Patients With Severe Forms of COVID-19",Recruiting,NA,Phase 3,60,Anticipated,University of Sao Paulo,NA,4,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,2021-10-12T06:31:50Z,2021-10-12T06:31:50Z,1011103,NCT04724629,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-22,NA,NA,2021-02-23,2021-01-26,2021-01-27,Actual,NA,NA,NA,NA,NA,NA,2021-02-23,2021-02-24,Actual,"January 23, 2021",Actual,2021-01-23,February 2021,2021-02-28,"February 23, 2021",Actual,2021-02-23,"February 23, 2021",Actual,2021-02-23,1 Day,Observational [Patient Registry],NA,NA,Social Acceptability of COVID-19 Vaccines in Pakistan,Social Acceptability of COVID-19 Vaccines in Pakistan: Fear and Social Trends,Completed,NA,NA,986,Actual,Islamia University of Bahawalpur,NA,NA,4,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:31:30Z,2021-10-12T06:31:30Z,1009694,NCT04727372,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-13,NA,NA,2021-06-10,2021-01-25,2021-01-26,Actual,NA,NA,NA,NA,NA,NA,2021-06-10,2021-06-15,Actual,"January 19, 2021",Actual,2021-01-19,June 2021,2021-06-30,December 2021,Anticipated,2021-12-31,"May 3, 2021",Actual,2021-05-03,NA,Interventional,NA,NA,Famotidine vs Placebo for the Treatment of Non-Hospitalized Adults With COVID-19,"A Randomized, Double-Blind, Comparative Trial of the Safety and Efficacy of Famotidine vs Placebo for the Treatment of Non-Hospitalized Symptomatic Adults With COVID-19","Active, not recruiting",NA,Phase 2,56,Actual,Northwell Health,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,2021-10-12T06:31:49Z,2021-10-12T06:31:49Z,1010930,NCT04724720,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-12-29,2021-05-02,NA,2021-07-04,2021-01-23,2021-01-26,Actual,2021-07-04,2021-07-07,Actual,NA,NA,NA,2021-07-04,2021-07-07,Actual,"October 15, 2020",Actual,2020-10-15,July 2021,2021-07-31,"March 15, 2021",Actual,2021-03-15,"February 10, 2021",Actual,2021-02-10,NA,Interventional,NA,NA,Inhalation Low Dose Radionuclide Therapy in Treatment COVID-19,Inhalation Low Dose Radionuclide Therapy in Comprehensive Treatment of COVID-19 Viral Pneumonia,Completed,NA,Phase 1/Phase 2,25,Actual,National Medical Research Radiological Centre of the Ministry of Health of Russia,NA,3,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Undecided,NA,2021-10-12T06:31:53Z,2021-10-12T06:31:53Z,1011340,NCT04724538,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-10,NA,NA,2021-01-24,2021-01-24,2021-01-26,Actual,NA,NA,NA,NA,NA,NA,2021-01-24,2021-01-26,Actual,"January 6, 2021",Actual,2021-01-06,January 2021,2021-01-31,June 2021,Anticipated,2021-06-30,June 2021,Anticipated,2021-06-30,NA,Interventional,CARTOON,NA,CARTOON: CoronAviRus (COVID-19) educaTional prOgram fOr childreN,CARTOON: CoronAviRus educaTional prOgram fOr childreN to Promote Knowledge and Hygiene Measures and Dispel Fear During the COVID- 19 Pandemic,Recruiting,NA,Not Applicable,60,Anticipated,Medical University of Vienna,NA,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,2021-10-12T06:31:53Z,2021-10-12T06:31:53Z,1011212,NCT04724616,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-16,NA,NA,2021-01-25,2021-01-25,2021-01-26,Actual,NA,NA,NA,NA,NA,NA,2021-01-25,2021-01-26,Actual,"September 11, 2020",Actual,2020-09-11,January 2021,2021-01-31,December 2022,Anticipated,2022-12-31,December 2021,Anticipated,2021-12-31,12 Months,Observational [Patient Registry],NA,NA,Russian Cardiovascular Registry of COVID-19,An Open Multicenter Observational Study (Registry) of Patients Recovered From Novel Coronavirus Infection (COVID-19) With Involvement of the Cardiovascular System or With Baseline Severe Cardiovascular Diseases,Recruiting,NA,NA,900,Anticipated,"Federal State Budgetary Institution, V. A. Almazov Federal North-West Medical Research Centre, of the Ministry of Health",NA,NA,5,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"Samples for biochemistry, coagulation and genetic tests",NA,NA,NA,NA,NA,2021-10-12T06:31:49Z,2021-10-12T06:31:49Z,1010888,NCT04724707,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-13,NA,NA,2021-07-22,2021-01-23,2021-01-26,Actual,NA,NA,NA,NA,NA,NA,2021-07-22,2021-07-23,Actual,"December 4, 2020",Actual,2020-12-04,July 2021,2021-07-31,July 2026,Anticipated,2026-07-31,"July 17, 2021",Actual,2021-07-17,NA,Observational,FSC19-KN,NA,Follow-up Study of COVID-19 Patients in the District Konstanz,Single Center Prospective Controlled Follow-up Study of COVID-19 Patients in the District Konstanz (FSC19-KN),"Active, not recruiting",NA,NA,526,Actual,Hegau-Bodensee-Klinikum Singen,NA,NA,2,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,Samples With DNA,In the Control group a SARS-CoV-2 antibody test will be performed.,NA,NA,NA,Undecided,NA,2021-10-12T06:31:52Z,2021-10-12T06:31:52Z,1011147,NCT04724434,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-21,NA,NA,2021-03-24,2021-01-21,2021-01-25,Actual,NA,NA,NA,NA,NA,NA,2021-03-24,2021-03-25,Actual,"June 20, 2020",Actual,2020-06-20,March 2021,2021-03-31,"December 31, 2020",Actual,2020-12-31,"October 31, 2020",Actual,2020-10-31,NA,Interventional,NA,NA,COVID-19 Seroconversion Study Among GHdC Staff Members - Summer 2020,SARS-CoV-2 Seroconversion Study Among GHdC Staff Members,Completed,NA,Not Applicable,2817,Actual,Grand HÃ´pital de Charleroi,NA,1,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,"At this moment, there is no plan to share the results",2021-10-12T06:32:00Z,2021-10-12T06:32:00Z,1011828,NCT04723290,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-11-30,NA,NA,2021-05-10,2021-01-24,2021-01-26,Actual,NA,NA,NA,NA,NA,NA,2021-05-10,2021-05-11,Actual,"March 31, 2021",Actual,2021-03-31,May 2021,2021-05-31,March 2023,Anticipated,2023-03-31,March 2023,Anticipated,2023-03-31,NA,Observational,DisCOVID,NA,Disability Following Hospitalization in People of Working-age Surviving SARS-CoV-2 Infection - COVID-19,Prospective Multicenter Cohort Study to Evaluate Disability Following Hospitalization in People of Working-age Surviving COVID-19,Recruiting,NA,NA,800,Anticipated,Assistance Publique - HÃ´pitaux de Paris,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:31:51Z,2021-10-12T06:31:51Z,1011115,NCT04724395,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-19,NA,NA,2021-01-23,2021-01-19,2021-01-22,Actual,NA,NA,NA,NA,NA,NA,2021-01-23,2021-01-26,Actual,"January 3, 2021",Actual,2021-01-03,January 2021,2021-01-31,"June 30, 2021",Anticipated,2021-06-30,"February 28, 2021",Anticipated,2021-02-28,NA,Interventional,NA,NA,The Efficacy of Pre-procedural Mouth Rinses on COVID-19 Saliva Viral Load,The Efficacy of Pre-procedural Mouth Rinses on SARS-CoV-2 Saliva Viral Load: A Randomized Control Clinical Trial,Recruiting,NA,Phase 4,120,Anticipated,King Abdulaziz University,NA,5,NA,NA,FALSE,NA,NA,NA,NA,TRUE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:32:13Z,2021-10-12T06:32:13Z,1012664,NCT04721457,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-14,NA,NA,2021-01-22,2021-01-22,2021-01-25,Actual,NA,NA,NA,NA,NA,NA,2021-01-22,2021-01-25,Actual,"December 3, 2020",Actual,2020-12-03,January 2021,2021-01-31,"November 30, 2023",Anticipated,2023-11-30,February 2022,Anticipated,2022-02-28,NA,Interventional,COVER-HCW,NA,Mental and Physical Well-Being of Frontline Health Care Workers During Coronavirus Disease 2019 (COVID-19),Mental and Physical Well-Being of Frontline Health Care Workers During Coronavirus Disease 2019 (COVID-19),Recruiting,NA,Not Applicable,2132,Anticipated,RAND,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Undecided,NA,2021-10-12T06:31:57Z,2021-10-12T06:31:57Z,1011537,NCT04723576,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-22,NA,NA,2021-10-05,2021-01-22,2021-01-25,Actual,NA,NA,NA,NA,NA,NA,2021-10-05,2021-10-06,Actual,"September 22, 2020",Actual,2020-09-22,October 2021,2021-10-31,"August 23, 2021",Actual,2021-08-23,"August 23, 2021",Actual,2021-08-23,NA,Interventional,RCT,NA,Jinhua Qinggan Granules in the Treatment of COVID-19,"Multi-center, Randomized, Double Blind and Placebo Controlled Clinical Trial on the Effectiveness and Safety of Jinhua Qinggan Granules (JHQG) for the Treatment of COVID 19 Patients",Completed,NA,Phase 2,402,Actual,University of Karachi,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:31:58Z,2021-10-12T06:31:58Z,1011668,NCT04723524,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-11-06,NA,NA,2021-06-08,2021-01-20,2021-01-22,Actual,NA,NA,NA,NA,NA,NA,2021-06-08,2021-06-09,Actual,"January 27, 2021",Actual,2021-01-27,June 2021,2021-06-30,"January 1, 2023",Anticipated,2023-01-01,"August 1, 2022",Anticipated,2022-08-01,NA,Observational,OCTAPUS-AI,NA,Optimising Cancer Therapy And Identifying Causes of Pneumonitis USing Artificial Intelligence (COVID-19),Optimising Cancer Therapy And Identifying Causes of Pneumonitis USing Artificial Intelligence,Recruiting,NA,NA,1500,Anticipated,Royal Marsden NHS Foundation Trust,NA,NA,7,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T06:32:12Z,2021-10-12T06:32:12Z,1012577,NCT04721444,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-20,NA,NA,2021-01-21,2021-01-21,2021-01-22,Actual,NA,NA,NA,NA,NA,NA,2021-01-21,2021-01-22,Actual,"June 15, 2020",Actual,2020-06-15,January 2021,2021-01-31,"December 1, 2020",Actual,2020-12-01,"December 1, 2020",Actual,2020-12-01,NA,Interventional,NA,NA,Lung Ultrasonography in COVID-19 Pneumonia,Comparison of Lung Ultrasonography Findings With Chest Computerized Tomography Results in Corona virÃ¼s (COVID-19) Pneumonia,Completed,NA,Not Applicable,60,Actual,Bursa YÃ¼ksek Ä°htisas Education and Research Hospital,NA,1,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:32:29Z,2021-10-12T06:32:29Z,1013664,NCT04719234,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-21,NA,NA,2021-01-23,2021-01-21,2021-01-25,Actual,NA,NA,NA,NA,NA,NA,2021-01-23,2021-01-26,Actual,"January 5, 2021",Actual,2021-01-05,January 2021,2021-01-31,"January 5, 2022",Anticipated,2022-01-05,"November 5, 2021",Anticipated,2021-11-05,NA,Interventional,NA,NA,COVID-19 Lockdown Related Telemedicine for Type 2 Diabetes,Impact of Telemedicine on Young and Middle-aged Obese Patients With Type 2 Diabetes Mellitus During COVID-19 Pandemic,Recruiting,NA,Not Applicable,120,Anticipated,Xuzhou No.1 Peoples Hospital,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-12T06:31:58Z,2021-10-12T06:31:58Z,1011646,NCT04723550,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-14,NA,NA,2021-09-17,2021-01-22,2021-01-25,Actual,NA,NA,NA,NA,NA,NA,2021-09-17,2021-09-20,Actual,"January 28, 2021",Actual,2021-01-28,September 2021,2021-09-30,"October 21, 2022",Anticipated,2022-10-21,"August 21, 2021",Actual,2021-08-21,NA,Interventional,TACKLE,NA,Phase III Study of AZD7442 for Treatment of COVID-19 in Outpatient Adults,"A Phase III Randomized, Double-blind, Placebo-controlled, Multicenter Study to Determine the Safety and Efficacy of AZD7442 for the Treatment of COVID-19 in Non-hospitalized Adults","Active, not recruiting",NA,Phase 3,910,Actual,AstraZeneca,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,"AstraZeneca will meet or exceed data availability as per the commitments made to the EFPIA Pharma Data Sharing Principles. For details of our timelines, please rerefer to our disclosure commitment at https://astrazenecagrouptrials.pharmacm.com/ST/Submission/Disclosure.","When a request has been approved AstraZeneca will provide access to the de-identified individual patient-level data in an approved sponsored tool. Signed Data Sharing Agreement (non-negotiable contract for data accessors) must be in place before accessing requested information. Additionally, all users will need to accept the terms and conditions of the SAS MSE to gain access. For additional details, please review the Disclosure Statements at https://astrazenecagrouptrials.pharmacm.com/ST/Submission/Disclosure.",https://astrazenecagroup-dt.pharmacm.com/DT/Home,Yes,"Qualified researchers can request access to anonymized individual patient-level data from AstraZeneca group of companies sponsored clinical trials via the request portal. All request will be evaluated as per the AZ disclosure commitment: https://astrazenecagrouptrials.pharmacm.com/ST/Submission/Disclosure.

Yes, indicates that AZ are accepting requests for IPD, but this does not mean all requests will be shared.",2021-10-12T06:32:01Z,2021-10-12T06:32:01Z,1011882,NCT04723394,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-20,NA,NA,2021-03-15,2021-01-22,2021-01-25,Actual,NA,NA,NA,NA,NA,NA,2021-03-15,2021-03-17,Actual,"January 23, 2021",Actual,2021-01-23,March 2021,2021-03-31,"March 28, 2021",Anticipated,2021-03-28,"February 19, 2021",Actual,2021-02-19,NA,Interventional,NA,NA,Efficacy of Nano-Ivermectin Impregnated Masks in Prevention of Covid-19 Among Healthy Contacts and Medical Staff,Nano-Ivermectin Impregnated Masks Versus Ordinary Surgical Masks in Prevention of Covid-19 Among Healthy Contacts and Medical Staff,Recruiting,NA,Not Applicable,150,Anticipated,South Valley University,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,2021-10-12T06:32:00Z,2021-10-12T06:32:00Z,1011783,NCT04723459,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-17,NA,NA,2021-06-30,2021-01-19,2021-01-20,Actual,NA,NA,NA,NA,NA,NA,2021-06-30,2021-07-02,Actual,"January 14, 2021",Actual,2021-01-14,January 2021,2021-01-31,January 2022,Anticipated,2022-01-31,January 2022,Anticipated,2022-01-31,NA,Interventional,NA,NA,Safety and the Efficacy of MesenCure for the Treatment of Pulmonary Manifestations of COVID-19,A Controlled Study to Evaluate the Safety and Efficacy of Allogeneic MesenCure for the Treatment of Pulmonary Manifestations in Patients With COVID19,Recruiting,NA,Phase 1/Phase 2,35,Anticipated,BonusBio Group Ltd,NA,1,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:32:46Z,2021-10-12T06:32:46Z,1014827,NCT04716998,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-19,NA,NA,2021-10-05,2021-01-19,2021-01-20,Actual,NA,NA,NA,NA,NA,NA,2021-10-05,2021-10-06,Actual,"February 10, 2020",Actual,2020-02-10,October 2021,2021-10-31,"June 30, 2021",Actual,2021-06-30,"February 28, 2021",Actual,2021-02-28,NA,Observational,NA,NA,Extended Post Anaesthetic Care in PACU During COVID-19: Multi-perspective Value-based Analysis,The Rapid Conversion of Ordinary Recovery Beds to an Overnight Intensive Recovery (OIR) to Alleviate the High Pressure on Postoperative Intensive Care Demands During COVID-19 Pandemics in a Local Tertiary Hospital: a Multi-perspective Value-based Analysis,Completed,NA,NA,299,Actual,Tuen Mun Hospital,NA,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:32:45Z,2021-10-12T06:32:45Z,1014839,NCT04717089,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-20,NA,NA,2021-01-21,2021-01-21,2021-01-22,Actual,NA,NA,NA,NA,NA,NA,2021-01-21,2021-01-22,Actual,"November 19, 2020",Actual,2020-11-19,January 2021,2021-01-31,"May 19, 2022",Anticipated,2022-05-19,"November 19, 2021",Anticipated,2021-11-19,NA,Interventional,COV-II-PLA,NA,Early Use of Hyperimmune Plasma in COVID-19,COVID-19 Wave II Study for Assessing the Early Use of Hyperimmune Plasma for the Treatment of COVID-19 Patients Needing Non-invasive or Invasive Mechanical Ventilation,Recruiting,NA,Not Applicable,300,Anticipated,IRCCS Policlinico S. Matteo,NA,1,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Undecided,may be available upon motivated requesto to PI,2021-10-12T06:32:16Z,2021-10-12T06:32:16Z,1012857,NCT04721236,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-12,NA,NA,2021-01-21,2021-01-21,2021-01-22,Actual,NA,NA,NA,NA,NA,NA,2021-01-21,2021-01-22,Actual,"June 23, 2020",Actual,2020-06-23,January 2021,2021-01-31,February 2022,Anticipated,2022-02-28,February 2022,Anticipated,2022-02-28,NA,Interventional,NA,NA,Mindful Prevention of Psychopathology in Healthcare Workers During the COVID-19 Crisis (COVID-19 MindPreP),Mindful Prevention of Psychopathology in Healthcare Workers During the COVID-19 Crisis (COVID-19 MindPreP),Recruiting,NA,Not Applicable,220,Anticipated,Radboud University,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Undecided,NA,2021-10-12T06:32:20Z,2021-10-12T06:32:20Z,1013169,NCT04720404,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2020-10-13,NA,NA,2021-01-22,2021-01-20,2021-01-22,Actual,NA,NA,NA,NA,NA,NA,2021-01-22,2021-01-26,Actual,"September 25, 2020",Actual,2020-09-25,January 2021,2021-01-31,"October 20, 2020",Actual,2020-10-20,"October 20, 2020",Actual,2020-10-20,NA,Interventional,NA,NA,A Study To Evaluate The Performance of the Lucira Health All-In-One COVID-19 Test Kit vs Hologic Panther Fusion,A Study To Evaluate The Performance of the Lucira Health All-In-One COVID-19 Test Kit As Compared To The Hologic Panther Fusion SARS-CoV-2 RT-PCR Assay,Completed,NA,Not Applicable,101,Actual,Lucira Health Inc,NA,1,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:32:18Z,2021-10-12T06:32:18Z,1012931,NCT04720794,Coronavirus Infections,coronavirus infections,mesh-list
NA,2021-01-16,NA,NA,2021-04-14,2021-01-16,2021-01-20,Actual,NA,NA,NA,NA,NA,NA,2021-04-14,2021-04-19,Actual,"March 19, 2021",Actual,2021-03-19,April 2021,2021-04-30,"March 19, 2023",Anticipated,2023-03-19,"March 19, 2023",Anticipated,2023-03-19,NA,Observational,COVITHYM,NA,Thymic Function in Patients With COVID-19,Thymic Function in Patients With COVID-19,Recruiting,NA,NA,100,Anticipated,CMC Ambroise ParÃ©,NA,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:32:46Z,2021-10-12T06:32:46Z,1014898,NCT04716907,Coronavirus Infections,coronavirus infections,mesh-ancestor
NA,2021-01-15,NA,NA,2021-04-09,2021-01-20,2021-01-22,Actual,NA,NA,NA,NA,NA,NA,2021-04-09,2021-04-12,Actual,"December 9, 2020",Actual,2020-12-09,January 2021,2021-01-31,"March 30, 2021",Actual,2021-03-30,"March 9, 2021",Actual,2021-03-09,NA,Interventional,NA,NA,A Follow On Community Testing Study To Evaluate The Performance of the Lucira COVID-19 All-In-One Test Kit,A Follow On Community Testing Study To Evaluate The Performance of the Lucira COVID-19 All-In-One Test Kit As Compared To The Hologic Panther Fusion SARS-CoV-2 RT-PCR Assay Among Asymptomatic Subjects,Completed,NA,Not Applicable,304,Actual,Lucira Health Inc,NA,1,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,No,NA,2021-10-12T06:32:22Z,2021-10-12T06:32:22Z,1013258,NCT04720235,Coronavirus Infections,coronavirus infections,mesh-list
